id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Banjarmasin_2023-11-21T18:00:00,Banjarmasin,2023-11-21 18:00:00,1,Cerah Berawan,90,24.0,75.0,54,160,8.7,1006,2023-11-21 18:00:00
Banjarnegara_2023-11-21T00:00:00,Banjarnegara,2023-11-21 00:00:00,3,Berawan,80,26.0,79.0,40,170,3.7,1012,2023-11-21
Banjarnegara_2023-11-21T06:00:00,Banjarnegara,2023-11-21 06:00:00,3,Berawan,65,30.0,86.0,36,170,3.6,1012,2023-11-21 06:00:00
Banjarnegara_2023-11-21T12:00:00,Banjarnegara,2023-11-21 12:00:00,60,Hujan Ringan,80,26.0,79.0,37,167,5.8,1011,2023-11-21 12:00:00
Banjarnegara_2023-11-21T18:00:00,Banjarnegara,2023-11-21 18:00:00,3,Berawan,95,21.0,70.0,46,174,8.0,1009,2023-11-21 18:00:00
Bantaeng_2023-11-21T00:00:00,Bantaeng,2023-11-21 00:00:00,1,Cerah Berawan,70,28.0,82.0,45,111,12.6,1011,2023-11-21
Bantaeng_2023-11-21T06:00:00,Bantaeng,2023-11-21 06:00:00,3,Berawan,65,34.0,93.0,42,111,13.0,1012,2023-11-21 06:00:00
Bantaeng_2023-11-21T12:00:00,Bantaeng,2023-11-21 12:00:00,3,Berawan,80,28.0,82.0,34,106,23.2,1010,2023-11-21 12:00:00
Bantaeng_2023-11-21T18:00:00,Bantaeng,2023-11-21 18:00:00,3,Berawan,85,25.0,77.0,38,110,16.0,1009,2023-11-21 18:00:00
Bantul_2023-11-21T00:00:00,Bantul,2023-11-21 00:00:00,1,Cerah Berawan,80,27.0,81.0,42,165,5.9,1011,2023-11-21
Bantul_2023-11-21T06:00:00,Bantul,2023-11-21 06:00:00,1,Cerah Berawan,55,32.0,90.0,40,165,5.9,1011,2023-11-21 06:00:00
Bantul_2023-11-21T12:00:00,Bantul,2023-11-21 12:00:00,3,Berawan,75,27.0,81.0,40,168,14.7,1010,2023-11-21 12:00:00
Bantul_2023-11-21T18:00:00,Bantul,2023-11-21 18:00:00,1,Cerah Berawan,90,24.0,75.0,43,161,15.0,1009,2023-11-21 18:00:00
Banyumas_2023-11-21T00:00:00,Banyumas,2023-11-21 00:00:00,3,Berawan,75,27.0,81.0,40,163,2.6,1011,2023-11-21
Banyumas_2023-11-21T06:00:00,Banyumas,2023-11-21 06:00:00,3,Berawan,65,31.0,88.0,36,163,3.4,1011,2023-11-21 06:00:00
Banyumas_2023-11-21T12:00:00,Banyumas,2023-11-21 12:00:00,60,Hujan Ringan,75,27.0,81.0,37,164,9.9,1011,2023-11-21 12:00:00
Banyumas_2023-11-21T18:00:00,Banyumas,2023-11-21 18:00:00,3,Berawan,95,24.0,75.0,37,159,11.2,1009,2023-11-21 18:00:00
Banyuwangi_2023-11-21T00:00:00,Banyuwangi,2023-11-21 00:00:00,3,Berawan,85,27.0,81.0,36,152,2.9,1012,2023-11-21
