id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Jeneponto_2023-11-18T18:53:54,Jeneponto,44*,Angin berputar 187 derajat,6.5 km/h,1009 mbar,2023-11-18 18:53:54
Maros_2023-11-18T18:53:54,Maros,99,Angin berputar 267 derajat,3.7 km/h,1009 mbar,2023-11-18 18:53:54
Palopo_2023-11-18T18:53:54,Palopo,33*,Angin berputar 104 derajat,4.9 km/h,1010 mbar,2023-11-18 18:53:54
Pinrang_2023-11-18T18:53:54,Pinrang,39*,Angin berputar 249 derajat,4.4 km/h,1009 mbar,2023-11-18 18:53:54
Sinjai_2023-11-18T18:53:54,Sinjai,41*,Angin berputar 173 derajat,12.1 km/h,1009 mbar,2023-11-18 18:53:54
Takalar_2023-11-18T18:53:54,Takalar,49*,Angin berputar 178 derajat,12.2 km/h,1009 mbar,2023-11-18 18:53:54
Barru_2023-11-18T18:53:54,Barru,44*,Angin berputar 256 derajat,7.9 km/h,1009 mbar,2023-11-18 18:53:54
Buol_2023-11-18T18:53:54,Buol,21*,Angin berputar 317 derajat,6.1 km/h,1009 mbar,2023-11-18 18:53:54
Donggala_2023-11-18T18:53:54,Donggala,21*,Angin berputar 290 derajat,3.6 km/h,1009 mbar,2023-11-18 18:53:54
Banggai_2023-11-18T18:53:54,Banggai,22*,Angin berputar 187 derajat,10.3 km/h,1009 mbar,2023-11-18 18:53:54
Banggai_2023-11-18T18:53:54,Banggai,22*,Angin berputar 187 derajat,10.3 km/h,1009 mbar,2023-11-18 18:53:54
Sigi Biromaru_2023-11-18T18:53:54,Sigi Biromaru,23*,Angin berputar 301 derajat,1.8 km/h,1011 mbar,2023-11-18 18:53:54
Kendari_2023-11-18T18:53:54,Kendari,55,Angin berputar 230 derajat,4.3 km/h,1010 mbar,2023-11-18 18:53:54
Kolaka_2023-11-18T18:53:54,Kolaka,38*,Angin berputar 227 derajat,0.1 km/h,1010 mbar,2023-11-18 18:53:54
Kendari_2023-11-18T18:53:54,Kendari,55,Angin berputar 230 derajat,4.3 km/h,1010 mbar,2023-11-18 18:53:54
Raha_2023-11-18T18:53:54,Raha,46*,Angin berputar 138 derajat,7.8 km/h,1009 mbar,2023-11-18 18:53:54
Bitung_2023-11-18T18:53:54,Bitung,23*,Angin berputar 127 derajat,3.8 km/h,1010 mbar,2023-11-18 18:53:54
Manado_2023-11-18T18:53:54,Manado,24*,Angin berputar 291 derajat,3.7 km/h,1010 mbar,2023-11-18 18:53:54
Tomohon_2023-11-18T18:53:54,Tomohon,24*,Angin berputar 276 derajat,0.5 km/h,1011 mbar,2023-11-18 18:53:54
Solok_2023-11-18T18:53:54,Solok,41*,Angin berputar 27 derajat,3.9 km/h,1011 mbar,2023-11-18 18:53:54
Bukittinggi_2023-11-18T18:53:54,Bukittinggi,38*,Angin berputar 61 derajat,2.6 km/h,1011 mbar,2023-11-18 18:53:54
Sijunjung_2023-11-18T18:53:54,Sijunjung,40*,Angin berputar 273 derajat,1.8 km/h,1009 mbar,2023-11-18 18:53:54
Padang_2023-11-18T18:53:54,Padang,55,Angin berputar 232 derajat,9.2 km/h,1010 mbar,2023-11-18 18:53:54
Pariaman_2023-11-18T18:53:54,Pariaman,38*,Angin berputar 193 derajat,9.8 km/h,1010 mbar,2023-11-18 18:53:54
Payakumbuh_2023-11-18T18:53:54,Payakumbuh,38*,Angin berputar 58 derajat,1.9 km/h,1010 mbar,2023-11-18 18:53:54
Solok_2023-11-18T18:53:54,Solok,41*,Angin berputar 27 derajat,3.9 km/h,1011 mbar,2023-11-18 18:53:54
Lahat_2023-11-18T18:53:54,Lahat,59*,Angin berputar 35 derajat,3.1 km/h,1008 mbar,2023-11-18 18:53:54
Pagar Alam_2023-11-18T18:53:54,Pagar Alam,51*,Angin berputar 29 derajat,1.8 km/h,1011 mbar,2023-11-18 18:53:54
Palembang_2023-11-18T18:53:54,Palembang,103,Angin berputar 76 derajat,9.3 km/h,1007 mbar,2023-11-18 18:53:54
Prabumulih_2023-11-18T18:53:54,Prabumulih,63*,Angin berputar 53 derajat,4.2 km/h,1007 mbar,2023-11-18 18:53:54
Binjai_2023-11-18T18:53:54,Binjai,39*,Angin berputar 335 derajat,3.1 km/h,1010 mbar,2023-11-18 18:53:54
Medan_2023-11-18T18:53:54,Medan,84,Angin berputar 6 derajat,9.6 km/h,1010 mbar,2023-11-18 18:53:54
Sibolga_2023-11-18T18:53:54,Sibolga,27*,Angin berputar 234 derajat,1.4 km/h,1010 mbar,2023-11-18 18:53:54
