id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Purwakarta_2023-11-18T18:53:54,Purwakarta,139,Angin berputar 184 derajat,3.7 km/h,1009 mbar,2023-11-18 18:53:54
Tasikmalaya_2023-11-18T18:53:54,Tasikmalaya,55*,Angin berputar 149 derajat,7.3 km/h,1012 mbar,2023-11-18 18:53:54
Bandung_2023-11-18T18:53:54,Bandung,159,Angin berputar 340 derajat,2.2 km/h,1011 mbar,2023-11-18 18:53:54
Subang_2023-11-18T18:53:54,Subang,55*,Angin berputar 158 derajat,9.3 km/h,1011 mbar,2023-11-18 18:53:54
Cirebon_2023-11-18T18:53:54,Cirebon,143,Angin berputar 173 derajat,5 km/h,1009 mbar,2023-11-18 18:53:54
Sumedang_2023-11-18T18:53:54,Sumedang,70*,Angin berputar 35 derajat,1.6 km/h,1010 mbar,2023-11-18 18:53:54
Tasikmalaya_2023-11-18T18:53:54,Tasikmalaya,55*,Angin berputar 149 derajat,7.3 km/h,1012 mbar,2023-11-18 18:53:54
Bogor_2023-11-18T18:53:54,Bogor,84,Angin berputar 26 derajat,1.1 km/h,988 mbar,2023-11-18 18:53:54
Bekasi_2023-11-18T18:53:54,Bekasi,110,Angin berputar 4 derajat,5.9 km/h,1001 mbar,2023-11-18 18:53:54
Bogor_2023-11-18T18:53:54,Bogor,84,Angin berputar 26 derajat,1.1 km/h,988 mbar,2023-11-18 18:53:54
Cianjur_2023-11-18T18:53:54,Cianjur,81*,Angin berputar 332 derajat,2.4 km/h,1010 mbar,2023-11-18 18:53:54
Banjarnegara_2023-11-18T18:53:54,Banjarnegara,52*,Angin berputar 188 derajat,7.9 km/h,1012 mbar,2023-11-18 18:53:54
Batang_2023-11-18T18:53:54,Batang,78*,Angin berputar 153 derajat,5.3 km/h,1008 mbar,2023-11-18 18:53:54
Blora_2023-11-18T18:53:54,Blora,54*,Angin berputar 233 derajat,10.8 km/h,1009 mbar,2023-11-18 18:53:54
Boyolali_2023-11-18T18:53:54,Boyolali,39*,Angin berputar 199 derajat,16.5 km/h,1011 mbar,2023-11-18 18:53:54
Brebes_2023-11-18T18:53:54,Brebes,65*,Angin berputar 199 derajat,15.2 km/h,1009 mbar,2023-11-18 18:53:54
Cilacap_2023-11-18T18:53:54,Cilacap,56*,Angin berputar 140 derajat,16.8 km/h,1010 mbar,2023-11-18 18:53:54
Demak_2023-11-18T18:53:54,Demak,62*,Angin berputar 295 derajat,1.9 km/h,1008 mbar,2023-11-18 18:53:54
Jepara_2023-11-18T18:53:54,Jepara,75*,Angin berputar 147 derajat,5.1 km/h,1008 mbar,2023-11-18 18:53:54
Pekalongan_2023-11-18T18:53:54,Pekalongan,67*,Angin berputar 359 derajat,1.3 km/h,1009 mbar,2023-11-18 18:53:54
Karanganyar_2023-11-18T18:53:54,Karanganyar,37*,Angin berputar 197 derajat,23.9 km/h,1010 mbar,2023-11-18 18:53:54
Kebumen_2023-11-18T18:53:54,Kebumen,56*,Angin berputar 173 derajat,11.5 km/h,1011 mbar,2023-11-18 18:53:54
Kendal_2023-11-18T18:53:54,Kendal,65*,Angin berputar 335 derajat,5.7 km/h,1009 mbar,2023-11-18 18:53:54
Kabupaten Klaten_2023-11-18T18:53:54,Kabupaten Klaten,38*,Angin berputar 197 derajat,15.8 km/h,1011 mbar,2023-11-18 18:53:54
Kudus_2023-11-18T18:53:54,Kudus,63*,Angin berputar 168 derajat,5.7 km/h,1009 mbar,2023-11-18 18:53:54
Magelang_2023-11-18T18:53:54,Magelang,47*,Angin berputar 186 derajat,8.7 km/h,1012 mbar,2023-11-18 18:53:54
Magelang_2023-11-18T18:53:54,Magelang,47*,Angin berputar 186 derajat,8.7 km/h,1012 mbar,2023-11-18 18:53:54
Pati_2023-11-18T18:53:54,Pati,62*,Angin berputar 197 derajat,8.6 km/h,1009 mbar,2023-11-18 18:53:54
Pekalongan_2023-11-18T18:53:54,Pekalongan,67*,Angin berputar 359 derajat,1.3 km/h,1009 mbar,2023-11-18 18:53:54
Pemalang_2023-11-18T18:53:54,Pemalang,67*,Angin berputar 193 derajat,4.6 km/h,1009 mbar,2023-11-18 18:53:54
Purbalingga_2023-11-18T18:53:54,Purbalingga,54*,Angin berputar 172 derajat,9.3 km/h,1011 mbar,2023-11-18 18:53:54
Banyumas_2023-11-18T18:53:54,Banyumas,54*,Angin berputar 177 derajat,8.7 km/h,1011 mbar,2023-11-18 18:53:54
Purworejo_2023-11-18T18:53:54,Purworejo,52*,Angin berputar 191 derajat,6.8 km/h,1011 mbar,2023-11-18 18:53:54
Rembang_2023-11-18T18:53:54,Rembang,70*,Angin berputar 331 derajat,3.6 km/h,1009 mbar,2023-11-18 18:53:54
Salatiga_2023-11-18T18:53:54,Salatiga,44*,Angin berputar 223 derajat,9.6 km/h,1011 mbar,2023-11-18 18:53:54
Semarang_2023-11-18T18:53:54,Semarang,84,Angin berputar 323 derajat,14.8 km/h,1007 mbar,2023-11-18 18:53:54
Tegal_2023-11-18T18:53:54,Tegal,67*,Angin berputar 204 derajat,9.6 km/h,1009 mbar,2023-11-18 18:53:54
Sragen_2023-11-18T18:53:54,Sragen,38*,Angin berputar 204 derajat,27 km/h,1009 mbar,2023-11-18 18:53:54
