id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-30T06:00:00,Banda Aceh,20,Angin berputar 61 derajat,7.7 km/h,1009 mbar,2023-11-30 06
Langsa_2023-11-30T06:00:00,Langsa,19*,Angin berputar 77 derajat,2.9 km/h,1010 mbar,2023-11-30 06
Lhokseumawe_2023-11-30T06:00:00,Lhokseumawe,22*,Angin berputar 45 derajat,2.9 km/h,1009 mbar,2023-11-30 06
Sabang_2023-11-30T06:00:00,Sabang,25*,Angin berputar 14 derajat,8.8 km/h,1009 mbar,2023-11-30 06
Bangli_2023-11-30T06:00:00,Bangli,46*,Angin berputar 160 derajat,1.3 km/h,1011 mbar,2023-11-30 06
Denpasar_2023-11-30T06:00:00,Denpasar,56,Angin berputar 203 derajat,3.7 km/h,1009 mbar,2023-11-30 06
Gianyar_2023-11-30T06:00:00,Gianyar,45*,Angin berputar 163 derajat,2 km/h,1011 mbar,2023-11-30 06
Badung_2023-11-30T06:00:00,Badung,69,Angin berputar 201 derajat,3.6 km/h,1011 mbar,2023-11-30 06
Klungkung_2023-11-30T06:00:00,Klungkung,45*,Angin berputar 166 derajat,1.5 km/h,1011 mbar,2023-11-30 06
Kabupaten Buleleng_2023-11-30T06:00:00,Kabupaten Buleleng,17,Angin berputar 188 derajat,6.9 km/h,1011 mbar,2023-11-30 06
Tabanan_2023-11-30T06:00:00,Tabanan,47*,Angin berputar 169 derajat,4.9 km/h,1011 mbar,2023-11-30 06
Pandeglang_2023-11-30T06:00:00,Pandeglang,73*,Angin berputar 264 derajat,2.8 km/h,1010 mbar,2023-11-30 06
Kabupaten Serang_2023-11-30T06:00:00,Kabupaten Serang,73,Angin berputar 33 derajat,4.1 km/h,1009 mbar,2023-11-30 06
Tangerang_2023-11-30T06:00:00,Tangerang,103,Angin berputar 7 derajat,9.3 km/h,1008 mbar,2023-11-30 06
Kabupaten Serang_2023-11-30T06:00:00,Kabupaten Serang,73,Angin berputar 33 derajat,4.1 km/h,1009 mbar,2023-11-30 06
South Tangerang_2023-11-30T06:00:00,South Tangerang,84,Angin berputar 11 derajat,9.3 km/h,1009 mbar,2023-11-30 06
Bengkulu_2023-11-30T06:00:00,Bengkulu,65,Angin berputar 262 derajat,8.2 km/h,1010 mbar,2023-11-30 06
Kepahiang_2023-11-30T06:00:00,Kepahiang,36*,Angin berputar 249 derajat,3 km/h,1011 mbar,2023-11-30 06
Bantul_2023-11-30T06:00:00,Bantul,67*,Angin berputar 160 derajat,4.7 km/h,1010 mbar,2023-11-30 06
Sleman_2023-11-30T06:00:00,Sleman,66,Angin berputar 182 derajat,1.5 km/h,1011 mbar,2023-11-30 06
Yogyakarta_2023-11-30T06:00:00,Yogyakarta,69*,Angin berputar 171 derajat,0.9 km/h,1011 mbar,2023-11-30 06
Propinsi Gorontalo_2023-11-30T06:00:00,Propinsi Gorontalo,59,Angin berputar 19 derajat,3.3 km/h,1010 mbar,2023-11-30 06
Propinsi Gorontalo_2023-11-30T06:00:00,Propinsi Gorontalo,59,Angin berputar 19 derajat,3.3 km/h,1010 mbar,2023-11-30 06
Jambi_2023-11-30T06:00:00,Jambi,73,Angin berputar 329 derajat,4 km/h,1009 mbar,2023-11-30 06
Muara Sabak_2023-11-30T06:00:00,Muara Sabak,60,Angin berputar 324 derajat,6.4 km/h,1008 mbar,2023-11-30 06
Sungai Penuh_2023-11-30T06:00:00,Sungai Penuh,49*,Angin berputar 236 derajat,2.1 km/h,1012 mbar,2023-11-30 06
Sarolangun_2023-11-30T06:00:00,Sarolangun,47*,Angin berputar 145 derajat,2.6 km/h,1009 mbar,2023-11-30 06
Bandung_2023-11-30T06:00:00,Bandung,116,Angin berputar 357 derajat,3.6 km/h,1012 mbar,2023-11-30 06
Banjar_2023-11-30T06:00:00,Banjar,65*,Angin berputar 168 derajat,1.8 km/h,1013 mbar,2023-11-30 06
Ciamis_2023-11-30T06:00:00,Ciamis,55*,Angin berputar 149 derajat,1.2 km/h,1011 mbar,2023-11-30 06
Cianjur_2023-11-30T06:00:00,Cianjur,77*,Angin berputar 15 derajat,1 km/h,1011 mbar,2023-11-30 06
Bogor_2023-11-30T06:00:00,Bogor,33,Angin berputar 4 derajat,2.2 km/h,987 mbar,2023-11-30 06
Bekasi_2023-11-30T06:00:00,Bekasi,71,Angin berputar 9 derajat,9.3 km/h,1008 mbar,2023-11-30 06
Cimahi_2023-11-30T06:00:00,Cimahi,77*,Angin berputar 350 derajat,3.8 km/h,1012 mbar,2023-11-30 06
