id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-26T12:00:00,Banda Aceh,23,Angin berputar 43 derajat,2.2 km/h,1012 mbar,2023-11-26 12
Langsa_2023-11-26T12:00:00,Langsa,19*,Angin berputar 320 derajat,6.3 km/h,1012 mbar,2023-11-26 12
Lhokseumawe_2023-11-26T12:00:00,Lhokseumawe,19*,Angin berputar 271 derajat,8.2 km/h,1012 mbar,2023-11-26 12
Sabang_2023-11-26T12:00:00,Sabang,23*,Angin berputar 76 derajat,1.7 km/h,1012 mbar,2023-11-26 12
Bangli_2023-11-26T12:00:00,Bangli,52*,Angin berputar 191 derajat,9.1 km/h,1010 mbar,2023-11-26 12
Denpasar_2023-11-26T12:00:00,Denpasar,60,Angin berputar 146 derajat,18.5 km/h,1009 mbar,2023-11-26 12
Gianyar_2023-11-26T12:00:00,Gianyar,52*,Angin berputar 192 derajat,10.9 km/h,1010 mbar,2023-11-26 12
Badung_2023-11-26T12:00:00,Badung,55,Angin berputar 149 derajat,10.5 km/h,1010 mbar,2023-11-26 12
Klungkung_2023-11-26T12:00:00,Klungkung,52*,Angin berputar 193 derajat,11.6 km/h,1010 mbar,2023-11-26 12
Kabupaten Buleleng_2023-11-26T12:00:00,Kabupaten Buleleng,29,Angin berputar 182 derajat,6.2 km/h,1009 mbar,2023-11-26 12
Tabanan_2023-11-26T12:00:00,Tabanan,52*,Angin berputar 195 derajat,10.1 km/h,1010 mbar,2023-11-26 12
Pandeglang_2023-11-26T12:00:00,Pandeglang,87*,Angin berputar 205 derajat,3.2 km/h,1009 mbar,2023-11-26 12
Kabupaten Serang_2023-11-26T12:00:00,Kabupaten Serang,74,Angin berputar 339 derajat,0.2 km/h,1009 mbar,2023-11-26 12
Tangerang_2023-11-26T12:00:00,Tangerang,139,Angin berputar 1 derajat,3.7 km/h,1009 mbar,2023-11-26 12
Kabupaten Serang_2023-11-26T12:00:00,Kabupaten Serang,74,Angin berputar 339 derajat,0.2 km/h,1009 mbar,2023-11-26 12
South Tangerang_2023-11-26T12:00:00,South Tangerang,112,Angin berputar 19 derajat,11.1 km/h,1007 mbar,2023-11-26 12
Bengkulu_2023-11-26T12:00:00,Bengkulu,52,Angin berputar 208 derajat,7.7 km/h,1010 mbar,2023-11-26 12
Kepahiang_2023-11-26T12:00:00,Kepahiang,43*,Angin berputar 242 derajat,5.8 km/h,1011 mbar,2023-11-26 12
Bantul_2023-11-26T12:00:00,Bantul,65*,Angin berputar 183 derajat,10.5 km/h,1011 mbar,2023-11-26 12
Sleman_2023-11-26T12:00:00,Sleman,57,Angin berputar 198 derajat,8.6 km/h,1011 mbar,2023-11-26 12
Yogyakarta_2023-11-26T12:00:00,Yogyakarta,63*,Angin berputar 192 derajat,9.2 km/h,1011 mbar,2023-11-26 12
Propinsi Gorontalo_2023-11-26T12:00:00,Propinsi Gorontalo,61,Angin berputar 171 derajat,3.5 km/h,1008 mbar,2023-11-26 12
Propinsi Gorontalo_2023-11-26T12:00:00,Propinsi Gorontalo,61,Angin berputar 171 derajat,3.5 km/h,1008 mbar,2023-11-26 12
Jambi_2023-11-26T12:00:00,Jambi,45,Angin berputar 111 derajat,0.9 km/h,1010 mbar,2023-11-26 12
Muara Sabak_2023-11-26T12:00:00,Muara Sabak,56,Angin berputar 235 derajat,3.2 km/h,1010 mbar,2023-11-26 12
Sungai Penuh_2023-11-26T12:00:00,Sungai Penuh,53*,Angin berputar 232 derajat,7.3 km/h,1012 mbar,2023-11-26 12
Sarolangun_2023-11-26T12:00:00,Sarolangun,60*,Angin berputar 40 derajat,1.4 km/h,1010 mbar,2023-11-26 12
Bandung_2023-11-26T12:00:00,Bandung,108,Angin berputar 27 derajat,2.3 km/h,1010 mbar,2023-11-26 12
Banjar_2023-11-26T12:00:00,Banjar,62*,Angin berputar 202 derajat,4.6 km/h,1012 mbar,2023-11-26 12
Ciamis_2023-11-26T12:00:00,Ciamis,57*,Angin berputar 150 derajat,5.6 km/h,1011 mbar,2023-11-26 12
Cianjur_2023-11-26T12:00:00,Cianjur,68*,Angin berputar 218 derajat,2.2 km/h,1011 mbar,2023-11-26 12
Bogor_2023-11-26T12:00:00,Bogor,70,Angin berputar 20 derajat,4.1 km/h,987 mbar,2023-11-26 12
Bekasi_2023-11-26T12:00:00,Bekasi,95,Angin berputar 32 derajat,11.1 km/h,1005 mbar,2023-11-26 12
Cimahi_2023-11-26T12:00:00,Cimahi,74*,Angin berputar 352 derajat,2.8 km/h,1010 mbar,2023-11-26 12
Cirebon_2023-11-26T12:00:00,Cirebon,115,Angin berputar 52 derajat,11.7 km/h,1009 mbar,2023-11-26 12
Garut_2023-11-26T12:00:00,Garut,55*,Angin berputar 129 derajat,6.7 km/h,1012 mbar,2023-11-26 12
Indramayu_2023-11-26T12:00:00,Indramayu,70*,Angin berputar 61 derajat,4.1 km/h,1009 mbar,2023-11-26 12
Karawang_2023-11-26T12:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-26 12
Kuningan_2023-11-26T12:00:00,Kuningan,60*,Angin berputar 177 derajat,11.3 km/h,1011 mbar,2023-11-26 12
Majalengka_2023-11-26T12:00:00,Majalengka,64*,Angin berputar 214 derajat,6.1 km/h,1010 mbar,2023-11-26 12
Purwakarta_2023-11-26T12:00:00,Purwakarta,102,Angin berputar 22 derajat,4.9 km/h,1009 mbar,2023-11-26 12
Tasikmalaya_2023-11-26T12:00:00,Tasikmalaya,57*,Angin berputar 158 derajat,5.7 km/h,1011 mbar,2023-11-26 12
Bandung_2023-11-26T12:00:00,Bandung,108,Angin berputar 27 derajat,2.3 km/h,1010 mbar,2023-11-26 12
Subang_2023-11-26T12:00:00,Subang,58*,Angin berputar 168 derajat,8.5 km/h,1011 mbar,2023-11-26 12
Cirebon_2023-11-26T12:00:00,Cirebon,115,Angin berputar 52 derajat,11.7 km/h,1009 mbar,2023-11-26 12
Sumedang_2023-11-26T12:00:00,Sumedang,71*,Angin berputar 122 derajat,5.3 km/h,1010 mbar,2023-11-26 12
Tasikmalaya_2023-11-26T12:00:00,Tasikmalaya,57*,Angin berputar 158 derajat,5.7 km/h,1011 mbar,2023-11-26 12
Bogor_2023-11-26T12:00:00,Bogor,70,Angin berputar 20 derajat,4.1 km/h,987 mbar,2023-11-26 12
Bekasi_2023-11-26T12:00:00,Bekasi,95,Angin berputar 32 derajat,11.1 km/h,1005 mbar,2023-11-26 12
Bogor_2023-11-26T12:00:00,Bogor,70,Angin berputar 20 derajat,4.1 km/h,987 mbar,2023-11-26 12
Cianjur_2023-11-26T12:00:00,Cianjur,68*,Angin berputar 218 derajat,2.2 km/h,1011 mbar,2023-11-26 12
Banjarnegara_2023-11-26T12:00:00,Banjarnegara,60*,Angin berputar 182 derajat,7.2 km/h,1011 mbar,2023-11-26 12
Batang_2023-11-26T12:00:00,Batang,82*,Angin berputar 147 derajat,11.3 km/h,1009 mbar,2023-11-26 12
Blora_2023-11-26T12:00:00,Blora,80*,Angin berputar 196 derajat,11.8 km/h,1009 mbar,2023-11-26 12
Boyolali_2023-11-26T12:00:00,Boyolali,60*,Angin berputar 212 derajat,12.1 km/h,1011 mbar,2023-11-26 12
Brebes_2023-11-26T12:00:00,Brebes,66*,Angin berputar 200 derajat,17 km/h,1009 mbar,2023-11-26 12
Cilacap_2023-11-26T12:00:00,Cilacap,61*,Angin berputar 157 derajat,6 km/h,1010 mbar,2023-11-26 12
Demak_2023-11-26T12:00:00,Demak,83*,Angin berputar 126 derajat,5.5 km/h,1009 mbar,2023-11-26 12
Jepara_2023-11-26T12:00:00,Jepara,83*,Angin berputar 146 derajat,10.9 km/h,1009 mbar,2023-11-26 12
Pekalongan_2023-11-26T12:00:00,Pekalongan,82*,Angin berputar 209 derajat,3.7 km/h,1009 mbar,2023-11-26 12
Karanganyar_2023-11-26T12:00:00,Karanganyar,58*,Angin berputar 211 derajat,20.1 km/h,1010 mbar,2023-11-26 12
Kebumen_2023-11-26T12:00:00,Kebumen,61*,Angin berputar 178 derajat,11.3 km/h,1010 mbar,2023-11-26 12
Kendal_2023-11-26T12:00:00,Kendal,85*,Angin berputar 327 derajat,2.6 km/h,1009 mbar,2023-11-26 12
Kabupaten Klaten_2023-11-26T12:00:00,Kabupaten Klaten,60*,Angin berputar 208 derajat,13.4 km/h,1010 mbar,2023-11-26 12
Kudus_2023-11-26T12:00:00,Kudus,83*,Angin berputar 172 derajat,14.6 km/h,1009 mbar,2023-11-26 12
Magelang_2023-11-26T12:00:00,Magelang,60*,Angin berputar 196 derajat,5.1 km/h,1012 mbar,2023-11-26 12
Magelang_2023-11-26T12:00:00,Magelang,60*,Angin berputar 196 derajat,5.1 km/h,1012 mbar,2023-11-26 12
Pati_2023-11-26T12:00:00,Pati,83*,Angin berputar 199 derajat,16.9 km/h,1009 mbar,2023-11-26 12
Pekalongan_2023-11-26T12:00:00,Pekalongan,82*,Angin berputar 209 derajat,3.7 km/h,1009 mbar,2023-11-26 12
Pemalang_2023-11-26T12:00:00,Pemalang,75*,Angin berputar 199 derajat,4.3 km/h,1009 mbar,2023-11-26 12
Purbalingga_2023-11-26T12:00:00,Purbalingga,60*,Angin berputar 187 derajat,6.8 km/h,1011 mbar,2023-11-26 12
Banyumas_2023-11-26T12:00:00,Banyumas,60*,Angin berputar 198 derajat,5 km/h,1011 mbar,2023-11-26 12
Purworejo_2023-11-26T12:00:00,Purworejo,61*,Angin berputar 189 derajat,6 km/h,1011 mbar,2023-11-26 12
Rembang_2023-11-26T12:00:00,Rembang,85*,Angin berputar 205 derajat,10.1 km/h,1009 mbar,2023-11-26 12
Salatiga_2023-11-26T12:00:00,Salatiga,63*,Angin berputar 234 derajat,2.1 km/h,1011 mbar,2023-11-26 12
Semarang_2023-11-26T12:00:00,Semarang,69,Angin berputar 329 derajat,7.4 km/h,1008 mbar,2023-11-26 12
Tegal_2023-11-26T12:00:00,Tegal,68*,Angin berputar 183 derajat,11.4 km/h,1009 mbar,2023-11-26 12
Sragen_2023-11-26T12:00:00,Sragen,60*,Angin berputar 213 derajat,22.1 km/h,1010 mbar,2023-11-26 12
Sukoharjo_2023-11-26T12:00:00,Sukoharjo,59*,Angin berputar 209 derajat,17.3 km/h,1010 mbar,2023-11-26 12
Surakarta_2023-11-26T12:00:00,Surakarta,69,Angin berputar 212 derajat,19 km/h,1010 mbar,2023-11-26 12
Tegal_2023-11-26T12:00:00,Tegal,68*,Angin berputar 183 derajat,11.4 km/h,1009 mbar,2023-11-26 12
Temanggung_2023-11-26T12:00:00,Temanggung,63*,Angin berputar 189 derajat,8.1 km/h,1012 mbar,2023-11-26 12
Semarang_2023-11-26T12:00:00,Semarang,69,Angin berputar 329 derajat,7.4 km/h,1008 mbar,2023-11-26 12
