id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-20T06:00:00,Banda Aceh,31,Angin berputar 174 derajat,15.7 km/h,1010 mbar,2023-11-20 06
Langsa_2023-11-20T06:00:00,Langsa,29*,Angin berputar 41 derajat,3.9 km/h,1011 mbar,2023-11-20 06
Lhokseumawe_2023-11-20T06:00:00,Lhokseumawe,35*,Angin berputar 85 derajat,9 km/h,1011 mbar,2023-11-20 06
Sabang_2023-11-20T06:00:00,Sabang,37*,Angin berputar 98 derajat,32.7 km/h,1010 mbar,2023-11-20 06
Bangli_2023-11-20T06:00:00,Bangli,37*,Angin berputar 168 derajat,3.5 km/h,1013 mbar,2023-11-20 06
Denpasar_2023-11-20T06:00:00,Denpasar,54,Angin berputar 182 derajat,3.7 km/h,1011 mbar,2023-11-20 06
Gianyar_2023-11-20T06:00:00,Gianyar,37*,Angin berputar 174 derajat,4.6 km/h,1012 mbar,2023-11-20 06
Badung_2023-11-20T06:00:00,Badung,69,Angin berputar 184 derajat,5.4 km/h,1012 mbar,2023-11-20 06
Klungkung_2023-11-20T06:00:00,Klungkung,37*,Angin berputar 175 derajat,3.5 km/h,1012 mbar,2023-11-20 06
Kabupaten Buleleng_2023-11-20T06:00:00,Kabupaten Buleleng,25,Angin berputar 186 derajat,10.2 km/h,1012 mbar,2023-11-20 06
Tabanan_2023-11-20T06:00:00,Tabanan,37*,Angin berputar 180 derajat,6.2 km/h,1012 mbar,2023-11-20 06
Pandeglang_2023-11-20T06:00:00,Pandeglang,84*,Angin berputar 217 derajat,4 km/h,1011 mbar,2023-11-20 06
Kabupaten Serang_2023-11-20T06:00:00,Kabupaten Serang,71,Angin berputar 344 derajat,6.8 km/h,1010 mbar,2023-11-20 06
Tangerang_2023-11-20T06:00:00,Tangerang,143,Angin berputar 5 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Kabupaten Serang_2023-11-20T06:00:00,Kabupaten Serang,71,Angin berputar 344 derajat,6.8 km/h,1010 mbar,2023-11-20 06
South Tangerang_2023-11-20T06:00:00,South Tangerang,107,Angin berputar 10 derajat,5.5 km/h,1010 mbar,2023-11-20 06
Bengkulu_2023-11-20T06:00:00,Bengkulu,61,Angin berputar 199 derajat,9.5 km/h,1011 mbar,2023-11-20 06
Kepahiang_2023-11-20T06:00:00,Kepahiang,42*,Angin berputar 181 derajat,0.9 km/h,1012 mbar,2023-11-20 06
Bantul_2023-11-20T06:00:00,Bantul,53*,Angin berputar 182 derajat,1.4 km/h,1012 mbar,2023-11-20 06
Sleman_2023-11-20T06:00:00,Sleman,52,Angin berputar 192 derajat,3.6 km/h,1013 mbar,2023-11-20 06
Yogyakarta_2023-11-20T06:00:00,Yogyakarta,54*,Angin berputar 186 derajat,2.4 km/h,1012 mbar,2023-11-20 06
Propinsi Gorontalo_2023-11-20T06:00:00,Propinsi Gorontalo,64,Angin berputar 216 derajat,3.9 km/h,1011 mbar,2023-11-20 06
Propinsi Gorontalo_2023-11-20T06:00:00,Propinsi Gorontalo,64,Angin berputar 216 derajat,3.9 km/h,1011 mbar,2023-11-20 06
Jambi_2023-11-20T06:00:00,Jambi,88,Angin berputar 66 derajat,4.4 km/h,1010 mbar,2023-11-20 06
Muara Sabak_2023-11-20T06:00:00,Muara Sabak,43*,Angin berputar 330 derajat,7.8 km/h,1010 mbar,2023-11-20 06
Sungai Penuh_2023-11-20T06:00:00,Sungai Penuh,48*,Angin berputar 46 derajat,3.9 km/h,1013 mbar,2023-11-20 06
Sarolangun_2023-11-20T06:00:00,Sarolangun,53*,Angin berputar 331 derajat,3.6 km/h,1010 mbar,2023-11-20 06
Bandung_2023-11-20T06:00:00,Bandung,81,Angin berputar 352 derajat,4.9 km/h,1013 mbar,2023-11-20 06
Banjar_2023-11-20T06:00:00,Banjar,59*,Angin berputar 199 derajat,4.2 km/h,1014 mbar,2023-11-20 06
Ciamis_2023-11-20T06:00:00,Ciamis,55*,Angin berputar 152 derajat,2.4 km/h,1013 mbar,2023-11-20 06
Cianjur_2023-11-20T06:00:00,Cianjur,71*,Angin berputar 194 derajat,4.4 km/h,1012 mbar,2023-11-20 06
Bogor_2023-11-20T06:00:00,Bogor,80,Angin berputar 4 derajat,7.5 km/h,1011 mbar,2023-11-20 06
Bekasi_2023-11-20T06:00:00,Bekasi,102,Angin berputar 1 derajat,5.5 km/h,1006 mbar,2023-11-20 06
Cimahi_2023-11-20T06:00:00,Cimahi,76*,Angin berputar 8 derajat,5 km/h,1013 mbar,2023-11-20 06
Cirebon_2023-11-20T06:00:00,Cirebon,134,Angin berputar 37 derajat,12.6 km/h,1011 mbar,2023-11-20 06
Garut_2023-11-20T06:00:00,Garut,55*,Angin berputar 131 derajat,5.3 km/h,1014 mbar,2023-11-20 06
Indramayu_2023-11-20T06:00:00,Indramayu,64*,Angin berputar 25 derajat,13.3 km/h,1010 mbar,2023-11-20 06
Karawang_2023-11-20T06:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-20 06
Kuningan_2023-11-20T06:00:00,Kuningan,56*,Angin berputar 162 derajat,10.9 km/h,1012 mbar,2023-11-20 06
Majalengka_2023-11-20T06:00:00,Majalengka,59*,Angin berputar 88 derajat,7.4 km/h,1012 mbar,2023-11-20 06
Purwakarta_2023-11-20T06:00:00,Purwakarta,171,Angin berputar 7 derajat,4.8 km/h,1011 mbar,2023-11-20 06
Tasikmalaya_2023-11-20T06:00:00,Tasikmalaya,55*,Angin berputar 153 derajat,2.2 km/h,1013 mbar,2023-11-20 06
Bandung_2023-11-20T06:00:00,Bandung,81,Angin berputar 352 derajat,4.9 km/h,1013 mbar,2023-11-20 06
Subang_2023-11-20T06:00:00,Subang,56*,Angin berputar 157 derajat,7.3 km/h,1013 mbar,2023-11-20 06
Cirebon_2023-11-20T06:00:00,Cirebon,134,Angin berputar 37 derajat,12.6 km/h,1011 mbar,2023-11-20 06
Sumedang_2023-11-20T06:00:00,Sumedang,68*,Angin berputar 61 derajat,6.4 km/h,1013 mbar,2023-11-20 06
Tasikmalaya_2023-11-20T06:00:00,Tasikmalaya,55*,Angin berputar 153 derajat,2.2 km/h,1013 mbar,2023-11-20 06
Bogor_2023-11-20T06:00:00,Bogor,80,Angin berputar 4 derajat,7.3 km/h,1012 mbar,2023-11-20 06
Bekasi_2023-11-20T06:00:00,Bekasi,102,Angin berputar 1 derajat,5.5 km/h,1006 mbar,2023-11-20 06
Bogor_2023-11-20T06:00:00,Bogor,80,Angin berputar 4 derajat,7.3 km/h,1012 mbar,2023-11-20 06
Cianjur_2023-11-20T06:00:00,Cianjur,71*,Angin berputar 194 derajat,4.4 km/h,1012 mbar,2023-11-20 06
Banjarnegara_2023-11-20T06:00:00,Banjarnegara,56*,Angin berputar 173 derajat,2.7 km/h,1013 mbar,2023-11-20 06
Batang_2023-11-20T06:00:00,Batang,69*,Angin berputar 156 derajat,12.9 km/h,1011 mbar,2023-11-20 06
Blora_2023-11-20T06:00:00,Blora,74*,Angin berputar 194 derajat,8 km/h,1011 mbar,2023-11-20 06
Boyolali_2023-11-20T06:00:00,Boyolali,54*,Angin berputar 204 derajat,12.1 km/h,1013 mbar,2023-11-20 06
Brebes_2023-11-20T06:00:00,Brebes,56*,Angin berputar 205 derajat,14.7 km/h,1011 mbar,2023-11-20 06
Cilacap_2023-11-20T06:00:00,Cilacap,54*,Angin berputar 164 derajat,3.8 km/h,1012 mbar,2023-11-20 06
Demak_2023-11-20T06:00:00,Demak,63*,Angin berputar 169 derajat,12.1 km/h,1011 mbar,2023-11-20 06
Jepara_2023-11-20T06:00:00,Jepara,68*,Angin berputar 148 derajat,15.7 km/h,1011 mbar,2023-11-20 06
Pekalongan_2023-11-20T06:00:00,Pekalongan,57*,Angin berputar 356 derajat,8 km/h,1011 mbar,2023-11-20 06
Karanganyar_2023-11-20T06:00:00,Karanganyar,53*,Angin berputar 204 derajat,10.6 km/h,1012 mbar,2023-11-20 06
Kebumen_2023-11-20T06:00:00,Kebumen,56*,Angin berputar 166 derajat,3.6 km/h,1012 mbar,2023-11-20 06
Kendal_2023-11-20T06:00:00,Kendal,58*,Angin berputar 319 derajat,7.9 km/h,1011 mbar,2023-11-20 06
Kabupaten Klaten_2023-11-20T06:00:00,Kabupaten Klaten,54*,Angin berputar 197 derajat,8.9 km/h,1012 mbar,2023-11-20 06
Kudus_2023-11-20T06:00:00,Kudus,67*,Angin berputar 169 derajat,10.1 km/h,1011 mbar,2023-11-20 06
Magelang_2023-11-20T06:00:00,Magelang,56*,Angin berputar 186 derajat,4.2 km/h,1013 mbar,2023-11-20 06
Magelang_2023-11-20T06:00:00,Magelang,56*,Angin berputar 186 derajat,4.2 km/h,1013 mbar,2023-11-20 06
Pati_2023-11-20T06:00:00,Pati,73*,Angin berputar 42 derajat,6.4 km/h,1011 mbar,2023-11-20 06
Pekalongan_2023-11-20T06:00:00,Pekalongan,57*,Angin berputar 356 derajat,8 km/h,1011 mbar,2023-11-20 06
Pemalang_2023-11-20T06:00:00,Pemalang,56*,Angin berputar 186 derajat,10.3 km/h,1011 mbar,2023-11-20 06
Purbalingga_2023-11-20T06:00:00,Purbalingga,56*,Angin berputar 172 derajat,2.1 km/h,1013 mbar,2023-11-20 06
Banyumas_2023-11-20T06:00:00,Banyumas,56*,Angin berputar 177 derajat,1.9 km/h,1012 mbar,2023-11-20 06
Purworejo_2023-11-20T06:00:00,Purworejo,54*,Angin berputar 172 derajat,3.5 km/h,1012 mbar,2023-11-20 06
Rembang_2023-11-20T06:00:00,Rembang,79*,Angin berputar 28 derajat,11 km/h,1011 mbar,2023-11-20 06
Salatiga_2023-11-20T06:00:00,Salatiga,56*,Angin berputar 225 derajat,7.8 km/h,1013 mbar,2023-11-20 06
Semarang_2023-11-20T06:00:00,Semarang,65,Angin berputar 337 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Tegal_2023-11-20T06:00:00,Tegal,56*,Angin berputar 204 derajat,12 km/h,1011 mbar,2023-11-20 06
Sragen_2023-11-20T06:00:00,Sragen,56*,Angin berputar 209 derajat,12.9 km/h,1011 mbar,2023-11-20 06
Sukoharjo_2023-11-20T06:00:00,Sukoharjo,54*,Angin berputar 198 derajat,11.2 km/h,1012 mbar,2023-11-20 06
Surakarta_2023-11-20T06:00:00,Surakarta,45,Angin berputar 196 derajat,15.4 km/h,1012 mbar,2023-11-20 06
Tegal_2023-11-20T06:00:00,Tegal,56*,Angin berputar 204 derajat,12 km/h,1011 mbar,2023-11-20 06
Temanggung_2023-11-20T06:00:00,Temanggung,56*,Angin berputar 178 derajat,7.6 km/h,1013 mbar,2023-11-20 06
Semarang_2023-11-20T06:00:00,Semarang,65,Angin berputar 337 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Wonogiri_2023-11-20T06:00:00,Wonogiri,52*,Angin berputar 192 derajat,6.6 km/h,1012 mbar,2023-11-20 06
Wonosobo_2023-11-20T06:00:00,Wonosobo,56*,Angin berputar 176 derajat,3.2 km/h,1014 mbar,2023-11-20 06
Semarang_2023-11-20T06:00:00,Semarang,65,Angin berputar 337 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Bangkalan_2023-11-20T06:00:00,Bangkalan,72*,Angin berputar 39 derajat,7.8 km/h,1011 mbar,2023-11-20 06
Banyuwangi_2023-11-20T06:00:00,Banyuwangi,37*,Angin berputar 155 derajat,6.2 km/h,1013 mbar,2023-11-20 06
Batu_2023-11-20T06:00:00,Batu,46*,Angin berputar 159 derajat,3 km/h,1013 mbar,2023-11-20 06
Blitar_2023-11-20T06:00:00,Blitar,38*,Angin berputar 187 derajat,5.9 km/h,1012 mbar,2023-11-20 06
Bojonegoro_2023-11-20T06:00:00,Bojonegoro,61*,Angin berputar 21 derajat,9.7 km/h,1011 mbar,2023-11-20 06
Bondowoso_2023-11-20T06:00:00,Bondowoso,32*,Angin berputar 201 derajat,6 km/h,1013 mbar,2023-11-20 06
Gresik_2023-11-20T06:00:00,Gresik,73*,Angin berputar 58 derajat,6.8 km/h,1011 mbar,2023-11-20 06
Jember_2023-11-20T06:00:00,Jember,41*,Angin berputar 214 derajat,1.6 km/h,1013 mbar,2023-11-20 06
Jombang_2023-11-20T06:00:00,Jombang,56*,Angin berputar 174 derajat,14 km/h,1011 mbar,2023-11-20 06
Kediri_2023-11-20T06:00:00,Kediri,39*,Angin berputar 178 derajat,17.2 km/h,1011 mbar,2023-11-20 06
Kabupaten Malang_2023-11-20T06:00:00,Kabupaten Malang,28,Angin berputar 202 derajat,1.9 km/h,1013 mbar,2023-11-20 06
Lamongan_2023-11-20T06:00:00,Lamongan,72*,Angin berputar 39 derajat,9.9 km/h,1011 mbar,2023-11-20 06
Kabupaten Lumajang_2023-11-20T06:00:00,Kabupaten Lumajang,41*,Angin berputar 176 derajat,3.5 km/h,1012 mbar,2023-11-20 06
Madiun_2023-11-20T06:00:00,Madiun,43*,Angin berputar 182 derajat,12.5 km/h,1011 mbar,2023-11-20 06
Madiun_2023-11-20T06:00:00,Madiun,43*,Angin berputar 182 derajat,12.5 km/h,1011 mbar,2023-11-20 06
Magetan_2023-11-20T06:00:00,Magetan,47*,Angin berputar 186 derajat,7.5 km/h,1012 mbar,2023-11-20 06
Kabupaten Malang_2023-11-20T06:00:00,Kabupaten Malang,28,Angin berputar 202 derajat,1.9 km/h,1013 mbar,2023-11-20 06
Mojokerto_2023-11-20T06:00:00,Mojokerto,66*,Angin berputar 109 derajat,5.4 km/h,1011 mbar,2023-11-20 06
Nganjuk_2023-11-20T06:00:00,Nganjuk,40*,Angin berputar 162 derajat,13.6 km/h,1011 mbar,2023-11-20 06
Pacitan_2023-11-20T06:00:00,Pacitan,49*,Angin berputar 168 derajat,10.5 km/h,1012 mbar,2023-11-20 06
Pamekasan_2023-11-20T06:00:00,Pamekasan,69*,Angin berputar 216 derajat,12.4 km/h,1011 mbar,2023-11-20 06
Pasuruan_2023-11-20T06:00:00,Pasuruan,59*,Angin berputar 42 derajat,5.4 km/h,1011 mbar,2023-11-20 06
Ponorogo_2023-11-20T06:00:00,Ponorogo,42*,Angin berputar 169 derajat,8.7 km/h,1012 mbar,2023-11-20 06
Probolinggo_2023-11-20T06:00:00,Probolinggo,45*,Angin berputar 172 derajat,14.3 km/h,1011 mbar,2023-11-20 06
Sampang_2023-11-20T06:00:00,Sampang,70*,Angin berputar 181 derajat,17.6 km/h,1011 mbar,2023-11-20 06
Sidoarjo_2023-11-20T06:00:00,Sidoarjo,71*,Angin berputar 65 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Situbondo_2023-11-20T06:00:00,Situbondo,31*,Angin berputar 7 derajat,11.3 km/h,1011 mbar,2023-11-20 06
Sumenep_2023-11-20T06:00:00,Sumenep,63*,Angin berputar 67 derajat,8.6 km/h,1011 mbar,2023-11-20 06
Surabaya_2023-11-20T06:00:00,Surabaya,111,Angin berputar 119 derajat,3.7 km/h,1010 mbar,2023-11-20 06
Trenggalek_2023-11-20T06:00:00,Trenggalek,40*,Angin berputar 162 derajat,4 km/h,1013 mbar,2023-11-20 06
Tuban_2023-11-20T06:00:00,Tuban,71*,Angin berputar 22 derajat,12.5 km/h,1011 mbar,2023-11-20 06
Tulungagung_2023-11-20T06:00:00,Tulungagung,40*,Angin berputar 176 derajat,5.8 km/h,1012 mbar,2023-11-20 06
