id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-25T18:00:00,Banda Aceh,44,Angin berputar 197 derajat,2.5 km/h,1008 mbar,2023-11-25 18
Langsa_2023-11-25T18:00:00,Langsa,32*,Angin berputar 7 derajat,5.7 km/h,1008 mbar,2023-11-25 18
Lhokseumawe_2023-11-25T18:00:00,Lhokseumawe,37*,Angin berputar 72 derajat,9.9 km/h,1008 mbar,2023-11-25 18
Sabang_2023-11-25T18:00:00,Sabang,38*,Angin berputar 91 derajat,12.7 km/h,1008 mbar,2023-11-25 18
Bangli_2023-11-25T18:00:00,Bangli,53*,Angin berputar 181 derajat,4.3 km/h,1009 mbar,2023-11-25 18
Denpasar_2023-11-25T18:00:00,Denpasar,61,Angin berputar 157 derajat,9.6 km/h,1007 mbar,2023-11-25 18
Gianyar_2023-11-25T18:00:00,Gianyar,52*,Angin berputar 189 derajat,5.8 km/h,1009 mbar,2023-11-25 18
Badung_2023-11-25T18:00:00,Badung,59,Angin berputar 149 derajat,5.6 km/h,1009 mbar,2023-11-25 18
Klungkung_2023-11-25T18:00:00,Klungkung,53*,Angin berputar 182 derajat,6.5 km/h,1009 mbar,2023-11-25 18
Kabupaten Buleleng_2023-11-25T18:00:00,Kabupaten Buleleng,29,Angin berputar 180 derajat,5.6 km/h,1009 mbar,2023-11-25 18
Tabanan_2023-11-25T18:00:00,Tabanan,52*,Angin berputar 191 derajat,5.1 km/h,1009 mbar,2023-11-25 18
Pandeglang_2023-11-25T18:00:00,Pandeglang,72*,Angin berputar 179 derajat,4 km/h,1008 mbar,2023-11-25 18
Kabupaten Serang_2023-11-25T18:00:00,Kabupaten Serang,64,Angin berputar 350 derajat,10 km/h,1008 mbar,2023-11-25 18
Tangerang_2023-11-25T18:00:00,Tangerang,108,Angin berputar 348 derajat,7.4 km/h,1009 mbar,2023-11-25 18
Kabupaten Serang_2023-11-25T18:00:00,Kabupaten Serang,64,Angin berputar 350 derajat,10 km/h,1008 mbar,2023-11-25 18
South Tangerang_2023-11-25T18:00:00,South Tangerang,129,Angin berputar 4 derajat,14.8 km/h,1007 mbar,2023-11-25 18
Bengkulu_2023-11-25T18:00:00,Bengkulu,55,Angin berputar 234 derajat,5.2 km/h,1009 mbar,2023-11-25 18
Kepahiang_2023-11-25T18:00:00,Kepahiang,42*,Angin berputar 237 derajat,2.8 km/h,1010 mbar,2023-11-25 18
Bantul_2023-11-25T18:00:00,Bantul,58*,Angin berputar 186 derajat,12.2 km/h,1009 mbar,2023-11-25 18
Sleman_2023-11-25T18:00:00,Sleman,64,Angin berputar 198 derajat,10.5 km/h,1009 mbar,2023-11-25 18
Yogyakarta_2023-11-25T18:00:00,Yogyakarta,58*,Angin berputar 192 derajat,12 km/h,1009 mbar,2023-11-25 18
Propinsi Gorontalo_2023-11-25T18:00:00,Propinsi Gorontalo,60,Angin berputar 154 derajat,2.3 km/h,1008 mbar,2023-11-25 18
Propinsi Gorontalo_2023-11-25T18:00:00,Propinsi Gorontalo,60,Angin berputar 154 derajat,2.3 km/h,1008 mbar,2023-11-25 18
Jambi_2023-11-25T18:00:00,Jambi,49,Angin berputar 137 derajat,4.1 km/h,1008 mbar,2023-11-25 18
Muara Sabak_2023-11-25T18:00:00,Muara Sabak,40,Angin berputar 245 derajat,6.7 km/h,1008 mbar,2023-11-25 18
Sungai Penuh_2023-11-25T18:00:00,Sungai Penuh,50*,Angin berputar 234 derajat,3.2 km/h,1011 mbar,2023-11-25 18
Sarolangun_2023-11-25T18:00:00,Sarolangun,51*,Angin berputar 153 derajat,4.4 km/h,1008 mbar,2023-11-25 18
Bandung_2023-11-25T18:00:00,Bandung,81,Angin berputar 21 derajat,4.5 km/h,1010 mbar,2023-11-25 18
Banjar_2023-11-25T18:00:00,Banjar,62*,Angin berputar 214 derajat,5.4 km/h,1010 mbar,2023-11-25 18
Ciamis_2023-11-25T18:00:00,Ciamis,55*,Angin berputar 142 derajat,5.8 km/h,1009 mbar,2023-11-25 18
Cianjur_2023-11-25T18:00:00,Cianjur,72*,Angin berputar 209 derajat,3.3 km/h,1009 mbar,2023-11-25 18
Bogor_2023-11-25T18:00:00,Bogor,59,Angin berputar 17 derajat,6.9 km/h,987 mbar,2023-11-25 18
Bekasi_2023-11-25T18:00:00,Bekasi,155,Angin berputar 345 derajat,14.8 km/h,1006 mbar,2023-11-25 18
Cimahi_2023-11-25T18:00:00,Cimahi,73*,Angin berputar 346 derajat,5.3 km/h,1010 mbar,2023-11-25 18
Cirebon_2023-11-25T18:00:00,Cirebon,148,Angin berputar 52 derajat,11.8 km/h,1008 mbar,2023-11-25 18
Garut_2023-11-25T18:00:00,Garut,57*,Angin berputar 113 derajat,5.9 km/h,1010 mbar,2023-11-25 18
Indramayu_2023-11-25T18:00:00,Indramayu,61*,Angin berputar 32 derajat,18.2 km/h,1008 mbar,2023-11-25 18
Karawang_2023-11-25T18:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-25 18
Kuningan_2023-11-25T18:00:00,Kuningan,61*,Angin berputar 215 derajat,3.5 km/h,1009 mbar,2023-11-25 18
Majalengka_2023-11-25T18:00:00,Majalengka,62*,Angin berputar 56 derajat,6.9 km/h,1009 mbar,2023-11-25 18
Purwakarta_2023-11-25T18:00:00,Purwakarta,50,Angin berputar 3 derajat,6.7 km/h,1008 mbar,2023-11-25 18
Tasikmalaya_2023-11-25T18:00:00,Tasikmalaya,55*,Angin berputar 133 derajat,6 km/h,1010 mbar,2023-11-25 18
Bandung_2023-11-25T18:00:00,Bandung,81,Angin berputar 21 derajat,4.5 km/h,1010 mbar,2023-11-25 18
Subang_2023-11-25T18:00:00,Subang,59*,Angin berputar 223 derajat,3.6 km/h,1009 mbar,2023-11-25 18
Cirebon_2023-11-25T18:00:00,Cirebon,148,Angin berputar 52 derajat,11.8 km/h,1008 mbar,2023-11-25 18
Sumedang_2023-11-25T18:00:00,Sumedang,66*,Angin berputar 47 derajat,4.8 km/h,1009 mbar,2023-11-25 18
Tasikmalaya_2023-11-25T18:00:00,Tasikmalaya,55*,Angin berputar 133 derajat,6 km/h,1010 mbar,2023-11-25 18
Bogor_2023-11-25T18:00:00,Bogor,59,Angin berputar 17 derajat,6.9 km/h,987 mbar,2023-11-25 18
Bekasi_2023-11-25T18:00:00,Bekasi,155,Angin berputar 345 derajat,14.8 km/h,1006 mbar,2023-11-25 18
Bogor_2023-11-25T18:00:00,Bogor,59,Angin berputar 17 derajat,6.9 km/h,987 mbar,2023-11-25 18
Cianjur_2023-11-25T18:00:00,Cianjur,72*,Angin berputar 209 derajat,3.3 km/h,1009 mbar,2023-11-25 18
Banjarnegara_2023-11-25T18:00:00,Banjarnegara,60*,Angin berputar 186 derajat,5.9 km/h,1010 mbar,2023-11-25 18
Batang_2023-11-25T18:00:00,Batang,75*,Angin berputar 6 derajat,14.5 km/h,1008 mbar,2023-11-25 18
Blora_2023-11-25T18:00:00,Blora,70*,Angin berputar 7 derajat,10.4 km/h,1008 mbar,2023-11-25 18
Boyolali_2023-11-25T18:00:00,Boyolali,61*,Angin berputar 201 derajat,10.9 km/h,1009 mbar,2023-11-25 18
Brebes_2023-11-25T18:00:00,Brebes,64*,Angin berputar 116 derajat,10.6 km/h,1008 mbar,2023-11-25 18
Cilacap_2023-11-25T18:00:00,Cilacap,50*,Angin berputar 158 derajat,11.8 km/h,1009 mbar,2023-11-25 18
Demak_2023-11-25T18:00:00,Demak,81*,Angin berputar 141 derajat,11 km/h,1008 mbar,2023-11-25 18
Jepara_2023-11-25T18:00:00,Jepara,79*,Angin berputar 139 derajat,13.7 km/h,1008 mbar,2023-11-25 18
Pekalongan_2023-11-25T18:00:00,Pekalongan,66*,Angin berputar 208 derajat,7.1 km/h,1008 mbar,2023-11-25 18
Karanganyar_2023-11-25T18:00:00,Karanganyar,58*,Angin berputar 204 derajat,19.5 km/h,1008 mbar,2023-11-25 18
Kebumen_2023-11-25T18:00:00,Kebumen,56*,Angin berputar 176 derajat,9.6 km/h,1009 mbar,2023-11-25 18
Kendal_2023-11-25T18:00:00,Kendal,80*,Angin berputar 153 derajat,5.1 km/h,1008 mbar,2023-11-25 18
Kabupaten Klaten_2023-11-25T18:00:00,Kabupaten Klaten,57*,Angin berputar 208 derajat,13.6 km/h,1009 mbar,2023-11-25 18
Kudus_2023-11-25T18:00:00,Kudus,77*,Angin berputar 153 derajat,9 km/h,1008 mbar,2023-11-25 18
