id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-29T00:00:00,Banda Aceh,13,Angin berputar 53 derajat,4 km/h,1010 mbar,2023-11-29 00
Langsa_2023-11-29T00:00:00,Langsa,30*,Angin berputar 305 derajat,3.7 km/h,1009 mbar,2023-11-29 00
Lhokseumawe_2023-11-29T00:00:00,Lhokseumawe,30*,Angin berputar 11 derajat,6.2 km/h,1009 mbar,2023-11-29 00
Sabang_2023-11-29T00:00:00,Sabang,14*,Angin berputar 70 derajat,16.6 km/h,1009 mbar,2023-11-29 00
Bangli_2023-11-29T00:00:00,Bangli,55*,Angin berputar 176 derajat,3.2 km/h,1011 mbar,2023-11-29 00
Denpasar_2023-11-29T00:00:00,Denpasar,79,Angin berputar 199 derajat,3.7 km/h,1009 mbar,2023-11-29 00
Gianyar_2023-11-29T00:00:00,Gianyar,56*,Angin berputar 175 derajat,3.9 km/h,1010 mbar,2023-11-29 00
Badung_2023-11-29T00:00:00,Badung,92,Angin berputar 198 derajat,3.4 km/h,1010 mbar,2023-11-29 00
Klungkung_2023-11-29T00:00:00,Klungkung,55*,Angin berputar 177 derajat,4.3 km/h,1010 mbar,2023-11-29 00
Kabupaten Buleleng_2023-11-29T00:00:00,Kabupaten Buleleng,29,Angin berputar 187 derajat,8.4 km/h,1010 mbar,2023-11-29 00
Tabanan_2023-11-29T00:00:00,Tabanan,57*,Angin berputar 182 derajat,3.8 km/h,1010 mbar,2023-11-29 00
Pandeglang_2023-11-29T00:00:00,Pandeglang,101*,Angin berputar 218 derajat,3.4 km/h,1010 mbar,2023-11-29 00
Kabupaten Serang_2023-11-29T00:00:00,Kabupaten Serang,74,Angin berputar 330 derajat,6.6 km/h,1009 mbar,2023-11-29 00
Tangerang_2023-11-29T00:00:00,Tangerang,157,Angin berputar 351 derajat,11.1 km/h,1009 mbar,2023-11-29 00
Kabupaten Serang_2023-11-29T00:00:00,Kabupaten Serang,74,Angin berputar 330 derajat,6.6 km/h,1009 mbar,2023-11-29 00
South Tangerang_2023-11-29T00:00:00,South Tangerang,171,Angin berputar 2 derajat,11.1 km/h,1008 mbar,2023-11-29 00
Bengkulu_2023-11-29T00:00:00,Bengkulu,102,Angin berputar 230 derajat,5.5 km/h,1010 mbar,2023-11-29 00
Kepahiang_2023-11-29T00:00:00,Kepahiang,51*,Angin berputar 236 derajat,1.2 km/h,1011 mbar,2023-11-29 00
Bantul_2023-11-29T00:00:00,Bantul,66*,Angin berputar 146 derajat,2.9 km/h,1010 mbar,2023-11-29 00
Sleman_2023-11-29T00:00:00,Sleman,76,Angin berputar 237 derajat,1.3 km/h,1011 mbar,2023-11-29 00
Yogyakarta_2023-11-29T00:00:00,Yogyakarta,69*,Angin berputar 237 derajat,1.9 km/h,1010 mbar,2023-11-29 00
Propinsi Gorontalo_2023-11-29T00:00:00,Propinsi Gorontalo,59,Angin berputar 34 derajat,4.5 km/h,1009 mbar,2023-11-29 00
Propinsi Gorontalo_2023-11-29T00:00:00,Propinsi Gorontalo,59,Angin berputar 34 derajat,4.5 km/h,1009 mbar,2023-11-29 00
Jambi_2023-11-29T00:00:00,Jambi,115,Angin berputar 190 derajat,4.1 km/h,1009 mbar,2023-11-29 00
Muara Sabak_2023-11-29T00:00:00,Muara Sabak,67,Angin berputar 191 derajat,5.5 km/h,1009 mbar,2023-11-29 00
Sungai Penuh_2023-11-29T00:00:00,Sungai Penuh,51*,Angin berputar 218 derajat,1.6 km/h,1012 mbar,2023-11-29 00
Sarolangun_2023-11-29T00:00:00,Sarolangun,57*,Angin berputar 57 derajat,0.8 km/h,1009 mbar,2023-11-29 00
Bandung_2023-11-29T00:00:00,Bandung,151,Angin berputar 7 derajat,1.9 km/h,1012 mbar,2023-11-29 00
Banjar_2023-11-29T00:00:00,Banjar,60*,Angin berputar 153 derajat,0.8 km/h,1012 mbar,2023-11-29 00
Ciamis_2023-11-29T00:00:00,Ciamis,60*,Angin berputar 130 derajat,0.9 km/h,1011 mbar,2023-11-29 00
