id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-20T00:00:00,Banda Aceh,29,Angin berputar 174 derajat,6.6 km/h,1012 mbar,2023-11-20 00
Langsa_2023-11-20T00:00:00,Langsa,27*,Angin berputar 41 derajat,3.5 km/h,1012 mbar,2023-11-20 00
Lhokseumawe_2023-11-20T00:00:00,Lhokseumawe,26*,Angin berputar 85 derajat,12.5 km/h,1012 mbar,2023-11-20 00
Sabang_2023-11-20T00:00:00,Sabang,29*,Angin berputar 98 derajat,22.5 km/h,1012 mbar,2023-11-20 00
Bangli_2023-11-20T00:00:00,Bangli,40*,Angin berputar 168 derajat,0.9 km/h,1012 mbar,2023-11-20 00
Denpasar_2023-11-20T00:00:00,Denpasar,76,Angin berputar 182 derajat,1.8 km/h,1011 mbar,2023-11-20 00
Gianyar_2023-11-20T00:00:00,Gianyar,41*,Angin berputar 174 derajat,2 km/h,1012 mbar,2023-11-20 00
Badung_2023-11-20T00:00:00,Badung,69,Angin berputar 184 derajat,3.7 km/h,1012 mbar,2023-11-20 00
Klungkung_2023-11-20T00:00:00,Klungkung,39*,Angin berputar 175 derajat,0.9 km/h,1012 mbar,2023-11-20 00
Kabupaten Buleleng_2023-11-20T00:00:00,Kabupaten Buleleng,37,Angin berputar 186 derajat,10.3 km/h,1012 mbar,2023-11-20 00
Tabanan_2023-11-20T00:00:00,Tabanan,41*,Angin berputar 180 derajat,5 km/h,1012 mbar,2023-11-20 00
Pandeglang_2023-11-20T00:00:00,Pandeglang,108*,Angin berputar 217 derajat,5 km/h,1012 mbar,2023-11-20 00
Kabupaten Serang_2023-11-20T00:00:00,Kabupaten Serang,67,Angin berputar 344 derajat,6.9 km/h,1011 mbar,2023-11-20 00
Tangerang_2023-11-20T00:00:00,Tangerang,157,Angin berputar 5 derajat,14.8 km/h,1010 mbar,2023-11-20 00
Kabupaten Serang_2023-11-20T00:00:00,Kabupaten Serang,67,Angin berputar 344 derajat,6.9 km/h,1011 mbar,2023-11-20 00
South Tangerang_2023-11-20T00:00:00,South Tangerang,160,Angin berputar 10 derajat,14.8 km/h,1008 mbar,2023-11-20 00
Bengkulu_2023-11-20T00:00:00,Bengkulu,73,Angin berputar 199 derajat,9.1 km/h,1012 mbar,2023-11-20 00
Kepahiang_2023-11-20T00:00:00,Kepahiang,47*,Angin berputar 181 derajat,0.8 km/h,1013 mbar,2023-11-20 00
Bantul_2023-11-20T00:00:00,Bantul,54*,Angin berputar 182 derajat,2.7 km/h,1012 mbar,2023-11-20 00
Sleman_2023-11-20T00:00:00,Sleman,61,Angin berputar 192 derajat,3.9 km/h,1013 mbar,2023-11-20 00
Yogyakarta_2023-11-20T00:00:00,Yogyakarta,54*,Angin berputar 186 derajat,2.3 km/h,1013 mbar,2023-11-20 00
Propinsi Gorontalo_2023-11-20T00:00:00,Propinsi Gorontalo,64,Angin berputar 216 derajat,3 km/h,1010 mbar,2023-11-20 00
Propinsi Gorontalo_2023-11-20T00:00:00,Propinsi Gorontalo,64,Angin berputar 216 derajat,3 km/h,1010 mbar,2023-11-20 00
Jambi_2023-11-20T00:00:00,Jambi,80,Angin berputar 66 derajat,4.5 km/h,1011 mbar,2023-11-20 00
Muara Sabak_2023-11-20T00:00:00,Muara Sabak,47*,Angin berputar 330 derajat,6.5 km/h,1011 mbar,2023-11-20 00
Sungai Penuh_2023-11-20T00:00:00,Sungai Penuh,53*,Angin berputar 46 derajat,2 km/h,1015 mbar,2023-11-20 00
Sarolangun_2023-11-20T00:00:00,Sarolangun,57*,Angin berputar 331 derajat,3.9 km/h,1012 mbar,2023-11-20 00
Bandung_2023-11-20T00:00:00,Bandung,127,Angin berputar 352 derajat,1.5 km/h,1014 mbar,2023-11-20 00
Banjar_2023-11-20T00:00:00,Banjar,70*,Angin berputar 199 derajat,1.8 km/h,1015 mbar,2023-11-20 00
Ciamis_2023-11-20T00:00:00,Ciamis,59*,Angin berputar 152 derajat,2.6 km/h,1014 mbar,2023-11-20 00
Cianjur_2023-11-20T00:00:00,Cianjur,90*,Angin berputar 194 derajat,1.4 km/h,1013 mbar,2023-11-20 00
Bogor_2023-11-20T00:00:00,Bogor,85,Angin berputar 4 derajat,4.9 km/h,1012 mbar,2023-11-20 00
Bekasi_2023-11-20T00:00:00,Bekasi,94,Angin berputar 1 derajat,14.8 km/h,1006 mbar,2023-11-20 00
Cimahi_2023-11-20T00:00:00,Cimahi,93*,Angin berputar 8 derajat,0.9 km/h,1013 mbar,2023-11-20 00
Cirebon_2023-11-20T00:00:00,Cirebon,153,Angin berputar 37 derajat,13.7 km/h,1011 mbar,2023-11-20 00
Garut_2023-11-20T00:00:00,Garut,61*,Angin berputar 131 derajat,4.1 km/h,1015 mbar,2023-11-20 00
Indramayu_2023-11-20T00:00:00,Indramayu,68*,Angin berputar 25 derajat,3.8 km/h,1011 mbar,2023-11-20 00
Karawang_2023-11-20T00:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-20 00
