id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-28T12:00:00,Banda Aceh,14,Angin berputar 187 derajat,14.6 km/h,1010 mbar,2023-11-28 12
Langsa_2023-11-28T12:00:00,Langsa,26*,Angin berputar 297 derajat,4.9 km/h,1009 mbar,2023-11-28 12
Lhokseumawe_2023-11-28T12:00:00,Lhokseumawe,24*,Angin berputar 293 derajat,10.3 km/h,1010 mbar,2023-11-28 12
Sabang_2023-11-28T12:00:00,Sabang,6*,Angin berputar 70 derajat,26.2 km/h,1010 mbar,2023-11-28 12
Bangli_2023-11-28T12:00:00,Bangli,44*,Angin berputar 171 derajat,9.4 km/h,1010 mbar,2023-11-28 12
Denpasar_2023-11-28T12:00:00,Denpasar,55,Angin berputar 190 derajat,9.6 km/h,1010 mbar,2023-11-28 12
Gianyar_2023-11-28T12:00:00,Gianyar,44*,Angin berputar 170 derajat,10.6 km/h,1010 mbar,2023-11-28 12
Badung_2023-11-28T12:00:00,Badung,55,Angin berputar 200 derajat,10.4 km/h,1010 mbar,2023-11-28 12
Klungkung_2023-11-28T12:00:00,Klungkung,45*,Angin berputar 171 derajat,10.9 km/h,1010 mbar,2023-11-28 12
Kabupaten Buleleng_2023-11-28T12:00:00,Kabupaten Buleleng,37,Angin berputar 190 derajat,2.6 km/h,1010 mbar,2023-11-28 12
Tabanan_2023-11-28T12:00:00,Tabanan,44*,Angin berputar 179 derajat,10.3 km/h,1010 mbar,2023-11-28 12
Pandeglang_2023-11-28T12:00:00,Pandeglang,83*,Angin berputar 218 derajat,3.7 km/h,1009 mbar,2023-11-28 12
Kabupaten Serang_2023-11-28T12:00:00,Kabupaten Serang,80,Angin berputar 20 derajat,5.5 km/h,1009 mbar,2023-11-28 12
Tangerang_2023-11-28T12:00:00,Tangerang,155,Angin berputar 22 derajat,13 km/h,1009 mbar,2023-11-28 12
Kabupaten Serang_2023-11-28T12:00:00,Kabupaten Serang,80,Angin berputar 20 derajat,5.5 km/h,1009 mbar,2023-11-28 12
South Tangerang_2023-11-28T12:00:00,South Tangerang,152,Angin berputar 18 derajat,13 km/h,1006 mbar,2023-11-28 12
