id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-21T12:00:00,Banda Aceh,54,Angin berputar 63 derajat,12.6 km/h,1012 mbar,2023-11-21 12
Langsa_2023-11-21T12:00:00,Langsa,20*,Angin berputar 303 derajat,2.6 km/h,1012 mbar,2023-11-21 12
Lhokseumawe_2023-11-21T12:00:00,Lhokseumawe,30*,Angin berputar 58 derajat,8.7 km/h,1012 mbar,2023-11-21 12
Sabang_2023-11-21T12:00:00,Sabang,40*,Angin berputar 95 derajat,18.3 km/h,1012 mbar,2023-11-21 12
Bangli_2023-11-21T12:00:00,Bangli,35*,Angin berputar 143 derajat,10.5 km/h,1011 mbar,2023-11-21 12
Denpasar_2023-11-21T12:00:00,Denpasar,41,Angin berputar 178 derajat,18.5 km/h,1010 mbar,2023-11-21 12
Gianyar_2023-11-21T12:00:00,Gianyar,35*,Angin berputar 146 derajat,12.9 km/h,1011 mbar,2023-11-21 12
Badung_2023-11-21T12:00:00,Badung,53,Angin berputar 180 derajat,14.1 km/h,1010 mbar,2023-11-21 12
Klungkung_2023-11-21T12:00:00,Klungkung,35*,Angin berputar 153 derajat,12.3 km/h,1011 mbar,2023-11-21 12
Kabupaten Buleleng_2023-11-21T12:00:00,Kabupaten Buleleng,25,Angin berputar 187 derajat,2.8 km/h,1010 mbar,2023-11-21 12
Tabanan_2023-11-21T12:00:00,Tabanan,35*,Angin berputar 149 derajat,14.4 km/h,1010 mbar,2023-11-21 12
Pandeglang_2023-11-21T12:00:00,Pandeglang,103*,Angin berputar 217 derajat,3.6 km/h,1010 mbar,2023-11-21 12
Kabupaten Serang_2023-11-21T12:00:00,Kabupaten Serang,118,Angin berputar 328 derajat,9.4 km/h,1010 mbar,2023-11-21 12
Tangerang_2023-11-21T12:00:00,Tangerang,146,Angin berputar 358 derajat,14.8 km/h,1008 mbar,2023-11-21 12
Kabupaten Serang_2023-11-21T12:00:00,Kabupaten Serang,118,Angin berputar 328 derajat,9.4 km/h,1010 mbar,2023-11-21 12
South Tangerang_2023-11-21T12:00:00,South Tangerang,149,Angin berputar 359 derajat,14.8 km/h,1006 mbar,2023-11-21 12
Bengkulu_2023-11-21T12:00:00,Bengkulu,77,Angin berputar 185 derajat,13.4 km/h,1010 mbar,2023-11-21 12
Kepahiang_2023-11-21T12:00:00,Kepahiang,33*,Angin berputar 185 derajat,3.2 km/h,1011 mbar,2023-11-21 12
Bantul_2023-11-21T12:00:00,Bantul,40*,Angin berputar 168 derajat,14.7 km/h,1010 mbar,2023-11-21 12
Sleman_2023-11-21T12:00:00,Sleman,58,Angin berputar 190 derajat,9.4 km/h,1011 mbar,2023-11-21 12
Yogyakarta_2023-11-21T12:00:00,Yogyakarta,40*,Angin berputar 182 derajat,11.1 km/h,1010 mbar,2023-11-21 12
Propinsi Gorontalo_2023-11-21T12:00:00,Propinsi Gorontalo,67,Angin berputar 210 derajat,12 km/h,1009 mbar,2023-11-21 12
