id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-26T00:00:00,Banda Aceh,35,Angin berputar 43 derajat,9.9 km/h,1012 mbar,2023-11-26 00
Langsa_2023-11-26T00:00:00,Langsa,20*,Angin berputar 6 derajat,4.5 km/h,1011 mbar,2023-11-26 00
Lhokseumawe_2023-11-26T00:00:00,Lhokseumawe,35*,Angin berputar 56 derajat,0.3 km/h,1012 mbar,2023-11-26 00
Sabang_2023-11-26T00:00:00,Sabang,42*,Angin berputar 69 derajat,7.2 km/h,1012 mbar,2023-11-26 00
Bangli_2023-11-26T00:00:00,Bangli,58*,Angin berputar 181 derajat,2.8 km/h,1011 mbar,2023-11-26 00
Denpasar_2023-11-26T00:00:00,Denpasar,81,Angin berputar 146 derajat,1.8 km/h,1010 mbar,2023-11-26 00
Gianyar_2023-11-26T00:00:00,Gianyar,58*,Angin berputar 189 derajat,4.2 km/h,1011 mbar,2023-11-26 00
Badung_2023-11-26T00:00:00,Badung,63,Angin berputar 149 derajat,3.7 km/h,1011 mbar,2023-11-26 00
Klungkung_2023-11-26T00:00:00,Klungkung,58*,Angin berputar 182 derajat,4.7 km/h,1011 mbar,2023-11-26 00
Kabupaten Buleleng_2023-11-26T00:00:00,Kabupaten Buleleng,33,Angin berputar 182 derajat,8.8 km/h,1011 mbar,2023-11-26 00
Tabanan_2023-11-26T00:00:00,Tabanan,60*,Angin berputar 208 derajat,2.9 km/h,1011 mbar,2023-11-26 00
Pandeglang_2023-11-26T00:00:00,Pandeglang,90*,Angin berputar 179 derajat,4.7 km/h,1011 mbar,2023-11-26 00
Kabupaten Serang_2023-11-26T00:00:00,Kabupaten Serang,93,Angin berputar 339 derajat,5.3 km/h,1011 mbar,2023-11-26 00
Tangerang_2023-11-26T00:00:00,Tangerang,153,Angin berputar 1 derajat,5.5 km/h,1009 mbar,2023-11-26 00
Kabupaten Serang_2023-11-26T00:00:00,Kabupaten Serang,93,Angin berputar 339 derajat,5.3 km/h,1011 mbar,2023-11-26 00
South Tangerang_2023-11-26T00:00:00,South Tangerang,155,Angin berputar 19 derajat,5.5 km/h,1007 mbar,2023-11-26 00
Bengkulu_2023-11-26T00:00:00,Bengkulu,80,Angin berputar 208 derajat,4.3 km/h,1011 mbar,2023-11-26 00
Kepahiang_2023-11-26T00:00:00,Kepahiang,45*,Angin berputar 243 derajat,2.7 km/h,1013 mbar,2023-11-26 00
Bantul_2023-11-26T00:00:00,Bantul,72*,Angin berputar 193 derajat,3.9 km/h,1011 mbar,2023-11-26 00
Sleman_2023-11-26T00:00:00,Sleman,106,Angin berputar 205 derajat,5.1 km/h,1012 mbar,2023-11-26 00
Yogyakarta_2023-11-26T00:00:00,Yogyakarta,73*,Angin berputar 201 derajat,4.5 km/h,1012 mbar,2023-11-26 00
Propinsi Gorontalo_2023-11-26T00:00:00,Propinsi Gorontalo,61,Angin berputar 171 derajat,5.1 km/h,1009 mbar,2023-11-26 00
Propinsi Gorontalo_2023-11-26T00:00:00,Propinsi Gorontalo,61,Angin berputar 171 derajat,5.1 km/h,1009 mbar,2023-11-26 00
Jambi_2023-11-26T00:00:00,Jambi,143,Angin berputar 111 derajat,2.5 km/h,1011 mbar,2023-11-26 00
Muara Sabak_2023-11-26T00:00:00,Muara Sabak,45,Angin berputar 235 derajat,7.2 km/h,1011 mbar,2023-11-26 00
Sungai Penuh_2023-11-26T00:00:00,Sungai Penuh,53*,Angin berputar 247 derajat,3.8 km/h,1014 mbar,2023-11-26 00
Sarolangun_2023-11-26T00:00:00,Sarolangun,61*,Angin berputar 153 derajat,2.2 km/h,1011 mbar,2023-11-26 00
Bandung_2023-11-26T00:00:00,Bandung,144,Angin berputar 27 derajat,1.6 km/h,1013 mbar,2023-11-26 00
Banjar_2023-11-26T00:00:00,Banjar,66*,Angin berputar 177 derajat,4.7 km/h,1014 mbar,2023-11-26 00
Ciamis_2023-11-26T00:00:00,Ciamis,72*,Angin berputar 124 derajat,3.1 km/h,1012 mbar,2023-11-26 00
Cianjur_2023-11-26T00:00:00,Cianjur,79*,Angin berputar 353 derajat,3.9 km/h,1012 mbar,2023-11-26 00
Bogor_2023-11-26T00:00:00,Bogor,61,Angin berputar 20 derajat,3.7 km/h,1011 mbar,2023-11-26 00
Bekasi_2023-11-26T00:00:00,Bekasi,151,Angin berputar 32 derajat,5.5 km/h,1005 mbar,2023-11-26 00
Cimahi_2023-11-26T00:00:00,Cimahi,84*,Angin berputar 347 derajat,1.9 km/h,1012 mbar,2023-11-26 00
Cirebon_2023-11-26T00:00:00,Cirebon,127,Angin berputar 52 derajat,7.5 km/h,1010 mbar,2023-11-26 00
Garut_2023-11-26T00:00:00,Garut,70*,Angin berputar 113 derajat,4.4 km/h,1013 mbar,2023-11-26 00
Indramayu_2023-11-26T00:00:00,Indramayu,77*,Angin berputar 20 derajat,5.4 km/h,1010 mbar,2023-11-26 00
Karawang_2023-11-26T00:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-26 00
Kuningan_2023-11-26T00:00:00,Kuningan,81*,Angin berputar 215 derajat,7.2 km/h,1012 mbar,2023-11-26 00
Majalengka_2023-11-26T00:00:00,Majalengka,90*,Angin berputar 55 derajat,4.9 km/h,1011 mbar,2023-11-26 00
Purwakarta_2023-11-26T00:00:00,Purwakarta,119,Angin berputar 22 derajat,1.8 km/h,1011 mbar,2023-11-26 00
Tasikmalaya_2023-11-26T00:00:00,Tasikmalaya,70*,Angin berputar 133 derajat,3.4 km/h,1012 mbar,2023-11-26 00
Bandung_2023-11-26T00:00:00,Bandung,144,Angin berputar 27 derajat,1.6 km/h,1013 mbar,2023-11-26 00
Subang_2023-11-26T00:00:00,Subang,78*,Angin berputar 223 derajat,5 km/h,1012 mbar,2023-11-26 00
Cirebon_2023-11-26T00:00:00,Cirebon,127,Angin berputar 52 derajat,7.5 km/h,1010 mbar,2023-11-26 00
Sumedang_2023-11-26T00:00:00,Sumedang,94*,Angin berputar 40 derajat,3.3 km/h,1012 mbar,2023-11-26 00
Tasikmalaya_2023-11-26T00:00:00,Tasikmalaya,70*,Angin berputar 133 derajat,3.4 km/h,1012 mbar,2023-11-26 00
Bogor_2023-11-26T00:00:00,Bogor,61,Angin berputar 20 derajat,3.7 km/h,1011 mbar,2023-11-26 00
Bekasi_2023-11-26T00:00:00,Bekasi,151,Angin berputar 32 derajat,5.5 km/h,1005 mbar,2023-11-26 00
Bogor_2023-11-26T00:00:00,Bogor,61,Angin berputar 20 derajat,3.7 km/h,1011 mbar,2023-11-26 00
