id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-27T00:00:00,Banda Aceh,27,Angin berputar 76 derajat,5.1 km/h,1012 mbar,2023-11-27 00
Langsa_2023-11-27T00:00:00,Langsa,17*,Angin berputar 359 derajat,4.2 km/h,1011 mbar,2023-11-27 00
Lhokseumawe_2023-11-27T00:00:00,Lhokseumawe,13*,Angin berputar 269 derajat,4.6 km/h,1012 mbar,2023-11-27 00
Sabang_2023-11-27T00:00:00,Sabang,12*,Angin berputar 86 derajat,18.1 km/h,1012 mbar,2023-11-27 00
Bangli_2023-11-27T00:00:00,Bangli,53*,Angin berputar 195 derajat,3.5 km/h,1011 mbar,2023-11-27 00
Denpasar_2023-11-27T00:00:00,Denpasar,162,Angin berputar 168 derajat,9.6 km/h,1009 mbar,2023-11-27 00
Gianyar_2023-11-27T00:00:00,Gianyar,53*,Angin berputar 197 derajat,4.3 km/h,1010 mbar,2023-11-27 00
Badung_2023-11-27T00:00:00,Badung,132,Angin berputar 171 derajat,3.5 km/h,1010 mbar,2023-11-27 00
Klungkung_2023-11-27T00:00:00,Klungkung,53*,Angin berputar 195 derajat,5.3 km/h,1010 mbar,2023-11-27 00
Kabupaten Buleleng_2023-11-27T00:00:00,Kabupaten Buleleng,33,Angin berputar 188 derajat,10.1 km/h,1010 mbar,2023-11-27 00
Tabanan_2023-11-27T00:00:00,Tabanan,54*,Angin berputar 198 derajat,3.3 km/h,1010 mbar,2023-11-27 00
Pandeglang_2023-11-27T00:00:00,Pandeglang,85*,Angin berputar 159 derajat,3.6 km/h,1011 mbar,2023-11-27 00
Kabupaten Serang_2023-11-27T00:00:00,Kabupaten Serang,88,Angin berputar 323 derajat,6.3 km/h,1010 mbar,2023-11-27 00
Tangerang_2023-11-27T00:00:00,Tangerang,158,Angin berputar 320 derajat,5.5 km/h,1010 mbar,2023-11-27 00
Kabupaten Serang_2023-11-27T00:00:00,Kabupaten Serang,88,Angin berputar 323 derajat,6.3 km/h,1010 mbar,2023-11-27 00
South Tangerang_2023-11-27T00:00:00,South Tangerang,158,Angin berputar 342 derajat,5.5 km/h,1012 mbar,2023-11-27 00
Bengkulu_2023-11-27T00:00:00,Bengkulu,105,Angin berputar 244 derajat,6.7 km/h,1011 mbar,2023-11-27 00
Kepahiang_2023-11-27T00:00:00,Kepahiang,45*,Angin berputar 242 derajat,0.9 km/h,1013 mbar,2023-11-27 00
Bantul_2023-11-27T00:00:00,Bantul,74*,Angin berputar 193 derajat,5.3 km/h,1011 mbar,2023-11-27 00
Sleman_2023-11-27T00:00:00,Sleman,90,Angin berputar 203 derajat,4.6 km/h,1011 mbar,2023-11-27 00
Yogyakarta_2023-11-27T00:00:00,Yogyakarta,76*,Angin berputar 199 derajat,5.3 km/h,1011 mbar,2023-11-27 00
Propinsi Gorontalo_2023-11-27T00:00:00,Propinsi Gorontalo,60,Angin berputar 22 derajat,3.1 km/h,1009 mbar,2023-11-27 00
Propinsi Gorontalo_2023-11-27T00:00:00,Propinsi Gorontalo,60,Angin berputar 22 derajat,3.1 km/h,1009 mbar,2023-11-27 00
Jambi_2023-11-27T00:00:00,Jambi,102,Angin berputar 53 derajat,1.6 km/h,1010 mbar,2023-11-27 00
Muara Sabak_2023-11-27T00:00:00,Muara Sabak,68,Angin berputar 9 derajat,1.1 km/h,1010 mbar,2023-11-27 00
Sungai Penuh_2023-11-27T00:00:00,Sungai Penuh,43*,Angin berputar 227 derajat,2.3 km/h,1014 mbar,2023-11-27 00
Sarolangun_2023-11-27T00:00:00,Sarolangun,54*,Angin berputar 33 derajat,1.2 km/h,1011 mbar,2023-11-27 00
Bandung_2023-11-27T00:00:00,Bandung,59,Angin berputar 19 derajat,3.1 km/h,1013 mbar,2023-11-27 00
Banjar_2023-11-27T00:00:00,Banjar,66*,Angin berputar 165 derajat,0.9 km/h,1013 mbar,2023-11-27 00
Ciamis_2023-11-27T00:00:00,Ciamis,74*,Angin berputar 167 derajat,1.9 km/h,1012 mbar,2023-11-27 00
Cianjur_2023-11-27T00:00:00,Cianjur,71*,Angin berputar 218 derajat,3.1 km/h,1012 mbar,2023-11-27 00
Bogor_2023-11-27T00:00:00,Bogor,58,Angin berputar 200 derajat,5 km/h,1011 mbar,2023-11-27 00
Bekasi_2023-11-27T00:00:00,Bekasi,114,Angin berputar 336 derajat,5.5 km/h,1006 mbar,2023-11-27 00
Cimahi_2023-11-27T00:00:00,Cimahi,77*,Angin berputar 352 derajat,3.2 km/h,1012 mbar,2023-11-27 00
Cirebon_2023-11-27T00:00:00,Cirebon,119,Angin berputar 58 derajat,8.7 km/h,1010 mbar,2023-11-27 00
Garut_2023-11-27T00:00:00,Garut,73*,Angin berputar 146 derajat,2.6 km/h,1013 mbar,2023-11-27 00
Indramayu_2023-11-27T00:00:00,Indramayu,79*,Angin berputar 343 derajat,7.2 km/h,1010 mbar,2023-11-27 00
Karawang_2023-11-27T00:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-27 00
Kuningan_2023-11-27T00:00:00,Kuningan,80*,Angin berputar 187 derajat,6.3 km/h,1012 mbar,2023-11-27 00
Majalengka_2023-11-27T00:00:00,Majalengka,86*,Angin berputar 183 derajat,3.8 km/h,1011 mbar,2023-11-27 00
Purwakarta_2023-11-27T00:00:00,Purwakarta,74,Angin berputar 354 derajat,4.2 km/h,1011 mbar,2023-11-27 00
Tasikmalaya_2023-11-27T00:00:00,Tasikmalaya,73*,Angin berputar 168 derajat,2.3 km/h,1012 mbar,2023-11-27 00
Bandung_2023-11-27T00:00:00,Bandung,59,Angin berputar 19 derajat,3.1 km/h,1013 mbar,2023-11-27 00
Subang_2023-11-27T00:00:00,Subang,76*,Angin berputar 181 derajat,4.1 km/h,1012 mbar,2023-11-27 00
Cirebon_2023-11-27T00:00:00,Cirebon,119,Angin berputar 58 derajat,8.7 km/h,1010 mbar,2023-11-27 00
Sumedang_2023-11-27T00:00:00,Sumedang,88*,Angin berputar 184 derajat,3.7 km/h,1012 mbar,2023-11-27 00
Tasikmalaya_2023-11-27T00:00:00,Tasikmalaya,73*,Angin berputar 168 derajat,2.3 km/h,1012 mbar,2023-11-27 00
Bogor_2023-11-27T00:00:00,Bogor,58,Angin berputar 200 derajat,5 km/h,1011 mbar,2023-11-27 00
Bekasi_2023-11-27T00:00:00,Bekasi,114,Angin berputar 336 derajat,5.5 km/h,1006 mbar,2023-11-27 00
Bogor_2023-11-27T00:00:00,Bogor,58,Angin berputar 200 derajat,5 km/h,1011 mbar,2023-11-27 00
Cianjur_2023-11-27T00:00:00,Cianjur,71*,Angin berputar 218 derajat,3.1 km/h,1012 mbar,2023-11-27 00
Banjarnegara_2023-11-27T00:00:00,Banjarnegara,84*,Angin berputar 181 derajat,0.8 km/h,1012 mbar,2023-11-27 00
Batang_2023-11-27T00:00:00,Batang,81*,Angin berputar 147 derajat,2.4 km/h,1010 mbar,2023-11-27 00
Blora_2023-11-27T00:00:00,Blora,82*,Angin berputar 217 derajat,6.1 km/h,1010 mbar,2023-11-27 00
Boyolali_2023-11-27T00:00:00,Boyolali,83*,Angin berputar 208 derajat,8.4 km/h,1012 mbar,2023-11-27 00
Brebes_2023-11-27T00:00:00,Brebes,73*,Angin berputar 202 derajat,14.2 km/h,1010 mbar,2023-11-27 00
Cilacap_2023-11-27T00:00:00,Cilacap,70*,Angin berputar 171 derajat,7.8 km/h,1011 mbar,2023-11-27 00
Demak_2023-11-27T00:00:00,Demak,99*,Angin berputar 126 derajat,7.1 km/h,1010 mbar,2023-11-27 00
Jepara_2023-11-27T00:00:00,Jepara,87*,Angin berputar 135 derajat,4.2 km/h,1010 mbar,2023-11-27 00
Pekalongan_2023-11-27T00:00:00,Pekalongan,70*,Angin berputar 209 derajat,6.9 km/h,1010 mbar,2023-11-27 00
Karanganyar_2023-11-27T00:00:00,Karanganyar,77*,Angin berputar 211 derajat,10.2 km/h,1011 mbar,2023-11-27 00
Kebumen_2023-11-27T00:00:00,Kebumen,81*,Angin berputar 182 derajat,2.4 km/h,1011 mbar,2023-11-27 00
Kendal_2023-11-27T00:00:00,Kendal,81*,Angin berputar 335 derajat,6.9 km/h,1010 mbar,2023-11-27 00
Kabupaten Klaten_2023-11-27T00:00:00,Kabupaten Klaten,76*,Angin berputar 204 derajat,6 km/h,1011 mbar,2023-11-27 00
Kudus_2023-11-27T00:00:00,Kudus,99*,Angin berputar 190 derajat,6.6 km/h,1010 mbar,2023-11-27 00
Magelang_2023-11-27T00:00:00,Magelang,89*,Angin berputar 201 derajat,0.5 km/h,1012 mbar,2023-11-27 00
Magelang_2023-11-27T00:00:00,Magelang,89*,Angin berputar 201 derajat,0.5 km/h,1012 mbar,2023-11-27 00
Pati_2023-11-27T00:00:00,Pati,95*,Angin berputar 201 derajat,9.1 km/h,1010 mbar,2023-11-27 00
Pekalongan_2023-11-27T00:00:00,Pekalongan,70*,Angin berputar 209 derajat,6.9 km/h,1010 mbar,2023-11-27 00
Pemalang_2023-11-27T00:00:00,Pemalang,70*,Angin berputar 206 derajat,12.7 km/h,1010 mbar,2023-11-27 00
Purbalingga_2023-11-27T00:00:00,Purbalingga,78*,Angin berputar 185 derajat,0.4 km/h,1012 mbar,2023-11-27 00
Banyumas_2023-11-27T00:00:00,Banyumas,77*,Angin berputar 193 derajat,3 km/h,1011 mbar,2023-11-27 00
Purworejo_2023-11-27T00:00:00,Purworejo,82*,Angin berputar 192 derajat,4.7 km/h,1011 mbar,2023-11-27 00
Rembang_2023-11-27T00:00:00,Rembang,74*,Angin berputar 197 derajat,10.3 km/h,1010 mbar,2023-11-27 00
Salatiga_2023-11-27T00:00:00,Salatiga,91*,Angin berputar 234 derajat,7.1 km/h,1012 mbar,2023-11-27 00
Semarang_2023-11-27T00:00:00,Semarang,119,Angin berputar 321 derajat,7.4 km/h,1010 mbar,2023-11-27 00
Tegal_2023-11-27T00:00:00,Tegal,71*,Angin berputar 213 derajat,14.1 km/h,1010 mbar,2023-11-27 00
Sragen_2023-11-27T00:00:00,Sragen,88*,Angin berputar 214 derajat,13.2 km/h,1010 mbar,2023-11-27 00
Sukoharjo_2023-11-27T00:00:00,Sukoharjo,74*,Angin berputar 206 derajat,8.8 km/h,1011 mbar,2023-11-27 00
Surakarta_2023-11-27T00:00:00,Surakarta,58,Angin berputar 205 derajat,12.6 km/h,1010 mbar,2023-11-27 00
Tegal_2023-11-27T00:00:00,Tegal,71*,Angin berputar 213 derajat,14.1 km/h,1010 mbar,2023-11-27 00
Temanggung_2023-11-27T00:00:00,Temanggung,90*,Angin berputar 186 derajat,4.9 km/h,1012 mbar,2023-11-27 00
Semarang_2023-11-27T00:00:00,Semarang,119,Angin berputar 321 derajat,7.4 km/h,1010 mbar,2023-11-27 00
Wonogiri_2023-11-27T00:00:00,Wonogiri,71*,Angin berputar 194 derajat,5.1 km/h,1011 mbar,2023-11-27 00
Wonosobo_2023-11-27T00:00:00,Wonosobo,87*,Angin berputar 189 derajat,1.9 km/h,1013 mbar,2023-11-27 00
Semarang_2023-11-27T00:00:00,Semarang,119,Angin berputar 321 derajat,7.4 km/h,1010 mbar,2023-11-27 00
Bangkalan_2023-11-27T00:00:00,Bangkalan,87*,Angin berputar 232 derajat,5 km/h,1009 mbar,2023-11-27 00
Banyuwangi_2023-11-27T00:00:00,Banyuwangi,61*,Angin berputar 159 derajat,5.9 km/h,1011 mbar,2023-11-27 00
Batu_2023-11-27T00:00:00,Batu,68*,Angin berputar 170 derajat,2.6 km/h,1012 mbar,2023-11-27 00
Blitar_2023-11-27T00:00:00,Blitar,62*,Angin berputar 192 derajat,1.7 km/h,1011 mbar,2023-11-27 00
Bojonegoro_2023-11-27T00:00:00,Bojonegoro,79*,Angin berputar 152 derajat,12.6 km/h,1010 mbar,2023-11-27 00
Bondowoso_2023-11-27T00:00:00,Bondowoso,55*,Angin berputar 201 derajat,5.9 km/h,1011 mbar,2023-11-27 00
Gresik_2023-11-27T00:00:00,Gresik,96*,Angin berputar 237 derajat,6 km/h,1009 mbar,2023-11-27 00
Jember_2023-11-27T00:00:00,Jember,63*,Angin berputar 209 derajat,0.5 km/h,1011 mbar,2023-11-27 00
Jombang_2023-11-27T00:00:00,Jombang,87*,Angin berputar 196 derajat,10.9 km/h,1010 mbar,2023-11-27 00
Kediri_2023-11-27T00:00:00,Kediri,71*,Angin berputar 179 derajat,10.9 km/h,1010 mbar,2023-11-27 00
Kabupaten Malang_2023-11-27T00:00:00,Kabupaten Malang,62,Angin berputar 219 derajat,2.3 km/h,1012 mbar,2023-11-27 00
Lamongan_2023-11-27T00:00:00,Lamongan,96*,Angin berputar 236 derajat,8.7 km/h,1009 mbar,2023-11-27 00
Kabupaten Lumajang_2023-11-27T00:00:00,Kabupaten Lumajang,66*,Angin berputar 187 derajat,2.1 km/h,1011 mbar,2023-11-27 00
Madiun_2023-11-27T00:00:00,Madiun,80*,Angin berputar 171 derajat,9 km/h,1010 mbar,2023-11-27 00
Madiun_2023-11-27T00:00:00,Madiun,80*,Angin berputar 171 derajat,9 km/h,1010 mbar,2023-11-27 00
Magetan_2023-11-27T00:00:00,Magetan,77*,Angin berputar 193 derajat,6 km/h,1011 mbar,2023-11-27 00
Kabupaten Malang_2023-11-27T00:00:00,Kabupaten Malang,62,Angin berputar 219 derajat,2.3 km/h,1012 mbar,2023-11-27 00
Mojokerto_2023-11-27T00:00:00,Mojokerto,95*,Angin berputar 230 derajat,9.2 km/h,1010 mbar,2023-11-27 00
Nganjuk_2023-11-27T00:00:00,Nganjuk,79*,Angin berputar 168 derajat,8.7 km/h,1010 mbar,2023-11-27 00
Pacitan_2023-11-27T00:00:00,Pacitan,63*,Angin berputar 182 derajat,3 km/h,1011 mbar,2023-11-27 00
Pamekasan_2023-11-27T00:00:00,Pamekasan,71*,Angin berputar 43 derajat,0.9 km/h,1009 mbar,2023-11-27 00
Pasuruan_2023-11-27T00:00:00,Pasuruan,66*,Angin berputar 159 derajat,6.5 km/h,1010 mbar,2023-11-27 00
Ponorogo_2023-11-27T00:00:00,Ponorogo,69*,Angin berputar 196 derajat,7.3 km/h,1011 mbar,2023-11-27 00
Probolinggo_2023-11-27T00:00:00,Probolinggo,60*,Angin berputar 166 derajat,11.2 km/h,1010 mbar,2023-11-27 00
Sampang_2023-11-27T00:00:00,Sampang,71*,Angin berputar 172 derajat,7.3 km/h,1009 mbar,2023-11-27 00
Sidoarjo_2023-11-27T00:00:00,Sidoarjo,90*,Angin berputar 127 derajat,9.3 km/h,1009 mbar,2023-11-27 00
Situbondo_2023-11-27T00:00:00,Situbondo,52*,Angin berputar 205 derajat,13.1 km/h,1009 mbar,2023-11-27 00
Sumenep_2023-11-27T00:00:00,Sumenep,82*,Angin berputar 42 derajat,4.9 km/h,1009 mbar,2023-11-27 00
Surabaya_2023-11-27T00:00:00,Surabaya,82,Angin berputar 87 derajat,9.3 km/h,1009 mbar,2023-11-27 00
Trenggalek_2023-11-27T00:00:00,Trenggalek,63*,Angin berputar 163 derajat,1 km/h,1011 mbar,2023-11-27 00
Tuban_2023-11-27T00:00:00,Tuban,72*,Angin berputar 184 derajat,15.9 km/h,1009 mbar,2023-11-27 00
Tulungagung_2023-11-27T00:00:00,Tulungagung,63*,Angin berputar 181 derajat,3.2 km/h,1011 mbar,2023-11-27 00
Surabaya_2023-11-27T00:00:00,Surabaya,82,Angin berputar 87 derajat,9.3 km/h,1009 mbar,2023-11-27 00
Kediri_2023-11-27T00:00:00,Kediri,71*,Angin berputar 179 derajat,10.9 km/h,1010 mbar,2023-11-27 00
