id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-28T06:00:00,Banda Aceh,20,Angin berputar 187 derajat,17.6 km/h,1008 mbar,2023-11-28 06
Langsa_2023-11-28T06:00:00,Langsa,31*,Angin berputar 333 derajat,4.9 km/h,1008 mbar,2023-11-28 06
Lhokseumawe_2023-11-28T06:00:00,Lhokseumawe,20*,Angin berputar 321 derajat,4.5 km/h,1009 mbar,2023-11-28 06
Sabang_2023-11-28T06:00:00,Sabang,8*,Angin berputar 67 derajat,29.8 km/h,1008 mbar,2023-11-28 06
Bangli_2023-11-28T06:00:00,Bangli,36*,Angin berputar 188 derajat,1.4 km/h,1012 mbar,2023-11-28 06
Denpasar_2023-11-28T06:00:00,Denpasar,137,Angin berputar 190 derajat,1.8 km/h,1009 mbar,2023-11-28 06
Gianyar_2023-11-28T06:00:00,Gianyar,36*,Angin berputar 195 derajat,1.7 km/h,1011 mbar,2023-11-28 06
Badung_2023-11-28T06:00:00,Badung,101,Angin berputar 200 derajat,1.7 km/h,1011 mbar,2023-11-28 06
Klungkung_2023-11-28T06:00:00,Klungkung,36*,Angin berputar 191 derajat,1.8 km/h,1011 mbar,2023-11-28 06
Kabupaten Buleleng_2023-11-28T06:00:00,Kabupaten Buleleng,41,Angin berputar 190 derajat,8.9 km/h,1011 mbar,2023-11-28 06
Tabanan_2023-11-28T06:00:00,Tabanan,35*,Angin berputar 204 derajat,2.6 km/h,1011 mbar,2023-11-28 06
Pandeglang_2023-11-28T06:00:00,Pandeglang,79*,Angin berputar 41 derajat,4.4 km/h,1010 mbar,2023-11-28 06
Kabupaten Serang_2023-11-28T06:00:00,Kabupaten Serang,95,Angin berputar 20 derajat,5.1 km/h,1009 mbar,2023-11-28 06
Tangerang_2023-11-28T06:00:00,Tangerang,169,Angin berputar 22 derajat,7.4 km/h,1009 mbar,2023-11-28 06
Kabupaten Serang_2023-11-28T06:00:00,Kabupaten Serang,95,Angin berputar 20 derajat,5.1 km/h,1009 mbar,2023-11-28 06
South Tangerang_2023-11-28T06:00:00,South Tangerang,163,Angin berputar 18 derajat,7.4 km/h,1010 mbar,2023-11-28 06
Bengkulu_2023-11-28T06:00:00,Bengkulu,65,Angin berputar 334 derajat,6 km/h,1010 mbar,2023-11-28 06
Kepahiang_2023-11-28T06:00:00,Kepahiang,36*,Angin berputar 240 derajat,0.9 km/h,1011 mbar,2023-11-28 06
Bantul_2023-11-28T06:00:00,Bantul,58*,Angin berputar 183 derajat,4 km/h,1011 mbar,2023-11-28 06
Sleman_2023-11-28T06:00:00,Sleman,62,Angin berputar 198 derajat,2.1 km/h,1011 mbar,2023-11-28 06
Yogyakarta_2023-11-28T06:00:00,Yogyakarta,58*,Angin berputar 193 derajat,0.8 km/h,1011 mbar,2023-11-28 06
Propinsi Gorontalo_2023-11-28T06:00:00,Propinsi Gorontalo,59,Angin berputar 23 derajat,4.9 km/h,1011 mbar,2023-11-28 06
Propinsi Gorontalo_2023-11-28T06:00:00,Propinsi Gorontalo,59,Angin berputar 23 derajat,4.9 km/h,1011 mbar,2023-11-28 06
Jambi_2023-11-28T06:00:00,Jambi,162,Angin berputar 206 derajat,3.8 km/h,1010 mbar,2023-11-28 06
Muara Sabak_2023-11-28T06:00:00,Muara Sabak,59,Angin berputar 240 derajat,6.5 km/h,1009 mbar,2023-11-28 06
Sungai Penuh_2023-11-28T06:00:00,Sungai Penuh,47*,Angin berputar 229 derajat,1.2 km/h,1012 mbar,2023-11-28 06
Sarolangun_2023-11-28T06:00:00,Sarolangun,59*,Angin berputar 91 derajat,1.8 km/h,1009 mbar,2023-11-28 06
Bandung_2023-11-28T06:00:00,Bandung,113,Angin berputar 2 derajat,4.6 km/h,1012 mbar,2023-11-28 06
Banjar_2023-11-28T06:00:00,Banjar,59*,Angin berputar 234 derajat,4 km/h,1013 mbar,2023-11-28 06
Ciamis_2023-11-28T06:00:00,Ciamis,59*,Angin berputar 105 derajat,2.8 km/h,1011 mbar,2023-11-28 06
Cianjur_2023-11-28T06:00:00,Cianjur,59*,Angin berputar 8 derajat,3.5 km/h,1011 mbar,2023-11-28 06
Bogor_2023-11-28T06:00:00,Bogor,59,Angin berputar 179 derajat,6.8 km/h,987 mbar,2023-11-28 06
Bekasi_2023-11-28T06:00:00,Bekasi,133,Angin berputar 359 derajat,0 km/h,1005 mbar,2023-11-28 06
Cimahi_2023-11-28T06:00:00,Cimahi,62*,Angin berputar 350 derajat,6.2 km/h,1012 mbar,2023-11-28 06
Cirebon_2023-11-28T06:00:00,Cirebon,102,Angin berputar 59 derajat,5.9 km/h,1010 mbar,2023-11-28 06
Garut_2023-11-28T06:00:00,Garut,58*,Angin berputar 87 derajat,3.7 km/h,1013 mbar,2023-11-28 06
Indramayu_2023-11-28T06:00:00,Indramayu,50*,Angin berputar 58 derajat,12 km/h,1010 mbar,2023-11-28 06
Karawang_2023-11-28T06:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-28 06
Kuningan_2023-11-28T06:00:00,Kuningan,61*,Angin berputar 76 derajat,8 km/h,1011 mbar,2023-11-28 06
Majalengka_2023-11-28T06:00:00,Majalengka,59*,Angin berputar 38 derajat,6.4 km/h,1011 mbar,2023-11-28 06
Purwakarta_2023-11-28T06:00:00,Purwakarta,157,Angin berputar 356 derajat,8.4 km/h,1010 mbar,2023-11-28 06
Tasikmalaya_2023-11-28T06:00:00,Tasikmalaya,58*,Angin berputar 105 derajat,3 km/h,1012 mbar,2023-11-28 06
Bandung_2023-11-28T06:00:00,Bandung,113,Angin berputar 2 derajat,4.6 km/h,1012 mbar,2023-11-28 06
Subang_2023-11-28T06:00:00,Subang,62*,Angin berputar 106 derajat,5.7 km/h,1011 mbar,2023-11-28 06
Cirebon_2023-11-28T06:00:00,Cirebon,102,Angin berputar 59 derajat,5.9 km/h,1010 mbar,2023-11-28 06
Sumedang_2023-11-28T06:00:00,Sumedang,61*,Angin berputar 20 derajat,4.9 km/h,1011 mbar,2023-11-28 06
Tasikmalaya_2023-11-28T06:00:00,Tasikmalaya,58*,Angin berputar 105 derajat,3 km/h,1012 mbar,2023-11-28 06
Bogor_2023-11-28T06:00:00,Bogor,59,Angin berputar 179 derajat,6.8 km/h,987 mbar,2023-11-28 06
Bekasi_2023-11-28T06:00:00,Bekasi,133,Angin berputar 359 derajat,0 km/h,1005 mbar,2023-11-28 06
Bogor_2023-11-28T06:00:00,Bogor,59,Angin berputar 179 derajat,6.8 km/h,987 mbar,2023-11-28 06
Cianjur_2023-11-28T06:00:00,Cianjur,59*,Angin berputar 8 derajat,3.5 km/h,1011 mbar,2023-11-28 06
Banjarnegara_2023-11-28T06:00:00,Banjarnegara,67*,Angin berputar 214 derajat,2.7 km/h,1012 mbar,2023-11-28 06
Batang_2023-11-28T06:00:00,Batang,58*,Angin berputar 21 derajat,9.5 km/h,1009 mbar,2023-11-28 06
Blora_2023-11-28T06:00:00,Blora,68*,Angin berputar 339 derajat,7.3 km/h,1010 mbar,2023-11-28 06
Boyolali_2023-11-28T06:00:00,Boyolali,66*,Angin berputar 195 derajat,11 km/h,1011 mbar,2023-11-28 06
Brebes_2023-11-28T06:00:00,Brebes,66*,Angin berputar 205 derajat,10 km/h,1010 mbar,2023-11-28 06
Cilacap_2023-11-28T06:00:00,Cilacap,58*,Angin berputar 176 derajat,16.3 km/h,1010 mbar,2023-11-28 06
Demak_2023-11-28T06:00:00,Demak,71*,Angin berputar 339 derajat,4.9 km/h,1010 mbar,2023-11-28 06
Jepara_2023-11-28T06:00:00,Jepara,60*,Angin berputar 7 derajat,9.1 km/h,1009 mbar,2023-11-28 06
Pekalongan_2023-11-28T06:00:00,Pekalongan,62*,Angin berputar 25 derajat,4.6 km/h,1010 mbar,2023-11-28 06
Karanganyar_2023-11-28T06:00:00,Karanganyar,58*,Angin berputar 211 derajat,10.7 km/h,1010 mbar,2023-11-28 06
Kebumen_2023-11-28T06:00:00,Kebumen,62*,Angin berputar 178 derajat,6.7 km/h,1011 mbar,2023-11-28 06
Kendal_2023-11-28T06:00:00,Kendal,62*,Angin berputar 334 derajat,6.2 km/h,1010 mbar,2023-11-28 06
Kabupaten Klaten_2023-11-28T06:00:00,Kabupaten Klaten,58*,Angin berputar 209 derajat,7.6 km/h,1011 mbar,2023-11-28 06
Kudus_2023-11-28T06:00:00,Kudus,71*,Angin berputar 166 derajat,5.6 km/h,1010 mbar,2023-11-28 06
Magelang_2023-11-28T06:00:00,Magelang,67*,Angin berputar 198 derajat,4.2 km/h,1012 mbar,2023-11-28 06
Magelang_2023-11-28T06:00:00,Magelang,67*,Angin berputar 198 derajat,4.2 km/h,1012 mbar,2023-11-28 06
Pati_2023-11-28T06:00:00,Pati,70*,Angin berputar 22 derajat,7.4 km/h,1010 mbar,2023-11-28 06
Pekalongan_2023-11-28T06:00:00,Pekalongan,62*,Angin berputar 25 derajat,4.6 km/h,1010 mbar,2023-11-28 06
Pemalang_2023-11-28T06:00:00,Pemalang,66*,Angin berputar 193 derajat,8.2 km/h,1010 mbar,2023-11-28 06
Purbalingga_2023-11-28T06:00:00,Purbalingga,67*,Angin berputar 181 derajat,2.5 km/h,1011 mbar,2023-11-28 06
Banyumas_2023-11-28T06:00:00,Banyumas,67*,Angin berputar 183 derajat,1.9 km/h,1011 mbar,2023-11-28 06
Purworejo_2023-11-28T06:00:00,Purworejo,62*,Angin berputar 193 derajat,3.9 km/h,1011 mbar,2023-11-28 06
Rembang_2023-11-28T06:00:00,Rembang,66*,Angin berputar 329 derajat,10.5 km/h,1009 mbar,2023-11-28 06
Salatiga_2023-11-28T06:00:00,Salatiga,68*,Angin berputar 235 derajat,6.8 km/h,1011 mbar,2023-11-28 06
Semarang_2023-11-28T06:00:00,Semarang,66,Angin berputar 336 derajat,3.7 km/h,1008 mbar,2023-11-28 06
Tegal_2023-11-28T06:00:00,Tegal,66*,Angin berputar 211 derajat,10.2 km/h,1010 mbar,2023-11-28 06
Sragen_2023-11-28T06:00:00,Sragen,66*,Angin berputar 5 derajat,11.8 km/h,1010 mbar,2023-11-28 06
Sukoharjo_2023-11-28T06:00:00,Sukoharjo,58*,Angin berputar 208 derajat,11.4 km/h,1010 mbar,2023-11-28 06
Surakarta_2023-11-28T06:00:00,Surakarta,57,Angin berputar 199 derajat,15 km/h,1010 mbar,2023-11-28 06
Tegal_2023-11-28T06:00:00,Tegal,66*,Angin berputar 211 derajat,10.2 km/h,1010 mbar,2023-11-28 06
Temanggung_2023-11-28T06:00:00,Temanggung,67*,Angin berputar 183 derajat,6.6 km/h,1012 mbar,2023-11-28 06
Semarang_2023-11-28T06:00:00,Semarang,66,Angin berputar 336 derajat,3.7 km/h,1008 mbar,2023-11-28 06
Wonogiri_2023-11-28T06:00:00,Wonogiri,53*,Angin berputar 180 derajat,7.8 km/h,1011 mbar,2023-11-28 06
Wonosobo_2023-11-28T06:00:00,Wonosobo,67*,Angin berputar 229 derajat,2.9 km/h,1012 mbar,2023-11-28 06
Semarang_2023-11-28T06:00:00,Semarang,66,Angin berputar 336 derajat,3.7 km/h,1008 mbar,2023-11-28 06
Bangkalan_2023-11-28T06:00:00,Bangkalan,62*,Angin berputar 20 derajat,5.3 km/h,1009 mbar,2023-11-28 06
Banyuwangi_2023-11-28T06:00:00,Banyuwangi,34*,Angin berputar 147 derajat,5.9 km/h,1011 mbar,2023-11-28 06
Batu_2023-11-28T06:00:00,Batu,51*,Angin berputar 185 derajat,4.1 km/h,1012 mbar,2023-11-28 06
Blitar_2023-11-28T06:00:00,Blitar,51*,Angin berputar 185 derajat,7.7 km/h,1011 mbar,2023-11-28 06
Bojonegoro_2023-11-28T06:00:00,Bojonegoro,58*,Angin berputar 319 derajat,8.1 km/h,1010 mbar,2023-11-28 06
Bondowoso_2023-11-28T06:00:00,Bondowoso,33*,Angin berputar 219 derajat,5.9 km/h,1011 mbar,2023-11-28 06
Gresik_2023-11-28T06:00:00,Gresik,65*,Angin berputar 21 derajat,5 km/h,1009 mbar,2023-11-28 06
Jember_2023-11-28T06:00:00,Jember,34*,Angin berputar 215 derajat,1.5 km/h,1011 mbar,2023-11-28 06
Jombang_2023-11-28T06:00:00,Jombang,56*,Angin berputar 202 derajat,11.1 km/h,1010 mbar,2023-11-28 06
Kediri_2023-11-28T06:00:00,Kediri,49*,Angin berputar 170 derajat,15.7 km/h,1010 mbar,2023-11-28 06
Kabupaten Malang_2023-11-28T06:00:00,Kabupaten Malang,60,Angin berputar 187 derajat,4.2 km/h,1012 mbar,2023-11-28 06
Lamongan_2023-11-28T06:00:00,Lamongan,63*,Angin berputar 9 derajat,8.4 km/h,1009 mbar,2023-11-28 06
Kabupaten Lumajang_2023-11-28T06:00:00,Kabupaten Lumajang,42*,Angin berputar 191 derajat,4.2 km/h,1011 mbar,2023-11-28 06
Madiun_2023-11-28T06:00:00,Madiun,53*,Angin berputar 35 derajat,9.4 km/h,1010 mbar,2023-11-28 06
Madiun_2023-11-28T06:00:00,Madiun,53*,Angin berputar 35 derajat,9.4 km/h,1010 mbar,2023-11-28 06
Magetan_2023-11-28T06:00:00,Magetan,53*,Angin berputar 355 derajat,6.9 km/h,1011 mbar,2023-11-28 06
Kabupaten Malang_2023-11-28T06:00:00,Kabupaten Malang,60,Angin berputar 187 derajat,4.2 km/h,1012 mbar,2023-11-28 06
Mojokerto_2023-11-28T06:00:00,Mojokerto,63*,Angin berputar 227 derajat,3.8 km/h,1010 mbar,2023-11-28 06
Nganjuk_2023-11-28T06:00:00,Nganjuk,49*,Angin berputar 188 derajat,12.3 km/h,1010 mbar,2023-11-28 06
Pacitan_2023-11-28T06:00:00,Pacitan,52*,Angin berputar 156 derajat,10.1 km/h,1011 mbar,2023-11-28 06
Pamekasan_2023-11-28T06:00:00,Pamekasan,53*,Angin berputar 12 derajat,4.9 km/h,1009 mbar,2023-11-28 06
Pasuruan_2023-11-28T06:00:00,Pasuruan,55*,Angin berputar 23 derajat,6.3 km/h,1010 mbar,2023-11-28 06
Ponorogo_2023-11-28T06:00:00,Ponorogo,50*,Angin berputar 88 derajat,8.3 km/h,1011 mbar,2023-11-28 06
Probolinggo_2023-11-28T06:00:00,Probolinggo,50*,Angin berputar 14 derajat,13.5 km/h,1010 mbar,2023-11-28 06
Sampang_2023-11-28T06:00:00,Sampang,59*,Angin berputar 23 derajat,17.6 km/h,1009 mbar,2023-11-28 06
Sidoarjo_2023-11-28T06:00:00,Sidoarjo,64*,Angin berputar 56 derajat,1.8 km/h,1008 mbar,2023-11-28 06
Situbondo_2023-11-28T06:00:00,Situbondo,33*,Angin berputar 0 derajat,11.1 km/h,1010 mbar,2023-11-28 06
Sumenep_2023-11-28T06:00:00,Sumenep,34*,Angin berputar 21 derajat,4.9 km/h,1009 mbar,2023-11-28 06
Surabaya_2023-11-28T06:00:00,Surabaya,144,Angin berputar 246 derajat,1.8 km/h,1008 mbar,2023-11-28 06
Trenggalek_2023-11-28T06:00:00,Trenggalek,49*,Angin berputar 161 derajat,5.2 km/h,1011 mbar,2023-11-28 06
Tuban_2023-11-28T06:00:00,Tuban,61*,Angin berputar 336 derajat,15.6 km/h,1009 mbar,2023-11-28 06
Tulungagung_2023-11-28T06:00:00,Tulungagung,51*,Angin berputar 179 derajat,7.2 km/h,1011 mbar,2023-11-28 06
Surabaya_2023-11-28T06:00:00,Surabaya,144,Angin berputar 246 derajat,1.8 km/h,1008 mbar,2023-11-28 06
Kediri_2023-11-28T06:00:00,Kediri,49*,Angin berputar 170 derajat,15.7 km/h,1010 mbar,2023-11-28 06
Mojokerto_2023-11-28T06:00:00,Mojokerto,63*,Angin berputar 227 derajat,3.8 km/h,1010 mbar,2023-11-28 06
Probolinggo_2023-11-28T06:00:00,Probolinggo,50*,Angin berputar 14 derajat,13.5 km/h,1010 mbar,2023-11-28 06
Blitar_2023-11-28T06:00:00,Blitar,51*,Angin berputar 185 derajat,7.7 km/h,1011 mbar,2023-11-28 06
Pasuruan_2023-11-28T06:00:00,Pasuruan,55*,Angin berputar 23 derajat,6.3 km/h,1010 mbar,2023-11-28 06
Bengkayang_2023-11-28T06:00:00,Bengkayang,23*,Angin berputar 255 derajat,2.5 km/h,1009 mbar,2023-11-28 06
Ketapang_2023-11-28T06:00:00,Ketapang,35*,Angin berputar 307 derajat,5 km/h,1009 mbar,2023-11-28 06
Ngabang_2023-11-28T06:00:00,Ngabang,28*,Angin berputar 281 derajat,1.9 km/h,1010 mbar,2023-11-28 06
Pontianak_2023-11-28T06:00:00,Pontianak,21,Angin berputar 222 derajat,1.8 km/h,1008 mbar,2023-11-28 06
Pontianak_2023-11-28T06:00:00,Pontianak,21,Angin berputar 222 derajat,1.8 km/h,1008 mbar,2023-11-28 06
Sambas_2023-11-28T06:00:00,Sambas,17*,Angin berputar 268 derajat,3.7 km/h,1009 mbar,2023-11-28 06
Sanggau_2023-11-28T06:00:00,Sanggau,26*,Angin berputar 76 derajat,2.1 km/h,1010 mbar,2023-11-28 06
Sekadau_2023-11-28T06:00:00,Sekadau,26*,Angin berputar 74 derajat,1.5 km/h,1010 mbar,2023-11-28 06
Singkawang_2023-11-28T06:00:00,Singkawang,18*,Angin berputar 253 derajat,5.7 km/h,1009 mbar,2023-11-28 06
Sintang_2023-11-28T06:00:00,Sintang,18,Angin berputar 112 derajat,2.1 km/h,1010 mbar,2023-11-28 06
Bandjarbaru_2023-11-28T06:00:00,Bandjarbaru,45,Angin berputar 210 derajat,3.7 km/h,1008 mbar,2023-11-28 06
Banjarmasin_2023-11-28T06:00:00,Banjarmasin,52*,Angin berputar 3 derajat,2.4 km/h,1010 mbar,2023-11-28 06
Palangka Raya_2023-11-28T06:00:00,Palangka Raya,53,Angin berputar 170 derajat,1.5 km/h,1010 mbar,2023-11-28 06
Pulang Pisau_2023-11-28T06:00:00,Pulang Pisau,0,Angin berputar 224 derajat,4.5 km/h,1010 mbar,2023-11-28 06
Sampit_2023-11-28T06:00:00,Sampit,35*,Angin berputar 342 derajat,1.8 km/h,1010 mbar,2023-11-28 06
Balikpapan_2023-11-28T06:00:00,Balikpapan,37*,Angin berputar 291 derajat,3.7 km/h,1009 mbar,2023-11-28 06
Bontang_2023-11-28T06:00:00,Bontang,38*,Angin berputar 280 derajat,4 km/h,1010 mbar,2023-11-28 06
Samarinda_2023-11-28T06:00:00,Samarinda,40,Angin berputar 104 derajat,0.8 km/h,1010 mbar,2023-11-28 06
Balikpapan_2023-11-28T06:00:00,Balikpapan,37*,Angin berputar 291 derajat,3.7 km/h,1009 mbar,2023-11-28 06
Malinau_2023-11-28T06:00:00,Malinau,31*,Angin berputar 72 derajat,1 km/h,1011 mbar,2023-11-28 06
Tarakan_2023-11-28T06:00:00,Tarakan,17*,Angin berputar 302 derajat,4.6 km/h,1010 mbar,2023-11-28 06
Tanjungpinang_2023-11-28T06:00:00,Tanjungpinang,51,Angin berputar 271 derajat,13.1 km/h,1009 mbar,2023-11-28 06
Batam_2023-11-28T06:00:00,Batam,97,Angin berputar 279 derajat,0 km/h,1010 mbar,2023-11-28 06
Batam_2023-11-28T06:00:00,Batam,97,Angin berputar 279 derajat,0 km/h,1010 mbar,2023-11-28 06
Tarempa_2023-11-28T06:00:00,Tarempa,4*,Angin berputar 20 derajat,15.3 km/h,1008 mbar,2023-11-28 06
Bandarlampung_2023-11-28T06:00:00,Bandarlampung,67,Angin berputar 196 derajat,7.4 km/h,1010 mbar,2023-11-28 06
Metro_2023-11-28T06:00:00,Metro,74*,Angin berputar 216 derajat,6.6 km/h,1010 mbar,2023-11-28 06
Pringsewu_2023-11-28T06:00:00,Pringsewu,68*,Angin berputar 206 derajat,7.2 km/h,1010 mbar,2023-11-28 06
Ambon_2023-11-28T06:00:00,Ambon,35,Angin berputar 183 derajat,4.2 km/h,1010 mbar,2023-11-28 06
Ambon_2023-11-28T06:00:00,Ambon,35,Angin berputar 183 derajat,4.2 km/h,1010 mbar,2023-11-28 06
Bula_2023-11-28T06:00:00,Bula,42*,Angin berputar 82 derajat,6.5 km/h,1011 mbar,2023-11-28 06
Dobo_2023-11-28T06:00:00,Dobo,48*,Angin berputar 331 derajat,7.2 km/h,1010 mbar,2023-11-28 06
Namlea_2023-11-28T06:00:00,Namlea,40*,Angin berputar 74 derajat,4.5 km/h,1010 mbar,2023-11-28 06
Tual_2023-11-28T06:00:00,Tual,46*,Angin berputar 15 derajat,7.4 km/h,1010 mbar,2023-11-28 06
Ternate_2023-11-28T06:00:00,Ternate,9*,Angin berputar 204 derajat,5 km/h,1010 mbar,2023-11-28 06
Bima_2023-11-28T06:00:00,Bima,46*,Angin berputar 184 derajat,7.6 km/h,1011 mbar,2023-11-28 06
Dompu_2023-11-28T06:00:00,Dompu,52*,Angin berputar 209 derajat,3.8 km/h,1011 mbar,2023-11-28 06
Mataram_2023-11-28T06:00:00,Mataram,61,Angin berputar 191 derajat,9 km/h,1011 mbar,2023-11-28 06
Bima_2023-11-28T06:00:00,Bima,46*,Angin berputar 184 derajat,7.6 km/h,1011 mbar,2023-11-28 06
Bima_2023-11-28T06:00:00,Bima,46*,Angin berputar 184 derajat,7.6 km/h,1011 mbar,2023-11-28 06
Jayapura_2023-11-28T06:00:00,Jayapura,69,Angin berputar 72 derajat,4.4 km/h,1012 mbar,2023-11-28 06
Nabire_2023-11-28T06:00:00,Nabire,34*,Angin berputar 150 derajat,2.6 km/h,1011 mbar,2023-11-28 06
Sarmi_2023-11-28T06:00:00,Sarmi,27*,Angin berputar 2 derajat,6.3 km/h,1011 mbar,2023-11-28 06
Jayapura_2023-11-28T06:00:00,Jayapura,69,Angin berputar 72 derajat,4.4 km/h,1012 mbar,2023-11-28 06
Agats_2023-11-28T06:00:00,Agats,44*,Angin berputar 226 derajat,4.2 km/h,1011 mbar,2023-11-28 06
Biak_2023-11-28T06:00:00,Biak,27*,Angin berputar 220 derajat,7.4 km/h,1010 mbar,2023-11-28 06
Jayapura_2023-11-28T06:00:00,Jayapura,69,Angin berputar 72 derajat,4.4 km/h,1012 mbar,2023-11-28 06
