id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-23T06:00:00,Banda Aceh,53,Angin berputar 94 derajat,2.1 km/h,1008 mbar,2023-11-23 06
Langsa_2023-11-23T06:00:00,Langsa,27*,Angin berputar 303 derajat,2.5 km/h,1009 mbar,2023-11-23 06
Lhokseumawe_2023-11-23T06:00:00,Lhokseumawe,37*,Angin berputar 24 derajat,7.8 km/h,1008 mbar,2023-11-23 06
Sabang_2023-11-23T06:00:00,Sabang,37*,Angin berputar 218 derajat,5.5 km/h,1008 mbar,2023-11-23 06
Bangli_2023-11-23T06:00:00,Bangli,35*,Angin berputar 150 derajat,1.1 km/h,1010 mbar,2023-11-23 06
Denpasar_2023-11-23T06:00:00,Denpasar,78,Angin berputar 153 derajat,1.8 km/h,1008 mbar,2023-11-23 06
Gianyar_2023-11-23T06:00:00,Gianyar,35*,Angin berputar 152 derajat,3.8 km/h,1010 mbar,2023-11-23 06
Badung_2023-11-23T06:00:00,Badung,96,Angin berputar 154 derajat,5.8 km/h,1010 mbar,2023-11-23 06
Klungkung_2023-11-23T06:00:00,Klungkung,35*,Angin berputar 158 derajat,3.1 km/h,1010 mbar,2023-11-23 06
Kabupaten Buleleng_2023-11-23T06:00:00,Kabupaten Buleleng,55,Angin berputar 180 derajat,6.8 km/h,1010 mbar,2023-11-23 06
Tabanan_2023-11-23T06:00:00,Tabanan,35*,Angin berputar 158 derajat,6.4 km/h,1010 mbar,2023-11-23 06
Pandeglang_2023-11-23T06:00:00,Pandeglang,97*,Angin berputar 338 derajat,3.5 km/h,1008 mbar,2023-11-23 06
Kabupaten Serang_2023-11-23T06:00:00,Kabupaten Serang,83,Angin berputar 263 derajat,5.4 km/h,1008 mbar,2023-11-23 06
Tangerang_2023-11-23T06:00:00,Tangerang,172,Angin berputar 355 derajat,11.1 km/h,1007 mbar,2023-11-23 06
Kabupaten Serang_2023-11-23T06:00:00,Kabupaten Serang,83,Angin berputar 263 derajat,5.4 km/h,1008 mbar,2023-11-23 06
South Tangerang_2023-11-23T06:00:00,South Tangerang,153,Angin berputar 5 derajat,11.1 km/h,1007 mbar,2023-11-23 06
Bengkulu_2023-11-23T06:00:00,Bengkulu,55,Angin berputar 172 derajat,4.2 km/h,1008 mbar,2023-11-23 06
Kepahiang_2023-11-23T06:00:00,Kepahiang,57*,Angin berputar 235 derajat,0.6 km/h,1010 mbar,2023-11-23 06
Bantul_2023-11-23T06:00:00,Bantul,57*,Angin berputar 165 derajat,1.7 km/h,1009 mbar,2023-11-23 06
Sleman_2023-11-23T06:00:00,Sleman,57,Angin berputar 179 derajat,5.8 km/h,1010 mbar,2023-11-23 06
Yogyakarta_2023-11-23T06:00:00,Yogyakarta,58*,Angin berputar 173 derajat,3.8 km/h,1009 mbar,2023-11-23 06
Propinsi Gorontalo_2023-11-23T06:00:00,Propinsi Gorontalo,64,Angin berputar 163 derajat,2.1 km/h,1009 mbar,2023-11-23 06
Propinsi Gorontalo_2023-11-23T06:00:00,Propinsi Gorontalo,64,Angin berputar 163 derajat,2.1 km/h,1009 mbar,2023-11-23 06
Jambi_2023-11-23T06:00:00,Jambi,69,Angin berputar 301 derajat,2.7 km/h,1008 mbar,2023-11-23 06
Muara Sabak_2023-11-23T06:00:00,Muara Sabak,130,Angin berputar 273 derajat,6.8 km/h,1008 mbar,2023-11-23 06
Sungai Penuh_2023-11-23T06:00:00,Sungai Penuh,55*,Angin berputar 224 derajat,1.8 km/h,1011 mbar,2023-11-23 06
Sarolangun_2023-11-23T06:00:00,Sarolangun,75*,Angin berputar 81 derajat,3.4 km/h,1008 mbar,2023-11-23 06
Bandung_2023-11-23T06:00:00,Bandung,156,Angin berputar 8 derajat,4.4 km/h,1010 mbar,2023-11-23 06
Banjar_2023-11-23T06:00:00,Banjar,69*,Angin berputar 139 derajat,3.2 km/h,1011 mbar,2023-11-23 06
Ciamis_2023-11-23T06:00:00,Ciamis,58*,Angin berputar 145 derajat,1.3 km/h,1010 mbar,2023-11-23 06
