id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-24T00:00:00,Banda Aceh,57,Angin berputar 51 derajat,6.7 km/h,1009 mbar,2023-11-24 00
Langsa_2023-11-24T00:00:00,Langsa,27*,Angin berputar 312 derajat,3.6 km/h,1010 mbar,2023-11-24 00
Lhokseumawe_2023-11-24T00:00:00,Lhokseumawe,37*,Angin berputar 199 derajat,2.4 km/h,1010 mbar,2023-11-24 00
Sabang_2023-11-24T00:00:00,Sabang,22*,Angin berputar 57 derajat,10.7 km/h,1009 mbar,2023-11-24 00
Bangli_2023-11-24T00:00:00,Bangli,37*,Angin berputar 150 derajat,0.6 km/h,1009 mbar,2023-11-24 00
Denpasar_2023-11-24T00:00:00,Denpasar,73,Angin berputar 142 derajat,3.7 km/h,1008 mbar,2023-11-24 00
Gianyar_2023-11-24T00:00:00,Gianyar,37*,Angin berputar 151 derajat,2.3 km/h,1009 mbar,2023-11-24 00
Badung_2023-11-24T00:00:00,Badung,84,Angin berputar 139 derajat,4.2 km/h,1009 mbar,2023-11-24 00
Klungkung_2023-11-24T00:00:00,Klungkung,37*,Angin berputar 156 derajat,1.2 km/h,1009 mbar,2023-11-24 00
Kabupaten Buleleng_2023-11-24T00:00:00,Kabupaten Buleleng,25,Angin berputar 179 derajat,8.1 km/h,1009 mbar,2023-11-24 00
Tabanan_2023-11-24T00:00:00,Tabanan,37*,Angin berputar 158 derajat,5.3 km/h,1009 mbar,2023-11-24 00
Pandeglang_2023-11-24T00:00:00,Pandeglang,129*,Angin berputar 226 derajat,1.8 km/h,1009 mbar,2023-11-24 00
Kabupaten Serang_2023-11-24T00:00:00,Kabupaten Serang,154,Angin berputar 26 derajat,5 km/h,1008 mbar,2023-11-24 00
Tangerang_2023-11-24T00:00:00,Tangerang,173,Angin berputar 5 derajat,3.7 km/h,1008 mbar,2023-11-24 00
Kabupaten Serang_2023-11-24T00:00:00,Kabupaten Serang,154,Angin berputar 26 derajat,5 km/h,1008 mbar,2023-11-24 00
South Tangerang_2023-11-24T00:00:00,South Tangerang,187,Angin berputar 14 derajat,5.5 km/h,1010 mbar,2023-11-24 00
Bengkulu_2023-11-24T00:00:00,Bengkulu,69,Angin berputar 198 derajat,4.8 km/h,1009 mbar,2023-11-24 00
