id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-22T12:00:00,Banda Aceh,36,Angin berputar 106 derajat,5.8 km/h,1011 mbar,2023-11-22 12
Langsa_2023-11-22T12:00:00,Langsa,22*,Angin berputar 303 derajat,1.6 km/h,1011 mbar,2023-11-22 12
Lhokseumawe_2023-11-22T12:00:00,Lhokseumawe,33*,Angin berputar 358 derajat,2.8 km/h,1011 mbar,2023-11-22 12
Sabang_2023-11-22T12:00:00,Sabang,33*,Angin berputar 218 derajat,7.6 km/h,1011 mbar,2023-11-22 12
Bangli_2023-11-22T12:00:00,Bangli,39*,Angin berputar 148 derajat,11.9 km/h,1009 mbar,2023-11-22 12
Denpasar_2023-11-22T12:00:00,Denpasar,63,Angin berputar 169 derajat,15.5 km/h,1009 mbar,2023-11-22 12
Gianyar_2023-11-22T12:00:00,Gianyar,40*,Angin berputar 150 derajat,13.9 km/h,1009 mbar,2023-11-22 12
Badung_2023-11-22T12:00:00,Badung,65,Angin berputar 174 derajat,15.4 km/h,1009 mbar,2023-11-22 12
Klungkung_2023-11-22T12:00:00,Klungkung,40*,Angin berputar 157 derajat,12.9 km/h,1009 mbar,2023-11-22 12
Kabupaten Buleleng_2023-11-22T12:00:00,Kabupaten Buleleng,50,Angin berputar 183 derajat,5.6 km/h,1009 mbar,2023-11-22 12
Tabanan_2023-11-22T12:00:00,Tabanan,39*,Angin berputar 154 derajat,17 km/h,1009 mbar,2023-11-22 12
Pandeglang_2023-11-22T12:00:00,Pandeglang,86*,Angin berputar 345 derajat,4 km/h,1009 mbar,2023-11-22 12
Kabupaten Serang_2023-11-22T12:00:00,Kabupaten Serang,90,Angin berputar 293 derajat,8.9 km/h,1009 mbar,2023-11-22 12
Tangerang_2023-11-22T12:00:00,Tangerang,153,Angin berputar 347 derajat,11.1 km/h,1008 mbar,2023-11-22 12
Kabupaten Serang_2023-11-22T12:00:00,Kabupaten Serang,90,Angin berputar 293 derajat,8.9 km/h,1009 mbar,2023-11-22 12
South Tangerang_2023-11-22T12:00:00,South Tangerang,139,Angin berputar 358 derajat,11.1 km/h,1006 mbar,2023-11-22 12
Bengkulu_2023-11-22T12:00:00,Bengkulu,57,Angin berputar 170 derajat,7 km/h,1010 mbar,2023-11-22 12
Kepahiang_2023-11-22T12:00:00,Kepahiang,48*,Angin berputar 236 derajat,5.3 km/h,1011 mbar,2023-11-22 12
Bantul_2023-11-22T12:00:00,Bantul,61*,Angin berputar 167 derajat,17 km/h,1009 mbar,2023-11-22 12
Sleman_2023-11-22T12:00:00,Sleman,79,Angin berputar 178 derajat,12.2 km/h,1009 mbar,2023-11-22 12
Yogyakarta_2023-11-22T12:00:00,Yogyakarta,61*,Angin berputar 176 derajat,14.2 km/h,1009 mbar,2023-11-22 12
Propinsi Gorontalo_2023-11-22T12:00:00,Propinsi Gorontalo,65,Angin berputar 204 derajat,9.6 km/h,1008 mbar,2023-11-22 12
Propinsi Gorontalo_2023-11-22T12:00:00,Propinsi Gorontalo,65,Angin berputar 204 derajat,9.6 km/h,1008 mbar,2023-11-22 12
Jambi_2023-11-22T12:00:00,Jambi,82,Angin berputar 317 derajat,2.6 km/h,1010 mbar,2023-11-22 12
Muara Sabak_2023-11-22T12:00:00,Muara Sabak,59,Angin berputar 273 derajat,1.5 km/h,1010 mbar,2023-11-22 12
Sungai Penuh_2023-11-22T12:00:00,Sungai Penuh,46*,Angin berputar 232 derajat,5.7 km/h,1012 mbar,2023-11-22 12
Sarolangun_2023-11-22T12:00:00,Sarolangun,61*,Angin berputar 65 derajat,3.4 km/h,1009 mbar,2023-11-22 12
Bandung_2023-11-22T12:00:00,Bandung,78,Angin berputar 22 derajat,3.2 km/h,1012 mbar,2023-11-22 12
Banjar_2023-11-22T12:00:00,Banjar,61*,Angin berputar 206 derajat,4.3 km/h,1011 mbar,2023-11-22 12
Ciamis_2023-11-22T12:00:00,Ciamis,56*,Angin berputar 139 derajat,8.5 km/h,1010 mbar,2023-11-22 12
Cianjur_2023-11-22T12:00:00,Cianjur,65*,Angin berputar 360 derajat,2.6 km/h,1010 mbar,2023-11-22 12
Bogor_2023-11-22T12:00:00,Bogor,63,Angin berputar 177 derajat,5.1 km/h,988 mbar,2023-11-22 12
Bekasi_2023-11-22T12:00:00,Bekasi,90,Angin berputar 1 derajat,7.3 km/h,1000 mbar,2023-11-22 12
Cimahi_2023-11-22T12:00:00,Cimahi,72*,Angin berputar 354 derajat,6.8 km/h,1010 mbar,2023-11-22 12
Cirebon_2023-11-22T12:00:00,Cirebon,113,Angin berputar 56 derajat,15 km/h,1008 mbar,2023-11-22 12
Garut_2023-11-22T12:00:00,Garut,56*,Angin berputar 117 derajat,8.2 km/h,1011 mbar,2023-11-22 12
Indramayu_2023-11-22T12:00:00,Indramayu,79*,Angin berputar 32 derajat,13.3 km/h,1008 mbar,2023-11-22 12
Karawang_2023-11-22T12:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-22 12
Kuningan_2023-11-22T12:00:00,Kuningan,58*,Angin berputar 201 derajat,9.6 km/h,1010 mbar,2023-11-22 12
Majalengka_2023-11-22T12:00:00,Majalengka,61*,Angin berputar 60 derajat,5.7 km/h,1009 mbar,2023-11-22 12
Purwakarta_2023-11-22T12:00:00,Purwakarta,114,Angin berputar 18 derajat,5.7 km/h,1009 mbar,2023-11-22 12
Tasikmalaya_2023-11-22T12:00:00,Tasikmalaya,56*,Angin berputar 136 derajat,8.6 km/h,1010 mbar,2023-11-22 12
Bandung_2023-11-22T12:00:00,Bandung,78,Angin berputar 22 derajat,3.2 km/h,1012 mbar,2023-11-22 12
Subang_2023-11-22T12:00:00,Subang,56*,Angin berputar 155 derajat,9.4 km/h,1010 mbar,2023-11-22 12
Cirebon_2023-11-22T12:00:00,Cirebon,113,Angin berputar 56 derajat,15 km/h,1008 mbar,2023-11-22 12
Sumedang_2023-11-22T12:00:00,Sumedang,67*,Angin berputar 43 derajat,6.6 km/h,1009 mbar,2023-11-22 12
Tasikmalaya_2023-11-22T12:00:00,Tasikmalaya,56*,Angin berputar 136 derajat,8.6 km/h,1010 mbar,2023-11-22 12
Bogor_2023-11-22T12:00:00,Bogor,63,Angin berputar 177 derajat,5.1 km/h,988 mbar,2023-11-22 12
Bekasi_2023-11-22T12:00:00,Bekasi,90,Angin berputar 1 derajat,7.3 km/h,1000 mbar,2023-11-22 12
Bogor_2023-11-22T12:00:00,Bogor,63,Angin berputar 177 derajat,5.1 km/h,988 mbar,2023-11-22 12
Cianjur_2023-11-22T12:00:00,Cianjur,65*,Angin berputar 360 derajat,2.6 km/h,1010 mbar,2023-11-22 12
Banjarnegara_2023-11-22T12:00:00,Banjarnegara,59*,Angin berputar 184 derajat,7.7 km/h,1010 mbar,2023-11-22 12
Batang_2023-11-22T12:00:00,Batang,76*,Angin berputar 10 derajat,13 km/h,1008 mbar,2023-11-22 12
Blora_2023-11-22T12:00:00,Blora,72*,Angin berputar 23 derajat,6.1 km/h,1008 mbar,2023-11-22 12
Boyolali_2023-11-22T12:00:00,Boyolali,63*,Angin berputar 196 derajat,13 km/h,1009 mbar,2023-11-22 12
Brebes_2023-11-22T12:00:00,Brebes,60*,Angin berputar 190 derajat,3.5 km/h,1008 mbar,2023-11-22 12
Cilacap_2023-11-22T12:00:00,Cilacap,60*,Angin berputar 149 derajat,14.3 km/h,1010 mbar,2023-11-22 12
Demak_2023-11-22T12:00:00,Demak,76*,Angin berputar 318 derajat,5.5 km/h,1008 mbar,2023-11-22 12
Jepara_2023-11-22T12:00:00,Jepara,77*,Angin berputar 356 derajat,4.9 km/h,1008 mbar,2023-11-22 12
Pekalongan_2023-11-22T12:00:00,Pekalongan,68*,Angin berputar 1 derajat,8.6 km/h,1009 mbar,2023-11-22 12
Karanganyar_2023-11-22T12:00:00,Karanganyar,60*,Angin berputar 205 derajat,9.6 km/h,1008 mbar,2023-11-22 12
Kebumen_2023-11-22T12:00:00,Kebumen,62*,Angin berputar 158 derajat,14.8 km/h,1009 mbar,2023-11-22 12
