id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-23T00:00:00,Banda Aceh,37,Angin berputar 94 derajat,4.8 km/h,1011 mbar,2023-11-23 00
Langsa_2023-11-23T00:00:00,Langsa,30*,Angin berputar 303 derajat,2.7 km/h,1010 mbar,2023-11-23 00
Lhokseumawe_2023-11-23T00:00:00,Lhokseumawe,40*,Angin berputar 24 derajat,5.3 km/h,1011 mbar,2023-11-23 00
Sabang_2023-11-23T00:00:00,Sabang,37*,Angin berputar 218 derajat,3.6 km/h,1011 mbar,2023-11-23 00
Bangli_2023-11-23T00:00:00,Bangli,44*,Angin berputar 150 derajat,2.2 km/h,1010 mbar,2023-11-23 00
Denpasar_2023-11-23T00:00:00,Denpasar,65,Angin berputar 153 derajat,5.5 km/h,1009 mbar,2023-11-23 00
Gianyar_2023-11-23T00:00:00,Gianyar,44*,Angin berputar 152 derajat,4.9 km/h,1010 mbar,2023-11-23 00
Badung_2023-11-23T00:00:00,Badung,73,Angin berputar 154 derajat,6.6 km/h,1010 mbar,2023-11-23 00
Klungkung_2023-11-23T00:00:00,Klungkung,44*,Angin berputar 158 derajat,4.5 km/h,1010 mbar,2023-11-23 00
Kabupaten Buleleng_2023-11-23T00:00:00,Kabupaten Buleleng,65,Angin berputar 180 derajat,8.2 km/h,1010 mbar,2023-11-23 00
Tabanan_2023-11-23T00:00:00,Tabanan,42*,Angin berputar 158 derajat,8.1 km/h,1010 mbar,2023-11-23 00
Pandeglang_2023-11-23T00:00:00,Pandeglang,98*,Angin berputar 338 derajat,3.4 km/h,1010 mbar,2023-11-23 00
Kabupaten Serang_2023-11-23T00:00:00,Kabupaten Serang,84,Angin berputar 263 derajat,4.2 km/h,1009 mbar,2023-11-23 00
Tangerang_2023-11-23T00:00:00,Tangerang,157,Angin berputar 355 derajat,9.3 km/h,1009 mbar,2023-11-23 00
Kabupaten Serang_2023-11-23T00:00:00,Kabupaten Serang,84,Angin berputar 263 derajat,4.2 km/h,1009 mbar,2023-11-23 00
South Tangerang_2023-11-23T00:00:00,South Tangerang,139,Angin berputar 5 derajat,9.3 km/h,1009 mbar,2023-11-23 00
Bengkulu_2023-11-23T00:00:00,Bengkulu,60,Angin berputar 172 derajat,2.8 km/h,1011 mbar,2023-11-23 00
Kepahiang_2023-11-23T00:00:00,Kepahiang,58*,Angin berputar 235 derajat,1.5 km/h,1012 mbar,2023-11-23 00
Bantul_2023-11-23T00:00:00,Bantul,59*,Angin berputar 165 derajat,3.2 km/h,1010 mbar,2023-11-23 00
Sleman_2023-11-23T00:00:00,Sleman,69,Angin berputar 179 derajat,5.3 km/h,1010 mbar,2023-11-23 00
Yogyakarta_2023-11-23T00:00:00,Yogyakarta,61*,Angin berputar 173 derajat,3.3 km/h,1010 mbar,2023-11-23 00
Propinsi Gorontalo_2023-11-23T00:00:00,Propinsi Gorontalo,65,Angin berputar 163 derajat,3.3 km/h,1008 mbar,2023-11-23 00
