id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Banjar_2023-11-22T12:00:00,Banjar,2023-11-22 12:00:00,3,Berawan,80,28.0,82.0,61,206,4.3,1011,2023-11-22 12:00:00
Banjar_2023-11-22T18:00:00,Banjar,2023-11-22 18:00:00,1,Cerah Berawan,95,24.0,75.0,61,197,3.2,1010,2023-11-22 18:00:00
Banjarmasin_2023-11-22T00:00:00,Banjarmasin,2023-11-22 00:00:00,1,Cerah Berawan,80,29.0,84.0,53,160,4.6,1008,2023-11-22
Banjarmasin_2023-11-22T06:00:00,Banjarmasin,2023-11-22 06:00:00,60,Hujan Ringan,60,34.0,93.0,53,160,4.1,1008,2023-11-22 06:00:00
Banjarmasin_2023-11-22T12:00:00,Banjarmasin,2023-11-22 12:00:00,3,Berawan,80,28.0,82.0,37,219,2.7,1007,2023-11-22 12:00:00
Banjarmasin_2023-11-22T18:00:00,Banjarmasin,2023-11-22 18:00:00,3,Berawan,95,24.0,75.0,44,201,3.4,1005,2023-11-22 18:00:00
Banjarnegara_2023-11-22T00:00:00,Banjarnegara,2023-11-22 00:00:00,3,Berawan,80,26.0,79.0,55,176,2.5,1013,2023-11-22
Banjarnegara_2023-11-22T06:00:00,Banjarnegara,2023-11-22 06:00:00,4,Berawan Tebal,60,31.0,88.0,64,176,3.6,1011,2023-11-22 06:00:00
Banjarnegara_2023-11-22T12:00:00,Banjarnegara,2023-11-22 12:00:00,4,Berawan Tebal,85,26.0,79.0,59,184,7.7,1010,2023-11-22 12:00:00
Banjarnegara_2023-11-22T18:00:00,Banjarnegara,2023-11-22 18:00:00,3,Berawan,95,21.0,70.0,58,187,8.8,1009,2023-11-22 18:00:00
Bantaeng_2023-11-22T00:00:00,Bantaeng,2023-11-22 00:00:00,1,Cerah Berawan,75,28.0,82.0,31,110,12.0,1010,2023-11-22
Bantaeng_2023-11-22T06:00:00,Bantaeng,2023-11-22 06:00:00,1,Cerah Berawan,60,34.0,93.0,53,110,16.9,1010,2023-11-22 06:00:00
Bantaeng_2023-11-22T12:00:00,Bantaeng,2023-11-22 12:00:00,3,Berawan,70,29.0,84.0,53,102,24.8,1007,2023-11-22 12:00:00
Bantaeng_2023-11-22T18:00:00,Bantaeng,2023-11-22 18:00:00,3,Berawan,80,25.0,77.0,55,108,19.6,1008,2023-11-22 18:00:00
Bantul_2023-11-22T00:00:00,Bantul,2023-11-22 00:00:00,3,Berawan,85,26.0,79.0,51,175,1.9,1011,2023-11-22
Bantul_2023-11-22T06:00:00,Bantul,2023-11-22 06:00:00,1,Cerah Berawan,65,32.0,90.0,62,175,2.7,1010,2023-11-22 06:00:00
Bantul_2023-11-22T12:00:00,Bantul,2023-11-22 12:00:00,1,Cerah Berawan,80,27.0,81.0,61,167,17.0,1009,2023-11-22 12:00:00
Bantul_2023-11-22T18:00:00,Bantul,2023-11-22 18:00:00,3,Berawan,95,24.0,75.0,54,167,15.3,1008,2023-11-22 18:00:00
Banyumas_2023-11-22T00:00:00,Banyumas,2023-11-22 00:00:00,3,Berawan,80,26.0,79.0,47,159,2.4,1012,2023-11-22
Banyumas_2023-11-22T06:00:00,Banyumas,2023-11-22 06:00:00,4,Berawan Tebal,60,31.0,88.0,59,159,2.2,1010,2023-11-22 06:00:00
Banyumas_2023-11-22T12:00:00,Banyumas,2023-11-22 12:00:00,4,Berawan Tebal,85,26.0,79.0,58,161,10.5,1009,2023-11-22 12:00:00
Banyumas_2023-11-22T18:00:00,Banyumas,2023-11-22 18:00:00,3,Berawan,90,23.0,73.0,53,162,11.2,1008,2023-11-22 18:00:00
Banyuwangi_2023-11-22T00:00:00,Banyuwangi,2023-11-22 00:00:00,3,Berawan,90,27.0,81.0,40,148,4.2,1011,2023-11-22
Banyuwangi_2023-11-22T06:00:00,Banyuwangi,2023-11-22 06:00:00,0,,60,32.0,90.0,45,148,4.6,1011,2023-11-22 06:00:00
Banyuwangi_2023-11-22T12:00:00,Banyuwangi,2023-11-22 12:00:00,1,Cerah Berawan,85,27.0,81.0,38,148,10.5,1009,2023-11-22 12:00:00
Banyuwangi_2023-11-22T18:00:00,Banyuwangi,2023-11-22 18:00:00,1,Cerah Berawan,85,25.0,77.0,36,147,9.1,1009,2023-11-22 18:00:00
Barru_2023-11-22T00:00:00,Barru,2023-11-22 00:00:00,60,Hujan Ringan,75,27.0,81.0,45,221,10.6,1009,2023-11-22
Barru_2023-11-22T06:00:00,Barru,2023-11-22 06:00:00,1,Cerah Berawan,60,34.0,93.0,40,221,6.2,1009,2023-11-22 06:00:00
Barru_2023-11-22T12:00:00,Barru,2023-11-22 12:00:00,3,Berawan,75,29.0,84.0,43,212,1.1,1007,2023-11-22 12:00:00
Barru_2023-11-22T18:00:00,Barru,2023-11-22 18:00:00,3,Berawan,85,25.0,77.0,54,214,7.1,1006,2023-11-22 18:00:00
Batam_2023-11-22T00:00:00,Batam,2023-11-22 00:00:00,60,Hujan Ringan,80,28.0,82.0,88,353,11.6,1010,2023-11-22
Batam_2023-11-22T06:00:00,Batam,2023-11-22 06:00:00,60,Hujan Ringan,65,32.0,90.0,78,353,13.6,1007,2023-11-22 06:00:00
Batam_2023-11-22T12:00:00,Batam,2023-11-22 12:00:00,61,Hujan Sedang,85,26.0,79.0,74,353,20.6,1009,2023-11-22 12:00:00
Batam_2023-11-22T18:00:00,Batam,2023-11-22 18:00:00,60,Hujan Ringan,95,25.0,77.0,76,353,9.3,1009,2023-11-22 18:00:00
Batang_2023-11-22T00:00:00,Batang,2023-11-22 00:00:00,1,Cerah Berawan,70,28.0,82.0,79,39,10.3,1010,2023-11-22
Batang_2023-11-22T06:00:00,Batang,2023-11-22 06:00:00,3,Berawan,50,34.0,93.0,76,39,9.3,1008,2023-11-22 06:00:00
Batang_2023-11-22T12:00:00,Batang,2023-11-22 12:00:00,3,Berawan,80,27.0,81.0,76,10,13.0,1008,2023-11-22 12:00:00
Batang_2023-11-22T18:00:00,Batang,2023-11-22 18:00:00,4,Berawan Tebal,90,26.0,79.0,85,37,22.4,1005,2023-11-22 18:00:00
Batu_2023-11-22T00:00:00,Batu,2023-11-22 00:00:00,1,Cerah Berawan,90,20.0,68.0,62,131,2.2,1013,2023-11-22
Batu_2023-11-22T06:00:00,Batu,2023-11-22 06:00:00,95,Hujan Petir,55,31.0,88.0,53,131,2.8,1012,2023-11-22 06:00:00
Batu_2023-11-22T12:00:00,Batu,2023-11-22 12:00:00,95,Hujan Petir,90,19.0,66.0,55,141,1.7,1009,2023-11-22 12:00:00
Batu_2023-11-22T18:00:00,Batu,2023-11-22 18:00:00,45,Berkabut,90,18.0,64.0,55,175,2.2,1009,2023-11-22 18:00:00
Bekasi_2023-11-22T00:00:00,Bekasi,2023-11-22 00:00:00,1,Cerah Berawan,75,26.0,79.0,127,1,18.5,1006,2023-11-22
Bekasi_2023-11-22T06:00:00,Bekasi,2023-11-22 06:00:00,61,Hujan Sedang,70,36.0,97.0,104,1,3.9,1001,2023-11-22 06:00:00
Bekasi_2023-11-22T12:00:00,Bekasi,2023-11-22 12:00:00,61,Hujan Sedang,90,28.0,82.0,90,1,7.3,1000,2023-11-22 12:00:00
Bekasi_2023-11-22T18:00:00,Bekasi,2023-11-22 18:00:00,60,Hujan Ringan,90,25.0,77.0,102,1,11.1,1001,2023-11-22 18:00:00
Bengkalis_2023-11-22T00:00:00,Bengkalis,2023-11-22 00:00:00,3,Berawan,95,25.0,77.0,33,352,13.3,1010,2023-11-22
Bengkalis_2023-11-22T06:00:00,Bengkalis,2023-11-22 06:00:00,4,Berawan Tebal,85,28.0,82.0,31,352,11.6,1008,2023-11-22 06:00:00
Bengkalis_2023-11-22T12:00:00,Bengkalis,2023-11-22 12:00:00,60,Hujan Ringan,85,27.0,81.0,30,297,10.1,1010,2023-11-22 12:00:00
Bengkalis_2023-11-22T18:00:00,Bengkalis,2023-11-22 18:00:00,3,Berawan,95,25.0,77.0,30,343,18.2,1008,2023-11-22 18:00:00
Bengkayang_2023-11-22T00:00:00,Bengkayang,2023-11-22 00:00:00,60,Hujan Ringan,100,24.0,75.0,46,262,2.2,1010,2023-11-22
Bengkayang_2023-11-22T06:00:00,Bengkayang,2023-11-22 06:00:00,63,Hujan Lebat,65,31.0,88.0,38,262,1.2,1008,2023-11-22 06:00:00
Bengkayang_2023-11-22T12:00:00,Bengkayang,2023-11-22 12:00:00,60,Hujan Ringan,100,24.0,75.0,35,242,3.9,1008,2023-11-22 12:00:00
Bengkayang_2023-11-22T18:00:00,Bengkayang,2023-11-22 18:00:00,3,Berawan,100,23.0,73.0,29,253,4.7,1007,2023-11-22 18:00:00
Bengkulu_2023-11-22T00:00:00,Bengkulu,2023-11-22 00:00:00,60,Hujan Ringan,95,25.0,77.0,76,170,3.5,1012,2023-11-22
Bengkulu_2023-11-22T06:00:00,Bengkulu,2023-11-22 06:00:00,60,Hujan Ringan,75,31.0,88.0,58,170,4.3,1009,2023-11-22 06:00:00
Bengkulu_2023-11-22T12:00:00,Bengkulu,2023-11-22 12:00:00,60,Hujan Ringan,95,25.0,77.0,57,170,7.0,1010,2023-11-22 12:00:00
Bengkulu_2023-11-22T18:00:00,Bengkulu,2023-11-22 18:00:00,1,Cerah Berawan,95,25.0,77.0,59,170,4.8,1008,2023-11-22 18:00:00
Bima_2023-11-22T00:00:00,Bima,2023-11-22 00:00:00,1,Cerah Berawan,80,26.0,79.0,42,174,5.1,1010,2023-11-22
Bima_2023-11-22T06:00:00,Bima,2023-11-22 06:00:00,3,Berawan,50,34.0,93.0,62,174,5.9,1010,2023-11-22 06:00:00
Bima_2023-11-22T12:00:00,Bima,2023-11-22 12:00:00,3,Berawan,85,26.0,79.0,62,156,4.8,1008,2023-11-22 12:00:00
Bima_2023-11-22T18:00:00,Bima,2023-11-22 18:00:00,1,Cerah Berawan,90,25.0,77.0,53,156,5.4,1008,2023-11-22 18:00:00
Binjai_2023-11-22T00:00:00,Binjai,2023-11-22 00:00:00,60,Hujan Ringan,90,23.0,73.0,26,319,4.5,1012,2023-11-22
Binjai_2023-11-22T06:00:00,Binjai,2023-11-22 06:00:00,60,Hujan Ringan,75,27.0,81.0,33,319,1.2,1008,2023-11-22 06:00:00
