id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ambon_2023-11-28T00:00:00,Ambon,2023-11-28 00:00:00,60,Hujan Ringan,75,27.0,81.0,34,183,9.3,1009,2023-11-28
Ambon_2023-11-28T06:00:00,Ambon,2023-11-28 06:00:00,95,Hujan Petir,70,32.0,90.0,35,183,4.2,1010,2023-11-28 06:00:00
Ambon_2023-11-28T12:00:00,Ambon,2023-11-28 12:00:00,3,Berawan,85,26.0,79.0,36,183,14.8,1008,2023-11-28 12:00:00
Ambon_2023-11-28T18:00:00,Ambon,2023-11-28 18:00:00,3,Berawan,95,24.0,75.0,36,183,7.4,1008,2023-11-28 18:00:00
Badung_2023-11-28T00:00:00,Badung,2023-11-28 00:00:00,3,Berawan,75,27.0,81.0,55,200,2.2,1011,2023-11-28
Badung_2023-11-28T06:00:00,Badung,2023-11-28 06:00:00,60,Hujan Ringan,65,33.0,91.0,101,200,1.7,1011,2023-11-28 06:00:00
Badung_2023-11-28T12:00:00,Badung,2023-11-28 12:00:00,3,Berawan,75,30.0,86.0,55,200,10.4,1010,2023-11-28 12:00:00
Badung_2023-11-28T18:00:00,Badung,2023-11-28 18:00:00,3,Berawan,90,27.0,81.0,49,200,3.1,1009,2023-11-28 18:00:00
Balikpapan_2023-11-28T00:00:00,Balikpapan,2023-11-28 00:00:00,3,Berawan,95,26.0,79.0,48,291,1.4,1009,2023-11-28
Balikpapan_2023-11-28T06:00:00,Balikpapan,2023-11-28 06:00:00,60,Hujan Ringan,80,29.0,84.0,37,291,3.7,1009,2023-11-28 06:00:00
Balikpapan_2023-11-28T12:00:00,Balikpapan,2023-11-28 12:00:00,1,Cerah Berawan,95,25.0,77.0,35,130,5.5,1009,2023-11-28 12:00:00
Balikpapan_2023-11-28T18:00:00,Balikpapan,2023-11-28 18:00:00,45,Berkabut,100,24.0,75.0,39,145,0.0,1007,2023-11-28 18:00:00
Banda Aceh_2023-11-28T00:00:00,Banda Aceh,2023-11-28 00:00:00,3,Berawan,95,23.0,73.0,36,187,13.4,1010,2023-11-28
Banda Aceh_2023-11-28T06:00:00,Banda Aceh,2023-11-28 06:00:00,95,Hujan Petir,65,30.0,86.0,20,187,17.6,1008,2023-11-28 06:00:00
Banda Aceh_2023-11-28T12:00:00,Banda Aceh,2023-11-28 12:00:00,60,Hujan Ringan,85,24.0,75.0,14,187,14.6,1010,2023-11-28 12:00:00
Banda Aceh_2023-11-28T18:00:00,Banda Aceh,2023-11-28 18:00:00,60,Hujan Ringan,95,23.0,73.0,13,187,1.9,1006,2023-11-28 18:00:00
Bandung_2023-11-28T00:00:00,Bandung,2023-11-28 00:00:00,1,Cerah Berawan,85,22.0,72.0,92,2,1.5,1012,2023-11-28
Bandung_2023-11-28T06:00:00,Bandung,2023-11-28 06:00:00,95,Hujan Petir,70,31.0,88.0,113,2,4.6,1012,2023-11-28 06:00:00
Bandung_2023-11-28T12:00:00,Bandung,2023-11-28 12:00:00,3,Berawan,90,22.0,72.0,123,2,5.0,1011,2023-11-28 12:00:00
Bandung_2023-11-28T18:00:00,Bandung,2023-11-28 18:00:00,3,Berawan,95,19.0,66.0,111,2,4.0,1009,2023-11-28 18:00:00
Banggai_2023-11-28T00:00:00,Banggai,2023-11-28 00:00:00,1,Cerah Berawan,85,26.0,79.0,16,189,3.6,1009,2023-11-28
Banggai_2023-11-28T06:00:00,Banggai,2023-11-28 06:00:00,3,Berawan,80,33.0,91.0,19,189,3.2,1010,2023-11-28 06:00:00
Banggai_2023-11-28T12:00:00,Banggai,2023-11-28 12:00:00,1,Cerah Berawan,95,23.0,73.0,14,48,5.9,1009,2023-11-28 12:00:00
Banggai_2023-11-28T18:00:00,Banggai,2023-11-28 18:00:00,1,Cerah Berawan,85,22.0,72.0,10,153,5.8,1008,2023-11-28 18:00:00
Bangkalan_2023-11-28T00:00:00,Bangkalan,2023-11-28 00:00:00,1,Cerah Berawan,90,26.0,79.0,65,20,4.8,1010,2023-11-28
Bangkalan_2023-11-28T06:00:00,Bangkalan,2023-11-28 06:00:00,61,Hujan Sedang,60,32.0,90.0,62,20,5.3,1009,2023-11-28 06:00:00
Bangkalan_2023-11-28T12:00:00,Bangkalan,2023-11-28 12:00:00,63,Hujan Lebat,85,28.0,82.0,70,48,9.4,1009,2023-11-28 12:00:00
Bangkalan_2023-11-28T18:00:00,Bangkalan,2023-11-28 18:00:00,60,Hujan Ringan,90,25.0,77.0,75,14,9.6,1008,2023-11-28 18:00:00
Bangli_2023-11-28T00:00:00,Bangli,2023-11-28 00:00:00,3,Berawan,80,26.0,79.0,47,188,3.1,1011,2023-11-28
Bangli_2023-11-28T06:00:00,Bangli,2023-11-28 06:00:00,61,Hujan Sedang,70,31.0,88.0,36,188,1.4,1012,2023-11-28 06:00:00
Bangli_2023-11-28T12:00:00,Bangli,2023-11-28 12:00:00,3,Berawan,80,28.0,82.0,44,171,9.4,1010,2023-11-28 12:00:00
Bangli_2023-11-28T18:00:00,Bangli,2023-11-28 18:00:00,3,Berawan,95,25.0,77.0,46,176,3.1,1010,2023-11-28 18:00:00
Banjar_2023-11-28T00:00:00,Banjar,2023-11-28 00:00:00,1,Cerah Berawan,85,24.0,75.0,69,234,3.9,1013,2023-11-28
Banjar_2023-11-28T06:00:00,Banjar,2023-11-28 06:00:00,60,Hujan Ringan,70,32.0,90.0,59,234,4.0,1013,2023-11-28 06:00:00
Banjar_2023-11-28T12:00:00,Banjar,2023-11-28 12:00:00,3,Berawan,85,26.0,79.0,63,144,3.4,1012,2023-11-28 12:00:00
Banjar_2023-11-28T18:00:00,Banjar,2023-11-28 18:00:00,45,Berkabut,95,24.0,75.0,63,153,1.6,1010,2023-11-28 18:00:00
Banjarmasin_2023-11-28T00:00:00,Banjarmasin,2023-11-28 00:00:00,3,Berawan,85,28.0,82.0,58,3,5.2,1009,2023-11-28
Banjarmasin_2023-11-28T06:00:00,Banjarmasin,2023-11-28 06:00:00,95,Hujan Petir,65,31.0,88.0,52,3,2.4,1010,2023-11-28 06:00:00
Banjarmasin_2023-11-28T12:00:00,Banjarmasin,2023-11-28 12:00:00,3,Berawan,85,26.0,79.0,35,150,2.3,1009,2023-11-28 12:00:00
Banjarmasin_2023-11-28T18:00:00,Banjarmasin,2023-11-28 18:00:00,1,Cerah Berawan,95,24.0,75.0,44,228,4.8,1008,2023-11-28 18:00:00
Banjarnegara_2023-11-28T00:00:00,Banjarnegara,2023-11-28 00:00:00,3,Berawan,90,25.0,77.0,81,214,2.4,1012,2023-11-28
Banjarnegara_2023-11-28T06:00:00,Banjarnegara,2023-11-28 06:00:00,60,Hujan Ringan,65,31.0,88.0,67,214,2.7,1012,2023-11-28 06:00:00
