id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ambon_2023-11-24T00:00:00,Ambon,2023-11-24 00:00:00,3,Berawan,75,28.0,82.0,50,144,9.3,1007,2023-11-24
Ambon_2023-11-24T06:00:00,Ambon,2023-11-24 06:00:00,3,Berawan,65,33.0,91.0,51,144,5.5,1007,2023-11-24 06:00:00
Ambon_2023-11-24T12:00:00,Ambon,2023-11-24 12:00:00,60,Hujan Ringan,85,26.0,79.0,51,144,11.1,1007,2023-11-24 12:00:00
Ambon_2023-11-24T18:00:00,Ambon,2023-11-24 18:00:00,3,Berawan,90,23.0,73.0,51,144,7.4,1007,2023-11-24 18:00:00
Badung_2023-11-24T00:00:00,Badung,2023-11-24 00:00:00,1,Cerah Berawan,85,28.0,82.0,84,139,4.2,1009,2023-11-24
Badung_2023-11-24T06:00:00,Badung,2023-11-24 06:00:00,1,Cerah Berawan,70,32.0,90.0,119,139,4.7,1009,2023-11-24 06:00:00
Badung_2023-11-24T12:00:00,Badung,2023-11-24 12:00:00,1,Cerah Berawan,75,28.0,82.0,71,139,12.9,1008,2023-11-24 12:00:00
Badung_2023-11-24T18:00:00,Badung,2023-11-24 18:00:00,1,Cerah Berawan,90,26.0,79.0,63,139,7.3,1008,2023-11-24 18:00:00
Balikpapan_2023-11-24T00:00:00,Balikpapan,2023-11-24 00:00:00,60,Hujan Ringan,95,24.0,75.0,39,128,0.0,1008,2023-11-24
Balikpapan_2023-11-24T06:00:00,Balikpapan,2023-11-24 06:00:00,60,Hujan Ringan,75,30.0,86.0,29,128,5.5,1008,2023-11-24 06:00:00
Balikpapan_2023-11-24T12:00:00,Balikpapan,2023-11-24 12:00:00,95,Hujan Petir,95,25.0,77.0,37,131,13.0,1009,2023-11-24 12:00:00
Balikpapan_2023-11-24T18:00:00,Balikpapan,2023-11-24 18:00:00,45,Berkabut,100,23.0,73.0,40,38,11.1,1006,2023-11-24 18:00:00
Banda Aceh_2023-11-24T00:00:00,Banda Aceh,2023-11-24 00:00:00,60,Hujan Ringan,90,24.0,75.0,57,51,6.7,1009,2023-11-24
Banda Aceh_2023-11-24T06:00:00,Banda Aceh,2023-11-24 06:00:00,60,Hujan Ringan,70,31.0,88.0,43,51,10.9,1008,2023-11-24 06:00:00
Banda Aceh_2023-11-24T12:00:00,Banda Aceh,2023-11-24 12:00:00,1,Cerah Berawan,85,26.0,79.0,38,51,7.3,1011,2023-11-24 12:00:00
Banda Aceh_2023-11-24T18:00:00,Banda Aceh,2023-11-24 18:00:00,3,Berawan,95,24.0,75.0,37,51,6.4,1008,2023-11-24 18:00:00
Bandung_2023-11-24T00:00:00,Bandung,2023-11-24 00:00:00,3,Berawan,90,23.0,73.0,175,35,1.9,1011,2023-11-24
Bandung_2023-11-24T06:00:00,Bandung,2023-11-24 06:00:00,95,Hujan Petir,80,30.0,86.0,113,35,5.0,1010,2023-11-24 06:00:00
Bandung_2023-11-24T12:00:00,Bandung,2023-11-24 12:00:00,3,Berawan,95,25.0,77.0,92,35,6.6,1009,2023-11-24 12:00:00
Bandung_2023-11-24T18:00:00,Bandung,2023-11-24 18:00:00,3,Berawan,95,19.0,66.0,146,35,6.3,1008,2023-11-24 18:00:00
Banggai_2023-11-24T00:00:00,Banggai,2023-11-24 00:00:00,60,Hujan Ringan,95,25.0,77.0,26,59,6.4,1007,2023-11-24
Banggai_2023-11-24T06:00:00,Banggai,2023-11-24 06:00:00,60,Hujan Ringan,85,26.0,79.0,30,59,4.8,1008,2023-11-24 06:00:00
Banggai_2023-11-24T12:00:00,Banggai,2023-11-24 12:00:00,1,Cerah Berawan,90,23.0,73.0,30,119,8.2,1008,2023-11-24 12:00:00
Banggai_2023-11-24T18:00:00,Banggai,2023-11-24 18:00:00,3,Berawan,95,22.0,72.0,31,111,7.4,1007,2023-11-24 18:00:00
