id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-22T00:00:00,Banda Aceh,42,106,10.5,1012,2023-11-22
Langsa_2023-11-22T00:00:00,Langsa,22,308,3.7,1011,2023-11-22
Lhokseumawe_2023-11-22T00:00:00,Lhokseumawe,35,92,3.1,1011,2023-11-22
Sabang_2023-11-22T00:00:00,Sabang,37,64,10.3,1012,2023-11-22
Bangli_2023-11-22T00:00:00,Bangli,42,143,1.6,1012,2023-11-22
Denpasar_2023-11-22T00:00:00,Denpasar,61,169,8.1,1010,2023-11-22
Gianyar_2023-11-22T00:00:00,Gianyar,43,141,4.0,1011,2023-11-22
Badung_2023-11-22T00:00:00,Badung,77,174,5.8,1011,2023-11-22
Klungkung_2023-11-22T00:00:00,Klungkung,42,152,3.5,1011,2023-11-22
Kabupaten Buleleng_2023-11-22T00:00:00,Kabupaten Buleleng,41,183,7.7,1011,2023-11-22
Tabanan_2023-11-22T00:00:00,Tabanan,43,151,6.6,1011,2023-11-22
Pandeglang_2023-11-22T00:00:00,Pandeglang,75,217,2.7,1011,2023-11-22
Kabupaten Serang_2023-11-22T00:00:00,Kabupaten Serang,111,293,1.4,1010,2023-11-22
Tangerang_2023-11-22T00:00:00,Tangerang,151,347,7.4,1010,2023-11-22
Kabupaten Serang_2023-11-22T00:00:00,Kabupaten Serang,111,293,1.4,1010,2023-11-22
South Tangerang_2023-11-22T00:00:00,South Tangerang,110,358,18.5,1010,2023-11-22
Bengkulu_2023-11-22T00:00:00,Bengkulu,76,170,3.5,1012,2023-11-22
Kepahiang_2023-11-22T00:00:00,Kepahiang,41,194,1.8,1013,2023-11-22
Bantul_2023-11-22T00:00:00,Bantul,51,175,1.9,1011,2023-11-22
Sleman_2023-11-22T00:00:00,Sleman,64,200,3.9,1012,2023-11-22
Yogyakarta_2023-11-22T00:00:00,Yogyakarta,49,192,2.2,1012,2023-11-22
Propinsi Gorontalo_2023-11-22T00:00:00,Propinsi Gorontalo,65,204,4.0,1009,2023-11-22
Propinsi Gorontalo_2023-11-22T00:00:00,Propinsi Gorontalo,65,204,4.0,1009,2023-11-22
Jambi_2023-11-22T00:00:00,Jambi,158,317,3.3,1010,2023-11-22
Muara Sabak_2023-11-22T00:00:00,Muara Sabak,67,273,1.8,1010,2023-11-22
Sungai Penuh_2023-11-22T00:00:00,Sungai Penuh,49,198,1.1,1014,2023-11-22
Sarolangun_2023-11-22T00:00:00,Sarolangun,59,52,2.1,1010,2023-11-22
Bandung_2023-11-22T00:00:00,Bandung,152,22,1.6,1012,2023-11-22
Banjar_2023-11-22T00:00:00,Banjar,39,131,0.7,1013,2023-11-22
Ciamis_2023-11-22T00:00:00,Ciamis,36,145,2.1,1012,2023-11-22
Cianjur_2023-11-22T00:00:00,Cianjur,63,12,2.1,1012,2023-11-22
Bogor_2023-11-22T00:00:00,Bogor,67,177,3.9,1011,2023-11-22
Bekasi_2023-11-22T00:00:00,Bekasi,127,1,18.5,1006,2023-11-22
Cimahi_2023-11-22T00:00:00,Cimahi,65,19,1.9,1012,2023-11-22
Cirebon_2023-11-22T00:00:00,Cirebon,99,56,13.8,1010,2023-11-22
Garut_2023-11-22T00:00:00,Garut,36,135,3.9,1014,2023-11-22
Indramayu_2023-11-22T00:00:00,Indramayu,71,76,15.6,1010,2023-11-22
Karawang_2023-11-22T00:00:00,Karawang,89,319,5.8,1010,2023-11-22
Kuningan_2023-11-22T00:00:00,Kuningan,39,185,11.4,1012,2023-11-22
Majalengka_2023-11-22T00:00:00,Majalengka,54,165,8.6,1011,2023-11-22
Purwakarta_2023-11-22T00:00:00,Purwakarta,169,18,4.1,1011,2023-11-22
Tasikmalaya_2023-11-22T00:00:00,Tasikmalaya,36,128,2.4,1013,2023-11-22
Bandung_2023-11-22T00:00:00,Bandung,152,22,1.6,1012,2023-11-22
Subang_2023-11-22T00:00:00,Subang,37,172,7.0,1012,2023-11-22
Cirebon_2023-11-22T00:00:00,Cirebon,99,56,13.8,1010,2023-11-22
Sumedang_2023-11-22T00:00:00,Sumedang,59,180,5.3,1012,2023-11-22
Tasikmalaya_2023-11-22T00:00:00,Tasikmalaya,36,128,2.4,1013,2023-11-22
Bogor_2023-11-22T00:00:00,Bogor,67,177,3.9,1011,2023-11-22
Bekasi_2023-11-22T00:00:00,Bekasi,127,1,18.5,1006,2023-11-22
Bogor_2023-11-22T00:00:00,Bogor,67,177,3.9,1011,2023-11-22
Cianjur_2023-11-22T00:00:00,Cianjur,63,12,2.1,1012,2023-11-22
Banjarnegara_2023-11-22T00:00:00,Banjarnegara,55,176,2.5,1013,2023-11-22
Batang_2023-11-22T00:00:00,Batang,79,39,10.3,1010,2023-11-22
Blora_2023-11-22T00:00:00,Blora,82,21,5.8,1010,2023-11-22
Boyolali_2023-11-22T00:00:00,Boyolali,58,205,8.1,1012,2023-11-22
Brebes_2023-11-22T00:00:00,Brebes,41,191,12.3,1010,2023-11-22
Cilacap_2023-11-22T00:00:00,Cilacap,38,129,14.8,1011,2023-11-22
Demak_2023-11-22T00:00:00,Demak,79,346,12.2,1010,2023-11-22
Jepara_2023-11-22T00:00:00,Jepara,81,27,12.6,1010,2023-11-22
Pekalongan_2023-11-22T00:00:00,Pekalongan,68,355,6.3,1011,2023-11-22
Karanganyar_2023-11-22T00:00:00,Karanganyar,59,200,10.1,1011,2023-11-22
Kebumen_2023-11-22T00:00:00,Kebumen,55,155,7.3,1012,2023-11-22
Kendal_2023-11-22T00:00:00,Kendal,74,337,6.1,1010,2023-11-22
Kabupaten Klaten_2023-11-22T00:00:00,Kabupaten Klaten,52,192,6.7,1012,2023-11-22
Kudus_2023-11-22T00:00:00,Kudus,81,146,9.4,1010,2023-11-22
Magelang_2023-11-22T00:00:00,Magelang,57,179,2.9,1013,2023-11-22
Magelang_2023-11-22T00:00:00,Magelang,57,179,2.9,1013,2023-11-22
Pati_2023-11-22T00:00:00,Pati,81,41,6.2,1010,2023-11-22
Pekalongan_2023-11-22T00:00:00,Pekalongan,68,355,6.3,1011,2023-11-22
Pemalang_2023-11-22T00:00:00,Pemalang,56,13,10.0,1010,2023-11-22
Purbalingga_2023-11-22T00:00:00,Purbalingga,54,169,3.4,1012,2023-11-22
Banyumas_2023-11-22T00:00:00,Banyumas,47,159,2.4,1012,2023-11-22
Purworejo_2023-11-22T00:00:00,Purworejo,55,175,3.3,1012,2023-11-22
Rembang_2023-11-22T00:00:00,Rembang,69,32,6.3,1010,2023-11-22
Salatiga_2023-11-22T00:00:00,Salatiga,61,224,5.2,1012,2023-11-22
Semarang_2023-11-22T00:00:00,Semarang,74,345,6.2,1010,2023-11-22
Tegal_2023-11-22T00:00:00,Tegal,47,184,11.4,1010,2023-11-22
Sragen_2023-11-22T00:00:00,Sragen,67,204,13.5,1011,2023-11-22
Sukoharjo_2023-11-22T00:00:00,Sukoharjo,59,196,8.6,1011,2023-11-22
Surakarta_2023-11-22T00:00:00,Surakarta,53,203,12.6,1011,2023-11-22
Tegal_2023-11-22T00:00:00,Tegal,47,184,11.4,1010,2023-11-22
Temanggung_2023-11-22T00:00:00,Temanggung,59,177,6.5,1013,2023-11-22
Semarang_2023-11-22T00:00:00,Semarang,74,345,6.2,1010,2023-11-22
Wonogiri_2023-11-22T00:00:00,Wonogiri,54,183,4.3,1011,2023-11-22
Wonosobo_2023-11-22T00:00:00,Wonosobo,56,177,3.0,1013,2023-11-22
Semarang_2023-11-22T00:00:00,Semarang,74,345,6.2,1010,2023-11-22
Bangkalan_2023-11-22T00:00:00,Bangkalan,66,37,9.8,1010,2023-11-22
Banyuwangi_2023-11-22T00:00:00,Banyuwangi,40,148,4.2,1011,2023-11-22
Batu_2023-11-22T00:00:00,Batu,62,131,2.2,1013,2023-11-22
Blitar_2023-11-22T00:00:00,Blitar,52,162,4.3,1011,2023-11-22
Bojonegoro_2023-11-22T00:00:00,Bojonegoro,73,28,9.3,1010,2023-11-22
Bondowoso_2023-11-22T00:00:00,Bondowoso,40,200,4.8,1012,2023-11-22
Gresik_2023-11-22T00:00:00,Gresik,71,57,8.9,1010,2023-11-22
Jember_2023-11-22T00:00:00,Jember,55,200,0.8,1011,2023-11-22
Jombang_2023-11-22T00:00:00,Jombang,73,142,10.4,1010,2023-11-22
Kediri_2023-11-22T00:00:00,Kediri,54,182,13.1,1011,2023-11-22
Kabupaten Malang_2023-11-22T00:00:00,Kabupaten Malang,77,207,1.2,1013,2023-11-22
Lamongan_2023-11-22T00:00:00,Lamongan,69,53,6.5,1010,2023-11-22
Kabupaten Lumajang_2023-11-22T00:00:00,Kabupaten Lumajang,53,172,5.1,1011,2023-11-22
Madiun_2023-11-22T00:00:00,Madiun,57,175,9.0,1011,2023-11-22
Madiun_2023-11-22T00:00:00,Madiun,57,175,9.0,1011,2023-11-22
Magetan_2023-11-22T00:00:00,Magetan,59,159,5.9,1011,2023-11-22
Kabupaten Malang_2023-11-22T00:00:00,Kabupaten Malang,77,207,1.2,1013,2023-11-22
Mojokerto_2023-11-22T00:00:00,Mojokerto,76,83,6.6,1010,2023-11-22
Nganjuk_2023-11-22T00:00:00,Nganjuk,60,155,8.6,1011,2023-11-22
Pacitan_2023-11-22T00:00:00,Pacitan,54,145,9.9,1011,2023-11-22
Pamekasan_2023-11-22T00:00:00,Pamekasan,41,95,18.0,1010,2023-11-22
Pasuruan_2023-11-22T00:00:00,Pasuruan,63,86,5.5,1010,2023-11-22
Ponorogo_2023-11-22T00:00:00,Ponorogo,54,153,7.3,1011,2023-11-22
Probolinggo_2023-11-22T00:00:00,Probolinggo,54,35,10.7,1010,2023-11-22
Sampang_2023-11-22T00:00:00,Sampang,58,107,14.0,1010,2023-11-22
Sidoarjo_2023-11-22T00:00:00,Sidoarjo,75,98,6.5,1010,2023-11-22
