id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-26T12:00:00,Banda Aceh,23,43,2.2,1012,2023-11-26 12:00:00
Langsa_2023-11-26T12:00:00,Langsa,19,320,6.3,1012,2023-11-26 12:00:00
Lhokseumawe_2023-11-26T12:00:00,Lhokseumawe,19,271,8.2,1012,2023-11-26 12:00:00
Sabang_2023-11-26T12:00:00,Sabang,23,76,1.7,1012,2023-11-26 12:00:00
Bangli_2023-11-26T12:00:00,Bangli,52,191,9.1,1010,2023-11-26 12:00:00
Denpasar_2023-11-26T12:00:00,Denpasar,60,146,18.5,1009,2023-11-26 12:00:00
Gianyar_2023-11-26T12:00:00,Gianyar,52,192,10.9,1010,2023-11-26 12:00:00
Badung_2023-11-26T12:00:00,Badung,55,149,10.5,1010,2023-11-26 12:00:00
Klungkung_2023-11-26T12:00:00,Klungkung,52,193,11.6,1010,2023-11-26 12:00:00
Kabupaten Buleleng_2023-11-26T12:00:00,Kabupaten Buleleng,29,182,6.2,1009,2023-11-26 12:00:00
Tabanan_2023-11-26T12:00:00,Tabanan,52,195,10.1,1010,2023-11-26 12:00:00
Pandeglang_2023-11-26T12:00:00,Pandeglang,87,205,3.2,1009,2023-11-26 12:00:00
Kabupaten Serang_2023-11-26T12:00:00,Kabupaten Serang,74,339,0.2,1009,2023-11-26 12:00:00
Tangerang_2023-11-26T12:00:00,Tangerang,139,1,3.7,1009,2023-11-26 12:00:00
Kabupaten Serang_2023-11-26T12:00:00,Kabupaten Serang,74,339,0.2,1009,2023-11-26 12:00:00
South Tangerang_2023-11-26T12:00:00,South Tangerang,112,19,11.1,1007,2023-11-26 12:00:00
Bengkulu_2023-11-26T12:00:00,Bengkulu,52,208,7.7,1010,2023-11-26 12:00:00
Kepahiang_2023-11-26T12:00:00,Kepahiang,43,242,5.8,1011,2023-11-26 12:00:00
Bantul_2023-11-26T12:00:00,Bantul,65,183,10.5,1011,2023-11-26 12:00:00
Sleman_2023-11-26T12:00:00,Sleman,57,198,8.6,1011,2023-11-26 12:00:00
Yogyakarta_2023-11-26T12:00:00,Yogyakarta,63,192,9.2,1011,2023-11-26 12:00:00
Propinsi Gorontalo_2023-11-26T12:00:00,Propinsi Gorontalo,61,171,3.5,1008,2023-11-26 12:00:00
Propinsi Gorontalo_2023-11-26T12:00:00,Propinsi Gorontalo,61,171,3.5,1008,2023-11-26 12:00:00
Jambi_2023-11-26T12:00:00,Jambi,45,111,0.9,1010,2023-11-26 12:00:00
Muara Sabak_2023-11-26T12:00:00,Muara Sabak,56,235,3.2,1010,2023-11-26 12:00:00
Sungai Penuh_2023-11-26T12:00:00,Sungai Penuh,53,232,7.3,1012,2023-11-26 12:00:00
Sarolangun_2023-11-26T12:00:00,Sarolangun,60,40,1.4,1010,2023-11-26 12:00:00
Bandung_2023-11-26T12:00:00,Bandung,108,27,2.3,1010,2023-11-26 12:00:00
Banjar_2023-11-26T12:00:00,Banjar,62,202,4.6,1012,2023-11-26 12:00:00
Ciamis_2023-11-26T12:00:00,Ciamis,57,150,5.6,1011,2023-11-26 12:00:00
Cianjur_2023-11-26T12:00:00,Cianjur,68,218,2.2,1011,2023-11-26 12:00:00
Bogor_2023-11-26T12:00:00,Bogor,70,20,4.1,987,2023-11-26 12:00:00
Bekasi_2023-11-26T12:00:00,Bekasi,95,32,11.1,1005,2023-11-26 12:00:00
Cimahi_2023-11-26T12:00:00,Cimahi,74,352,2.8,1010,2023-11-26 12:00:00
Cirebon_2023-11-26T12:00:00,Cirebon,115,52,11.7,1009,2023-11-26 12:00:00
Garut_2023-11-26T12:00:00,Garut,55,129,6.7,1012,2023-11-26 12:00:00
Indramayu_2023-11-26T12:00:00,Indramayu,70,61,4.1,1009,2023-11-26 12:00:00
Karawang_2023-11-26T12:00:00,Karawang,89,319,5.8,1010,2023-11-26 12:00:00
Kuningan_2023-11-26T12:00:00,Kuningan,60,177,11.3,1011,2023-11-26 12:00:00
Majalengka_2023-11-26T12:00:00,Majalengka,64,214,6.1,1010,2023-11-26 12:00:00
Purwakarta_2023-11-26T12:00:00,Purwakarta,102,22,4.9,1009,2023-11-26 12:00:00
Tasikmalaya_2023-11-26T12:00:00,Tasikmalaya,57,158,5.7,1011,2023-11-26 12:00:00
Bandung_2023-11-26T12:00:00,Bandung,108,27,2.3,1010,2023-11-26 12:00:00
Subang_2023-11-26T12:00:00,Subang,58,168,8.5,1011,2023-11-26 12:00:00
Cirebon_2023-11-26T12:00:00,Cirebon,115,52,11.7,1009,2023-11-26 12:00:00
Sumedang_2023-11-26T12:00:00,Sumedang,71,122,5.3,1010,2023-11-26 12:00:00
Tasikmalaya_2023-11-26T12:00:00,Tasikmalaya,57,158,5.7,1011,2023-11-26 12:00:00
