id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-25T18:00:00,Banda Aceh,44,197,2.5,1008,2023-11-25 18:00:00
Langsa_2023-11-25T18:00:00,Langsa,32,7,5.7,1008,2023-11-25 18:00:00
Lhokseumawe_2023-11-25T18:00:00,Lhokseumawe,37,72,9.9,1008,2023-11-25 18:00:00
Sabang_2023-11-25T18:00:00,Sabang,38,91,12.7,1008,2023-11-25 18:00:00
Bangli_2023-11-25T18:00:00,Bangli,53,181,4.3,1009,2023-11-25 18:00:00
Denpasar_2023-11-25T18:00:00,Denpasar,61,157,9.6,1007,2023-11-25 18:00:00
Gianyar_2023-11-25T18:00:00,Gianyar,52,189,5.8,1009,2023-11-25 18:00:00
Badung_2023-11-25T18:00:00,Badung,59,149,5.6,1009,2023-11-25 18:00:00
Klungkung_2023-11-25T18:00:00,Klungkung,53,182,6.5,1009,2023-11-25 18:00:00
Kabupaten Buleleng_2023-11-25T18:00:00,Kabupaten Buleleng,29,180,5.6,1009,2023-11-25 18:00:00
Tabanan_2023-11-25T18:00:00,Tabanan,52,191,5.1,1009,2023-11-25 18:00:00
Pandeglang_2023-11-25T18:00:00,Pandeglang,72,179,4.0,1008,2023-11-25 18:00:00
Kabupaten Serang_2023-11-25T18:00:00,Kabupaten Serang,64,350,10.0,1008,2023-11-25 18:00:00
Tangerang_2023-11-25T18:00:00,Tangerang,108,348,7.4,1009,2023-11-25 18:00:00
Kabupaten Serang_2023-11-25T18:00:00,Kabupaten Serang,64,350,10.0,1008,2023-11-25 18:00:00
South Tangerang_2023-11-25T18:00:00,South Tangerang,129,4,14.8,1007,2023-11-25 18:00:00
Bengkulu_2023-11-25T18:00:00,Bengkulu,55,234,5.2,1009,2023-11-25 18:00:00
Kepahiang_2023-11-25T18:00:00,Kepahiang,42,237,2.8,1010,2023-11-25 18:00:00
Bantul_2023-11-25T18:00:00,Bantul,58,186,12.2,1009,2023-11-25 18:00:00
Sleman_2023-11-25T18:00:00,Sleman,64,198,10.5,1009,2023-11-25 18:00:00
Yogyakarta_2023-11-25T18:00:00,Yogyakarta,58,192,12.0,1009,2023-11-25 18:00:00
Propinsi Gorontalo_2023-11-25T18:00:00,Propinsi Gorontalo,60,154,2.3,1008,2023-11-25 18:00:00
Propinsi Gorontalo_2023-11-25T18:00:00,Propinsi Gorontalo,60,154,2.3,1008,2023-11-25 18:00:00
Jambi_2023-11-25T18:00:00,Jambi,49,137,4.1,1008,2023-11-25 18:00:00
Muara Sabak_2023-11-25T18:00:00,Muara Sabak,40,245,6.7,1008,2023-11-25 18:00:00
Sungai Penuh_2023-11-25T18:00:00,Sungai Penuh,50,234,3.2,1011,2023-11-25 18:00:00
Sarolangun_2023-11-25T18:00:00,Sarolangun,51,153,4.4,1008,2023-11-25 18:00:00
Bandung_2023-11-25T18:00:00,Bandung,81,21,4.5,1010,2023-11-25 18:00:00
Banjar_2023-11-25T18:00:00,Banjar,62,214,5.4,1010,2023-11-25 18:00:00
Ciamis_2023-11-25T18:00:00,Ciamis,55,142,5.8,1009,2023-11-25 18:00:00
Cianjur_2023-11-25T18:00:00,Cianjur,72,209,3.3,1009,2023-11-25 18:00:00
