kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Batu,2023-11-20 18:00:00,45,100,16.0,61.0,54,142,4.6,1012
Bekasi,2023-11-20 00:00:00,1,80,25.0,77.0,94,1,14.8,1006
Bekasi,2023-11-20 06:00:00,61,55,34.0,93.0,102,1,5.5,1006
Bekasi,2023-11-20 12:00:00,61,80,25.0,77.0,97,1,13.0,1010
Bekasi,2023-11-20 18:00:00,60,90,23.0,73.0,92,1,10.9,1009
Bengkalis,2023-11-20 00:00:00,3,85,27.0,81.0,23,20,13.4,1011
Bengkalis,2023-11-20 06:00:00,3,75,30.0,86.0,24,20,11.3,1010
Bengkalis,2023-11-20 12:00:00,60,85,28.0,82.0,27,38,12.3,1011
Bengkalis,2023-11-20 18:00:00,60,90,26.0,79.0,34,38,8.7,1008
Bengkayang,2023-11-20 00:00:00,1,100,25.0,77.0,32,235,1.9,1011
Bengkayang,2023-11-20 06:00:00,60,60,33.0,91.0,26,235,3.2,1010
Bengkayang,2023-11-20 12:00:00,3,95,25.0,77.0,27,167,5.7,1010
Bengkayang,2023-11-20 18:00:00,3,100,23.0,73.0,28,173,2.6,1009
Bengkulu,2023-11-20 00:00:00,1,90,25.0,77.0,73,199,9.1,1012
Bengkulu,2023-11-20 06:00:00,1,70,32.0,90.0,61,199,9.5,1011
Bengkulu,2023-11-20 12:00:00,1,85,25.0,77.0,65,199,18.5,1011
Bengkulu,2023-11-20 18:00:00,1,90,23.0,73.0,57,199,16.9,1010
Bima,2023-11-20 00:00:00,1,75,28.0,82.0,30,172,7.5,1011
Bima,2023-11-20 06:00:00,3,50,34.0,93.0,25,172,6.6,1012
Bima,2023-11-20 12:00:00,3,90,26.0,79.0,32,160,6.6,1009
Bima,2023-11-20 18:00:00,1,95,24.0,75.0,55,147,6.2,1010
Binjai,2023-11-20 00:00:00,1,95,26.0,79.0,38,323,3.9,1012
Binjai,2023-11-20 06:00:00,60,70,32.0,90.0,38,323,5.3,1011
Binjai,2023-11-20 12:00:00,3,85,24.0,75.0,32,344,6.9,1012
Binjai,2023-11-20 18:00:00,3,95,23.0,73.0,34,337,5.3,1009
Bitung,2023-11-20 00:00:00,3,75,28.0,82.0,37,195,12.0,1009
Bitung,2023-11-20 06:00:00,1,65,32.0,90.0,35,195,14.1,1011
Bitung,2023-11-20 12:00:00,1,95,25.0,77.0,31,183,19.5,1009
Bitung,2023-11-20 18:00:00,3,95,25.0,77.0,33,182,14.4,1010
Blitar,2023-11-20 00:00:00,1,80,26.0,79.0,52,187,5.4,1012
Blitar,2023-11-20 06:00:00,0,60,32.0,90.0,38,187,5.9,1012
Blitar,2023-11-20 12:00:00,1,80,26.0,79.0,33,172,20.8,1011
Blitar,2023-11-20 18:00:00,1,90,23.0,73.0,36,176,17.5,1010
Blora,2023-11-20 00:00:00,1,80,27.0,81.0,79,194,5.0,1011
Blora,2023-11-20 06:00:00,3,55,33.0,91.0,74,194,8.0,1011
Blora,2023-11-20 12:00:00,3,75,28.0,82.0,62,9,5.5,1010
Blora,2023-11-20 18:00:00,3,85,25.0,77.0,73,10,7.5,1008
Bogor,2023-11-20 00:00:00,1,80,25.0,77.0,85,4,4.9,1012
Bogor,2023-11-20 06:00:00,60,55,34.0,93.0,80,4,7.5,1011
Bogor,2023-11-20 12:00:00,61,80,25.0,77.0,83,4,5.8,1011
Bogor,2023-11-20 18:00:00,60,90,21.0,70.0,89,4,3.7,986
Bojonegoro,2023-11-20 00:00:00,0,75,28.0,82.0,64,21,13.3,1011
Bojonegoro,2023-11-20 06:00:00,60,45,34.0,93.0,61,21,9.7,1011
Bojonegoro,2023-11-20 12:00:00,0,75,30.0,86.0,57,171,7.3,1009
Bojonegoro,2023-11-20 18:00:00,3,85,25.0,77.0,69,161,9.4,1008
Bondowoso,2023-11-20 00:00:00,0,80,27.0,81.0,53,201,7.4,1012
Bondowoso,2023-11-20 06:00:00,61,50,34.0,93.0,32,201,6.0,1013
Bondowoso,2023-11-20 12:00:00,0,80,27.0,81.0,32,207,2.3,1011
Bondowoso,2023-11-20 18:00:00,0,90,23.0,73.0,45,201,4.9,1011
Bontang,2023-11-20 00:00:00,60,90,27.0,81.0,46,221,8.5,1010
Bontang,2023-11-20 06:00:00,95,85,28.0,82.0,37,221,8.4,1010
Bontang,2023-11-20 12:00:00,60,90,27.0,81.0,29,215,8.2,1009
Bontang,2023-11-20 18:00:00,60,90,25.0,77.0,30,210,5.4,1008
Boyolali,2023-11-20 00:00:00,3,80,27.0,81.0,53,204,10.5,1013
Boyolali,2023-11-20 06:00:00,3,60,33.0,91.0,54,204,12.1,1013
Boyolali,2023-11-20 12:00:00,3,75,28.0,82.0,40,199,13.5,1012
Boyolali,2023-11-20 18:00:00,3,85,25.0,77.0,41,194,17.2,1010
Brebes,2023-11-20 00:00:00,3,75,28.0,82.0,58,205,14.7,1011
Brebes,2023-11-20 06:00:00,3,55,33.0,91.0,56,205,14.7,1011
Brebes,2023-11-20 12:00:00,3,75,28.0,82.0,57,197,1.5,1010
Brebes,2023-11-20 18:00:00,3,85,24.0,75.0,59,197,5.4,1008
Bukittinggi,2023-11-20 00:00:00,45,100,19.0,66.0,42,73,3.0,1014
