kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Bukittinggi,2023-11-20 06:00:00,60,80,25.0,77.0,41,73,2.6,1012
Bukittinggi,2023-11-20 12:00:00,3,100,20.0,68.0,36,238,0.5,1013
Bukittinggi,2023-11-20 18:00:00,45,100,18.0,64.0,41,245,4.2,1011
Bulukumba,2023-11-20 00:00:00,1,80,27.0,81.0,58,121,4.5,1010
Bulukumba,2023-11-20 06:00:00,3,65,34.0,93.0,53,121,6.0,1011
Bulukumba,2023-11-20 12:00:00,3,75,29.0,84.0,53,100,17.0,1010
Bulukumba,2023-11-20 18:00:00,3,85,25.0,77.0,47,103,10.4,1010
Buol,2023-11-20 00:00:00,1,85,28.0,82.0,28,340,6.6,1009
Buol,2023-11-20 06:00:00,60,65,33.0,91.0,26,340,8.1,1010
Buol,2023-11-20 12:00:00,3,95,25.0,77.0,25,332,11.5,1009
Buol,2023-11-20 18:00:00,3,95,23.0,73.0,27,336,3.5,1009
Ciamis,2023-11-20 00:00:00,60,85,25.0,77.0,59,152,2.6,1014
Ciamis,2023-11-20 06:00:00,60,55,32.0,90.0,55,152,2.4,1013
Ciamis,2023-11-20 12:00:00,60,80,25.0,77.0,53,149,9.6,1012
Ciamis,2023-11-20 18:00:00,60,90,22.0,72.0,52,144,9.9,1011
Cianjur,2023-11-20 00:00:00,1,85,25.0,77.0,90,194,1.4,1013
Cianjur,2023-11-20 06:00:00,1,60,30.0,86.0,71,194,4.4,1012
Cianjur,2023-11-20 12:00:00,60,85,24.0,75.0,64,208,4.5,1012
Cianjur,2023-11-20 18:00:00,60,90,21.0,70.0,72,208,3.7,1010
Cilacap,2023-11-20 00:00:00,4,80,27.0,81.0,56,164,6.8,1012
Cilacap,2023-11-20 06:00:00,3,60,32.0,90.0,54,164,3.8,1012
Cilacap,2023-11-20 12:00:00,4,75,28.0,82.0,54,146,16.1,1012
Cilacap,2023-11-20 18:00:00,60,85,24.0,75.0,43,145,15.0,1010
Cimahi,2023-11-20 00:00:00,1,85,25.0,77.0,93,8,0.9,1013
Cimahi,2023-11-20 06:00:00,60,55,31.0,88.0,76,8,5.0,1013
Cimahi,2023-11-20 12:00:00,60,80,25.0,77.0,69,350,7.2,1012
Cimahi,2023-11-20 18:00:00,1,90,22.0,72.0,69,348,4.5,1011
Cirebon,2023-11-20 00:00:00,1,80,25.0,77.0,153,37,13.7,1011
Cirebon,2023-11-20 06:00:00,60,55,34.0,93.0,134,37,12.6,1011
Cirebon,2023-11-20 12:00:00,1,80,25.0,77.0,120,37,13.6,1010
Cirebon,2023-11-20 18:00:00,1,90,23.0,73.0,119,37,7.6,1008
Demak,2023-11-20 00:00:00,1,75,28.0,82.0,65,169,10.9,1011
Demak,2023-11-20 06:00:00,3,55,34.0,93.0,63,169,12.1,1011
Demak,2023-11-20 12:00:00,60,75,28.0,82.0,64,333,8.3,1010
Demak,2023-11-20 18:00:00,3,85,26.0,79.0,66,332,14.2,1008
Denpasar,2023-11-20 00:00:00,3,85,28.0,82.0,76,182,1.8,1011
Denpasar,2023-11-20 06:00:00,3,65,33.0,91.0,54,182,3.7,1011
Denpasar,2023-11-20 12:00:00,1,80,28.0,82.0,37,182,16.7,1011
Denpasar,2023-11-20 18:00:00,1,85,26.0,79.0,61,182,13.8,1011
Dompu,2023-11-20 00:00:00,1,85,26.0,79.0,32,168,3.2,1011
Dompu,2023-11-20 06:00:00,3,50,34.0,93.0,26,168,4.3,1012
Dompu,2023-11-20 12:00:00,3,85,24.0,75.0,32,178,9.6,1010
Dompu,2023-11-20 18:00:00,1,95,23.0,73.0,54,177,4.5,1010
Donggala,2023-11-20 00:00:00,1,85,28.0,82.0,25,292,5.8,1010
Donggala,2023-11-20 06:00:00,3,65,33.0,91.0,25,292,5.3,1011
Donggala,2023-11-20 12:00:00,60,90,26.0,79.0,24,275,8.8,1009
Donggala,2023-11-20 18:00:00,60,90,25.0,77.0,23,274,5.0,1009
Dumai,2023-11-20 00:00:00,3,100,25.0,77.0,57,52,2.6,1011
