id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Jepara_2023-11-24T00:00:00,Jepara,2023-11-24 00:00:00,3,Berawan,75,28.0,82.0,77,350,3.9,1008,2023-11-24
Jepara_2023-11-24T06:00:00,Jepara,2023-11-24 06:00:00,60,Hujan Ringan,55,35.0,95.0,84,350,6.9,1008,2023-11-24 06:00:00
Jepara_2023-11-24T12:00:00,Jepara,2023-11-24 12:00:00,60,Hujan Ringan,70,29.0,84.0,88,359,6.1,1008,2023-11-24 12:00:00
Jepara_2023-11-24T18:00:00,Jepara,2023-11-24 18:00:00,4,Berawan Tebal,80,26.0,79.0,71,360,10.5,1006,2023-11-24 18:00:00
Jombang_2023-11-24T00:00:00,Jombang,2023-11-24 00:00:00,0,,75,28.0,82.0,69,202,7.6,1008,2023-11-24
Jombang_2023-11-24T06:00:00,Jombang,2023-11-24 06:00:00,1,Cerah Berawan,55,33.0,91.0,75,202,9.1,1008,2023-11-24 06:00:00
Jombang_2023-11-24T12:00:00,Jombang,2023-11-24 12:00:00,1,Cerah Berawan,90,30.0,86.0,77,201,1.9,1007,2023-11-24 12:00:00
Jombang_2023-11-24T18:00:00,Jombang,2023-11-24 18:00:00,3,Berawan,95,25.0,77.0,72,177,8.5,1006,2023-11-24 18:00:00
Kaimana_2023-11-24T00:00:00,Kaimana,2023-11-24 00:00:00,60,Hujan Ringan,85,27.0,81.0,19,170,7.3,1007,2023-11-24
Kaimana_2023-11-24T06:00:00,Kaimana,2023-11-24 06:00:00,60,Hujan Ringan,70,31.0,88.0,31,170,8.0,1009,2023-11-24 06:00:00
Kaimana_2023-11-24T12:00:00,Kaimana,2023-11-24 12:00:00,3,Berawan,85,27.0,81.0,33,17,8.9,1008,2023-11-24 12:00:00
Kaimana_2023-11-24T18:00:00,Kaimana,2023-11-24 18:00:00,3,Berawan,95,24.0,75.0,48,17,2.2,1008,2023-11-24 18:00:00
Karanganyar_2023-11-24T00:00:00,Karanganyar,2023-11-24 00:00:00,3,Berawan,75,27.0,81.0,63,207,1.1,1009,2023-11-24
Karanganyar_2023-11-24T06:00:00,Karanganyar,2023-11-24 06:00:00,60,Hujan Ringan,65,33.0,91.0,70,207,6.3,1008,2023-11-24 06:00:00
Karanganyar_2023-11-24T12:00:00,Karanganyar,2023-11-24 12:00:00,60,Hujan Ringan,70,29.0,84.0,52,221,7.1,1008,2023-11-24 12:00:00
Karanganyar_2023-11-24T18:00:00,Karanganyar,2023-11-24 18:00:00,3,Berawan,80,26.0,79.0,66,226,14.6,1007,2023-11-24 18:00:00
Karawang_2023-11-24T00:00:00,Karawang,2023-11-24 00:00:00,3,Berawan,85,25.0,77.0,89,319,5.8,1010,2023-11-24
Karawang_2023-11-24T06:00:00,Karawang,2023-11-24 06:00:00,60,Hujan Ringan,65,35.0,95.0,89,319,5.8,1010,2023-11-24 06:00:00
Karawang_2023-11-24T12:00:00,Karawang,2023-11-24 12:00:00,60,Hujan Ringan,95,25.0,77.0,89,319,5.8,1010,2023-11-24 12:00:00
Karawang_2023-11-24T18:00:00,Karawang,2023-11-24 18:00:00,3,Berawan,95,24.0,75.0,89,319,5.8,1010,2023-11-24 18:00:00
Kebumen_2023-11-24T00:00:00,Kebumen,2023-11-24 00:00:00,60,Hujan Ringan,80,26.0,79.0,61,146,8.9,1009,2023-11-24
Kebumen_2023-11-24T06:00:00,Kebumen,2023-11-24 06:00:00,60,Hujan Ringan,70,31.0,88.0,59,146,5.6,1009,2023-11-24 06:00:00
Kebumen_2023-11-24T12:00:00,Kebumen,2023-11-24 12:00:00,60,Hujan Ringan,70,27.0,81.0,54,159,14.2,1009,2023-11-24 12:00:00
Kebumen_2023-11-24T18:00:00,Kebumen,2023-11-24 18:00:00,4,Berawan Tebal,80,25.0,77.0,63,161,10.3,1008,2023-11-24 18:00:00
Kediri_2023-11-24T00:00:00,Kediri,2023-11-24 00:00:00,1,Cerah Berawan,75,30.0,86.0,60,177,14.8,1009,2023-11-24
Kediri_2023-11-24T06:00:00,Kediri,2023-11-24 06:00:00,60,Hujan Ringan,50,36.0,97.0,60,177,11.1,1008,2023-11-24 06:00:00
Kediri_2023-11-24T12:00:00,Kediri,2023-11-24 12:00:00,1,Cerah Berawan,80,28.0,82.0,45,173,14.5,1007,2023-11-24 12:00:00
Kediri_2023-11-24T18:00:00,Kediri,2023-11-24 18:00:00,3,Berawan,95,25.0,77.0,61,180,9.1,1007,2023-11-24 18:00:00
Kendal_2023-11-24T00:00:00,Kendal,2023-11-24 00:00:00,3,Berawan,75,28.0,82.0,79,322,1.5,1008,2023-11-24
Kendal_2023-11-24T06:00:00,Kendal,2023-11-24 06:00:00,3,Berawan,55,35.0,95.0,81,322,5.9,1008,2023-11-24 06:00:00
Kendal_2023-11-24T12:00:00,Kendal,2023-11-24 12:00:00,61,Hujan Sedang,70,29.0,84.0,83,353,9.3,1008,2023-11-24 12:00:00
Kendal_2023-11-24T18:00:00,Kendal,2023-11-24 18:00:00,60,Hujan Ringan,80,26.0,79.0,89,142,6.2,1006,2023-11-24 18:00:00
Kendari_2023-11-24T00:00:00,Kendari,2023-11-24 00:00:00,3,Berawan,85,28.0,82.0,31,64,4.0,1007,2023-11-24
Kendari_2023-11-24T06:00:00,Kendari,2023-11-24 06:00:00,61,Hujan Sedang,65,33.0,91.0,33,64,2.5,1009,2023-11-24 06:00:00
Kendari_2023-11-24T12:00:00,Kendari,2023-11-24 12:00:00,3,Berawan,80,27.0,81.0,31,60,12.0,1007,2023-11-24 12:00:00
Kendari_2023-11-24T18:00:00,Kendari,2023-11-24 18:00:00,3,Berawan,95,25.0,77.0,37,64,7.3,1007,2023-11-24 18:00:00
