id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Agats_2023-11-22T00:00:00,Agats,41,85,1.6,1009,2023-11-22
Agats_2023-11-22T06:00:00,Agats,37,85,11.0,1012,2023-11-22 06:00:00
Agats_2023-11-22T12:00:00,Agats,37,237,8.8,1006,2023-11-22 12:00:00
Agats_2023-11-22T18:00:00,Agats,48,236,11.2,1007,2023-11-22 18:00:00
Ambon_2023-11-22T00:00:00,Ambon,40,145,13.2,1009,2023-11-22
Ambon_2023-11-22T06:00:00,Ambon,40,145,10.7,1010,2023-11-22 06:00:00
Ambon_2023-11-22T12:00:00,Ambon,39,145,10.9,1009,2023-11-22 12:00:00
Ambon_2023-11-22T18:00:00,Ambon,40,145,7.4,1007,2023-11-22 18:00:00
Badung_2023-11-22T00:00:00,Badung,77,174,5.8,1011,2023-11-22
Badung_2023-11-22T06:00:00,Badung,82,174,5.1,1010,2023-11-22 06:00:00
Badung_2023-11-22T12:00:00,Badung,65,174,15.4,1009,2023-11-22 12:00:00
Badung_2023-11-22T18:00:00,Badung,78,174,10.8,1009,2023-11-22 18:00:00
Balikpapan_2023-11-22T00:00:00,Balikpapan,29,196,11.2,1008,2023-11-22
Balikpapan_2023-11-22T06:00:00,Balikpapan,29,196,5.9,1008,2023-11-22 06:00:00
Balikpapan_2023-11-22T12:00:00,Balikpapan,27,167,8.1,1008,2023-11-22 12:00:00
Balikpapan_2023-11-22T18:00:00,Balikpapan,28,166,13.0,1005,2023-11-22 18:00:00
Banda Aceh_2023-11-22T00:00:00,Banda Aceh,42,106,10.5,1012,2023-11-22
Banda Aceh_2023-11-22T06:00:00,Banda Aceh,38,106,11.1,1008,2023-11-22 06:00:00
Banda Aceh_2023-11-22T12:00:00,Banda Aceh,36,106,5.8,1011,2023-11-22 12:00:00
Banda Aceh_2023-11-22T18:00:00,Banda Aceh,35,106,6.6,1008,2023-11-22 18:00:00
Bandarlampung_2023-11-22T00:00:00,Bandarlampung,38,169,9.5,1011,2023-11-22
Bandarlampung_2023-11-22T06:00:00,Bandarlampung,39,169,6.8,1009,2023-11-22 06:00:00
Bandarlampung_2023-11-22T12:00:00,Bandarlampung,45,169,7.7,1009,2023-11-22 12:00:00
Bandarlampung_2023-11-22T18:00:00,Bandarlampung,52,169,8.4,1007,2023-11-22 18:00:00
Bandjarbaru_2023-11-22T00:00:00,Bandjarbaru,75,256,3.7,1008,2023-11-22
Bandjarbaru_2023-11-22T06:00:00,Bandjarbaru,79,256,2.0,1008,2023-11-22 06:00:00
Bandjarbaru_2023-11-22T12:00:00,Bandjarbaru,47,256,5.5,1007,2023-11-22 12:00:00
Bandjarbaru_2023-11-22T18:00:00,Bandjarbaru,46,256,3.7,1005,2023-11-22 18:00:00
Bandung_2023-11-22T00:00:00,Bandung,152,22,1.6,1012,2023-11-22
Bandung_2023-11-22T06:00:00,Bandung,113,22,1.6,1012,2023-11-22 06:00:00
Bandung_2023-11-22T12:00:00,Bandung,78,22,3.2,1012,2023-11-22 12:00:00
Bandung_2023-11-22T18:00:00,Bandung,131,22,3.2,1012,2023-11-22 18:00:00
Banggai_2023-11-22T00:00:00,Banggai,20,183,4.0,1009,2023-11-22
Banggai_2023-11-22T06:00:00,Banggai,30,183,5.8,1010,2023-11-22 06:00:00
Banggai_2023-11-22T12:00:00,Banggai,33,187,11.6,1009,2023-11-22 12:00:00
Banggai_2023-11-22T18:00:00,Banggai,27,188,7.9,1008,2023-11-22 18:00:00
Bangkalan_2023-11-22T00:00:00,Bangkalan,66,37,9.8,1010,2023-11-22
Bangkalan_2023-11-22T06:00:00,Bangkalan,67,37,6.2,1008,2023-11-22 06:00:00
Bangkalan_2023-11-22T12:00:00,Bangkalan,80,25,4.7,1008,2023-11-22 12:00:00
Bangkalan_2023-11-22T18:00:00,Bangkalan,65,28,14.0,1006,2023-11-22 18:00:00
Bangli_2023-11-22T00:00:00,Bangli,42,143,1.6,1012,2023-11-22
Bangli_2023-11-22T06:00:00,Bangli,43,143,1.9,1011,2023-11-22 06:00:00
Bangli_2023-11-22T12:00:00,Bangli,39,148,11.9,1009,2023-11-22 12:00:00
Bangli_2023-11-22T18:00:00,Bangli,38,149,6.0,1009,2023-11-22 18:00:00
Banjar_2023-11-22T00:00:00,Banjar,39,131,0.7,1013,2023-11-22
Banjar_2023-11-22T06:00:00,Banjar,58,131,3.7,1012,2023-11-22 06:00:00
Banjar_2023-11-22T12:00:00,Banjar,61,206,4.3,1011,2023-11-22 12:00:00
Banjar_2023-11-22T18:00:00,Banjar,61,197,3.2,1010,2023-11-22 18:00:00
Banjarmasin_2023-11-22T00:00:00,Banjarmasin,53,160,4.6,1008,2023-11-22
Banjarmasin_2023-11-22T06:00:00,Banjarmasin,53,160,4.1,1008,2023-11-22 06:00:00
Banjarmasin_2023-11-22T12:00:00,Banjarmasin,37,219,2.7,1007,2023-11-22 12:00:00
Banjarmasin_2023-11-22T18:00:00,Banjarmasin,44,201,3.4,1005,2023-11-22 18:00:00
Banjarnegara_2023-11-22T00:00:00,Banjarnegara,55,176,2.5,1013,2023-11-22
